,ID,community,CPDB,NicheNet,CellChat
0,TMEM53,True,False,False,False
1,FTH1,False,True,False,False
2,C1QBP,True,False,False,False
3,CLCF1,True,True,True,True
4,BMPR1A,True,True,True,False
5,ADRB1,True,True,True,False
6,LY86,True,False,False,False
7,LYPD6,True,False,False,False
8,ADAM22,True,False,False,False
9,INHBA,True,True,True,True
10,FBN1,True,True,True,False
11,NRG3,True,True,True,True
12,SLC16A1,True,True,False,False
13,HHIP,True,True,True,False
14,GNAT2,False,False,True,False
15,ADGRL4,True,False,False,False
16,THPO,True,True,True,True
17,COL26A1,False,True,False,False
18,FAM200A,True,False,False,False
19,IL9,True,True,True,True
20,PROCR,True,True,True,True
21,IL23A,True,True,True,False
22,EPOR,True,True,True,True
23,TSPAN5,True,False,False,False
24,GFRA3,True,True,True,True
25,CXCL5,True,True,True,True
26,LPP,True,False,False,False
27,MMP14,True,False,False,False
28,TSHB,True,True,True,True
29,SCN1B,True,False,False,False
30,CYP17A1,False,True,False,False
31,PTPRG,True,False,True,False
32,EGF,True,True,True,True
33,GPR183,False,False,True,False
34,RARB,False,True,False,False
35,GHRL,True,True,True,True
36,FAM126B,True,False,False,False
37,TJP1,True,False,False,False
38,NBL1,True,False,False,False
39,GRIK2,False,False,True,False
40,HGF,True,True,True,True
41,CCL11,True,True,True,True
42,VSTM4,True,False,False,False
43,ADM2,True,True,True,False
44,CA12,True,False,False,False
45,DIP2A,True,False,False,False
46,OLFM2,True,False,False,False
47,CNIH1,True,False,False,False
48,IL31RA,True,False,True,True
49,QRFP,True,True,True,True
50,MIA,True,False,False,False
51,DSC3,True,True,True,True
52,TMED5,True,False,False,False
53,BMPR1B,True,True,True,True
54,CHRNG,True,False,False,True
55,HFE,True,True,False,False
56,LTBP1,True,False,False,False
57,CBL,True,False,False,False
58,OSCAR,True,False,False,False
59,SLC52A2,True,False,False,False
60,ADAM17,True,False,True,False
61,EFNA1,True,True,True,True
62,NPY,True,False,True,True
63,CRHR1,True,True,True,True
64,GZMB,True,False,True,False
65,ERVH48-1,False,True,False,False
66,GLP1R,True,True,True,True
67,CELSR2,True,True,True,False
68,CYSLTR1,False,True,True,False
69,KLRF2,True,True,False,False
70,CR1L,True,False,False,False
71,TFF1,True,True,True,False
72,MAS1,True,False,True,True
73,TSLP,True,True,True,True
74,LHCGR,True,True,True,True
75,CD177,True,True,False,True
76,IL34,True,True,True,True
77,ADGRL2,True,False,False,True
78,RAMP1,True,True,True,False
79,LCN1,True,False,False,False
80,VEGFB,True,True,True,True
81,NLGN4X,True,False,False,False
82,CGB8,True,False,False,False
83,CYP3A4,False,True,False,False
84,EPHB2,True,True,True,True
85,CD6,True,True,True,True
86,SLC7A5,True,False,False,False
87,GRIN2D,True,True,True,False
88,NTN4,True,True,True,True
89,MCHR2,True,True,True,False
90,MDK,True,True,True,True
91,INSL5,True,True,True,True
92,NOTCH4,True,True,True,True
93,SEMA4A,True,True,False,True
94,ST14,True,False,False,False
95,LRP12,True,False,False,False
96,ITGA2,True,True,True,True
97,TNFRSF11B,True,True,True,True
98,FCGRT,True,True,False,False
99,VIP,True,True,True,True
100,IFNB1,True,True,True,True
101,CASP8,True,False,False,False
102,VEGFD,True,True,True,True
103,UNC5B,True,True,True,True
104,BCR,False,True,False,False
105,CMTM4,False,False,True,False
106,PTGER3,True,True,True,False
107,COL4A2,True,True,False,True
108,AMHR2,True,True,True,True
109,MIP,True,False,False,False
110,CELSR3,True,True,True,False
111,UBASH3B,False,True,False,False
112,TFR2,True,True,False,False
113,TMEM219,True,True,False,True
114,EPGN,True,True,True,True
115,TNFRSF1B,True,True,True,True
116,PCDHGC3,False,False,True,True
117,APLN,True,True,True,True
118,TAS2R14,False,False,True,False
119,LGI2,True,False,False,False
120,CD163,True,False,True,False
121,HCRTR1,True,True,True,True
122,EDNRB,True,False,True,True
123,DSCAML1,True,False,False,False
124,F2,True,True,True,True
125,GRIN2B,True,True,True,False
126,STAB2,True,False,False,False
127,LAIR1,True,True,False,True
128,RPS27A,True,False,False,False
129,ARF4,True,False,False,False
130,LRRC4B,True,False,True,True
131,APCDD1,True,False,False,False
132,ANGPT1,True,True,True,True
133,LRP1,True,True,True,True
134,BMP2,True,True,True,True
135,FZD7,True,True,True,True
136,HLA-G,True,True,True,True
137,WNT5A,True,True,True,True
138,MELTF,True,False,False,False
139,ASGR2,True,True,False,False
140,TLR3,True,False,False,False
141,AMBN,True,False,False,False
142,HTR1B,True,True,True,False
143,MERTK,True,True,True,True
144,PRLHR,True,True,True,True
145,HTR1D,True,True,True,False
146,LRRN3,True,False,False,False
147,GDNF,True,True,True,True
148,KCNN4,True,False,False,False
149,DRD3,True,True,True,False
150,EPHA6,True,False,True,False
151,PIGF,True,False,False,False
152,RNASET2,False,True,False,False
153,C5AR1,True,True,True,True
154,CHRM4,False,True,True,False
155,CD300E,True,False,False,False
156,HLA-DRA,True,False,True,True
157,TRPV6,True,False,False,False
158,CHGB,False,False,True,False
159,TAC4,True,False,True,True
160,GRIN2C,True,True,True,False
161,BCAM,True,False,False,False
162,SLC18A3,True,False,False,False
163,ANGPTL3,True,False,True,True
164,GPR132,False,False,True,False
165,LILRA6,True,False,False,False
166,ITGA3,True,True,True,True
167,AXL,True,True,True,True
168,NOTCH1,True,True,True,True
169,FPR1,True,True,True,True
170,PCDH17,False,False,True,False
171,HHIPL2,True,False,False,False
172,GPR39,True,False,True,False
173,GPR18,False,False,True,False
174,HAS2,True,False,True,False
175,HTR3D,False,True,False,False
176,APOA2,True,True,False,True
177,COL5A3,True,True,True,False
178,ADORA2B,True,True,True,True
179,TAS2R10,False,False,True,False
180,CNTN6,True,False,False,False
181,QDPR,True,False,False,False
182,SERPING1,True,False,True,False
183,RXFP4,True,True,True,True
184,TEX101,True,False,False,False
185,GHRH,True,True,True,True
186,MUC15,True,False,False,False
187,ADRA2C,False,True,True,False
188,MMP13,True,False,True,False
189,OR3A2,False,False,True,False
190,C1QTNF1,True,False,False,False
191,PCDHA11,False,False,True,True
192,PRSS2,True,False,False,True
193,IL22,True,True,True,True
194,AVPR1A,True,True,True,True
195,IL1RAP,True,True,True,True
196,P2RY12,True,False,True,False
197,FCGR1A,True,False,True,False
198,LVRN,True,False,False,False
199,TP53,True,False,False,False
200,NCR2,True,False,False,False
201,VAPA,True,False,False,False
202,LRP1B,True,False,False,False
203,WNT8A,True,True,True,True
204,LCTL,True,False,False,False
205,CDHR2,True,False,True,False
206,EFNB3,True,True,True,True
207,F7,True,False,True,False
208,ADCYAP1R1,True,True,True,True
209,HTR1E,True,True,True,False
210,PA2G4,True,False,False,False
211,TGFBR1,True,True,True,False
212,EXTL3,False,False,True,False
213,ADGRA3,True,False,False,False
214,LYZ,True,False,False,False
215,CPAMD8,True,False,False,False
216,CHRD,True,False,False,False
217,CLDN12,True,False,False,False
218,NLGN3,True,False,True,True
219,TAS2R13,False,False,True,False
220,IL10RA,True,True,True,True
221,SULT2A1,False,True,False,False
222,LNX1,True,False,False,False
223,MAPT,False,False,True,False
224,SHANK2,True,False,False,False
225,FZD4,True,True,True,True
226,NRG1,True,True,True,True
227,CALM2,True,False,True,False
228,TSPAN12,True,False,False,False
229,CLDN5,True,False,False,False
230,CCBE1,True,False,False,False
231,GPR4,False,False,True,False
232,PRRG4,True,False,False,False
233,GPR20,True,False,True,False
234,C3,True,True,True,True
235,ERBB3,True,True,True,True
236,CORT,True,True,True,True
237,MRGPRX1,True,True,True,False
238,ADORA2A,True,True,True,True
239,LIN7C,True,False,False,False
240,NRXN2,True,False,True,True
241,MFGE8,True,False,False,False
242,RARRES1,True,False,False,False
243,RHBDL2,True,False,False,False
244,GRM7,True,False,True,False
245,KCNA1,True,False,False,False
246,SMO,True,True,True,False
247,TMEM123,True,False,False,False
248,BTN3A1,True,False,False,False
249,OR2L13,False,False,True,False
250,ULBP1,True,True,False,True
251,IGKV1-16,True,False,False,False
252,RTN4R,True,False,True,True
253,IL12RB1,True,True,True,True
254,ESR1,True,True,True,False
255,PLD2,True,True,True,False
256,FZD8,True,True,True,True
257,CXCR4,True,True,True,True
258,SLC40A1,True,False,True,False
259,NAALAD2,True,False,False,False
260,ATP5B,False,False,True,False
261,GP6,True,False,True,True
262,AVP,True,True,True,True
263,COL4A3,True,True,False,True
264,KLRG2,True,True,False,False
265,CCL7,True,True,True,True
266,MBL2,True,False,False,False
267,MUC20,True,False,False,False
268,GALP,True,True,True,True
269,TGFBR3,True,True,True,False
270,VCL,True,False,False,False
271,CCL5,True,True,True,True
272,TNFRSF18,True,True,True,True
273,ZP2,False,False,True,False
274,CHRNA2,True,True,False,True
275,CLEC4M,True,True,True,False
276,FLOT1,True,False,False,False
277,GRIK1,False,False,True,False
278,IFNG,True,True,True,True
279,FCGR2B,False,False,True,False
280,CLMP,True,False,False,False
281,ACVR2A,True,True,True,True
282,GRP,True,True,True,True
283,ADRB3,True,True,True,False
284,CD28,True,True,True,True
285,FBRS,False,False,True,False
286,TNFRSF10C,True,True,True,False
287,FAM19A5,False,True,False,False
288,EFNA4,True,True,True,True
289,ADAM28,True,False,False,False
290,COLQ,True,False,False,False
291,LYPD3,True,False,False,False
292,HRH3,True,True,True,False
293,LEFTY2,True,True,True,False
294,NTN1,True,True,True,True
295,GNAI2,True,False,False,False
296,F2RL2,True,False,True,True
297,ADRA1A,True,True,True,False
298,FGF18,True,True,True,True
299,SLITRK3,True,False,False,True
300,MMP15,True,False,False,False
301,PI3,True,False,False,False
302,TPSG1,True,False,False,False
303,WNT10B,True,False,True,True
304,SEMA3G,True,False,False,True
305,JAK1,True,False,False,False
306,TECTA,True,False,False,False
307,COL1A2,True,True,False,True
308,HNRNPK,True,False,False,False
309,HRH2,True,True,True,False
310,CCL16,True,True,True,True
311,COL11A1,True,True,False,False
312,CD79B,True,False,False,False
313,SLC9C2,True,False,False,False
314,ECM1,True,False,False,False
315,PTGIS,False,True,False,False
316,KIR2DS4,True,False,True,True
317,NPB,True,True,True,True
318,OGN,True,True,False,False
319,IGSF9B,True,False,False,False
320,XPR1,True,True,True,False
321,HSD17B3,False,True,False,False
322,COL4A4,True,True,False,True
323,TLR6,True,False,False,False
324,TMEM222,True,False,False,False
