,ID,community,CPDB,NicheNet,CellChat
0,HRAS_SDC2,True,False,False,False
1, EBI3_IL27RA,False,False,False,True
2,WNT11_FZD8,True,True,False,True
3,NCAM1_FGFR2,True,False,False,False
4,EBI3_IL12RB2,False,True,False,False
5,LCK_CD8A,True,True,False,False
6,NPPC_NPR3,True,True,False,False
7,NID2_COL13A1,True,False,False,False
8,POMC_TSHR,True,False,False,False
9,PCDHGA10_PCDHGA10,False,False,False,True
10,IL33_ IL1RL1,False,False,False,True
11,DLL4_NOTCH3,True,True,True,True
12,ITGAX_FCER2,False,True,False,False
13,HSPG2_LRP2,True,False,False,False
14,FGB_ITGB3,True,True,False,False
15,GPC3_FLT1,True,False,False,False
16,FGF1_TGFBR3,True,True,False,False
17,LRFN4_PTPRS,False,False,False,True
18,COL4A3_ITGAV,False,False,False,True
19,IGF1_ ITGB4,False,False,False,True
20,EFNB2_EPHB2,True,True,True,True
21,ACTR2_LRP2,True,False,False,False
22,WNT11_SFRP2,False,True,False,False
23,CALM3_SCN10A,True,False,False,False
24,WNT4_FZD6,False,True,True,True
25,CRABP2_ALDH1A1,False,True,False,False
26,LAMC3_ITGA2,False,False,True,True
27,COL4A4_ITGA2,True,True,False,True
28,DMP1_PHEX,True,False,False,False
29,IFNA6_ IFNAR2,False,False,False,True
30,VEGFD_NRP2,True,False,False,False
31,XPR1_FGFR2,False,True,False,False
32,LCN2_LRP2,True,False,False,False
33,WNT4_LRP6,True,True,False,False
34,LPAR1_ADGRE5,False,False,False,True
35,COL20A1_ITGA10,False,True,False,False
36,CALM2_PDE1B,True,False,True,False
37,CGA_PTH1R,True,False,False,False
38,PDGFB_S1PR1,True,False,False,False
39,CXCL1_CXCR1,True,True,True,True
40,WNT16_ LRP6,False,False,False,True
41,SFRP5_WNT5B,False,True,False,False
42,ITGB3_FCER2,False,True,False,False
43,PYY_DPP4,True,True,False,False
44,WNT1_LRP6,True,True,False,False
45,ICAM1_ITGAM,True,True,False,True
46,SFRP4_WNT5B,False,True,False,False
47,SFRP4_WNT7A,False,True,False,False
48,PROC_TEK,True,False,False,False
49,AANAT_MTNR1B,True,False,True,False
50,GLG1_SELE,False,True,False,False
51,SLIT1_FLRT3,True,False,False,False
52,DAGLB_CNR2,False,True,False,False
53,SFRP5_WNT3,False,True,False,False
54,ANGPTL2_TLR4,True,False,False,True
