,ID,community,CPDB,NicheNet,CellChat
0,HRAS_SDC2,True,False,False,False
1, EBI3_IL27RA,False,False,False,True
2,CXCL10_GALR3,False,False,True,False
3,PF4_GABBR1,False,False,True,False
4,UTS2B_F2RL3,False,False,True,False
5,WNT11_FZD8,True,True,False,True
6,RTN4_CNTN1,False,False,True,False
7,NCAM1_FGFR2,True,False,True,False
8,FLRT2_FLT4,True,False,False,False
9,GIP_MC1R,False,False,True,False
10,PPY_HRH4,False,False,True,False
11,CORT_CCR3,False,False,True,False
12,HAVCR1_BTN3A3,True,False,False,False
13,NPB_GALR3,False,False,True,False
14,NPFF_OXTR,False,False,True,False
15,APLN_S1PR1,False,False,True,False
16,CXCL9_CNR1,False,False,True,False
17,POMC_SSTR5,False,False,True,False
18,PPBP_ACKR3,False,False,True,False
19,C5_S1PR1,False,False,True,False
20,NMB_HRH1,False,False,True,False
21,DKK2_WNT16,True,False,False,False
22,EGFR_ADRB2,True,False,False,False
23,EBI3_IL12RB2,False,True,True,False
24,LCK_CD8A,True,True,False,False
25,ALCAM_NTRK1,False,False,True,False
26,PPBP_DRD2,False,False,True,False
27,AGT_TAS2R13,False,False,True,False
28,POMC_TSHR,True,False,True,False
29,NID2_COL13A1,True,False,False,False
30,NPPC_NPR3,True,True,True,False
31,KNG1_HRH1,False,False,True,False
32,PCDHGA10_PCDHGA10,False,False,False,True
33,GAST_NTSR1,False,False,True,False
34,CCL25_ACKR3,False,False,True,False
35,CCL20_GABBR2,False,False,True,False
36,CDHR2_KIRREL1,True,False,False,False
37,NPS_MC2R,False,False,True,False
38,KNG1_GALR2,False,False,True,False
39,IL33_ IL1RL1,False,False,False,True
40,DLL4_NOTCH3,True,True,True,True
41,PPY_CCR5,False,False,True,False
42,RLN3_S1PR4,False,False,True,False
43,GHRH_MC5R,False,False,True,False
44,ITGAX_FCER2,False,True,False,False
45,PTGS2_MTNR1B,False,False,True,False
46,HSPG2_LRP2,True,False,True,False
47,EDN3_GPRC6A,False,False,True,False
48,FGB_ITGB3,True,True,False,False
49,GPC3_FLT1,True,False,False,False
50,FGF1_TGFBR3,True,True,True,False
51,LRFN4_PTPRS,False,False,False,True
52,NPFF_LPAR6,False,False,True,False
53,KISS1_EDNRB,False,False,True,False
54,COL4A3_ITGAV,True,False,False,True
55,AXL_VSIG10L,True,False,False,False
