,ID,community,CPDB,NicheNet,CellChat,community_curated,NicheNet_curated
0,NCAN_SDC3,True,False,False,False,True,False
1,DDC_HTR1B,False,True,False,False,False,False
2,ADM_ADORA2B,False,False,True,False,False,False
3,CDH6_CDH18,False,False,True,False,False,False
4,XCL2_TACR2,False,False,True,False,False,False
5,SORL1_APP,True,False,False,False,True,False
6,TNFRSF11A_TNFSF11,False,True,False,False,False,False
7,CXCL11_TAS2R31,False,False,True,False,False,False
8,HSP90B1_TLR2,True,False,False,False,True,False
9,SLURP1_CHRNA1,True,False,False,True,False,False
10,QRFP_UTS2R,False,False,True,False,False,False
11,LAMC1_ITGAV,True,True,False,False,False,False
12,APP_RPSA,True,False,False,False,True,False
13,PAPLN_CD200,True,False,False,False,True,False
14,NBL1_BMP7,True,False,False,False,False,False
15,LAMA1_LIFR,False,False,True,False,False,False
16,PDYN_GRM6,False,False,True,False,False,False
17,CXCL11_PTGDR2,False,False,True,False,False,False
18,CCK_PTAFR,False,False,True,False,False,False
19,PCDHA9_PCDHA9,False,False,False,True,False,False
20,WNT2_SFRP2,False,True,False,False,False,False
21,NMS_CXCR5,False,False,True,False,False,False
22,XCL2_NMUR2,False,False,True,False,False,False
23,CXCL11_FPR1,False,False,True,False,False,False
24,COL4A4_ITGA2,True,True,False,False,True,False
25,CXCL11_NPBWR1,False,False,True,False,False,False
26,PROK1_TACR3,False,False,True,False,False,False
27,PNOC_SSTR2,False,False,True,False,False,False
28,INSL5_GABBR2,False,False,True,False,False,False
29,NMB_EDNRA,False,False,True,False,False,False
30,XCL1_P2RY10,False,False,True,False,False,False
31,PIK3CB_GFRA3,False,False,True,False,False,False
32,COL18A1_KDR,True,False,True,False,True,False
33,HBEGF_ERBB2,True,True,True,False,False,False
34,AVP_GPR68,False,False,True,False,False,False
35,THBS4_FKBP1B,False,False,True,False,False,False
36,CXCL9_SSTR4,False,False,True,False,False,False
37,CDH1_RACK1,False,False,True,False,False,False
38,COL5A1_LAIR1,True,False,False,False,False,False
39,CXCL2_GRM3,False,False,True,False,False,False
40,NTS_F2RL1,False,False,True,False,False,False
41,NRP1_PLXNA1,True,False,False,False,True,False
42,PROK1_NPFFR1,False,False,True,False,False,False
43,CHAT_CHRM1,False,True,False,False,False,False
44,CCL28_OPRL1,False,False,True,False,False,False
45,CCK_NPFFR1,False,False,True,False,False,False
46,RLN2_ADCYAP1R1,True,False,True,False,True,False
47,CCL20_SSTR2,False,False,True,False,False,False
