,ID,community,CPDB,NicheNet
0,IFNAR2,True,True,True
1,IGDCC4,True,False,False
2,CXCR4,True,True,True
3,CD247,True,False,True
4,WNT3,True,True,True
5,TMEM167A,True,False,False
6,IL27,True,True,True
7,PRG4,True,False,False
8,CRISP3,True,False,False
9,IFNA7,True,True,True
10,GPR18,False,False,True
11,PCDHB16,False,False,True
12,PTCH1,True,True,True
13,CEL,True,True,False
14,ANOS1,True,False,False
15,PCDHA4,False,False,True
16,CDH19,True,False,True
17,TMEM259,True,False,False
18,SLIT1,True,True,True
19,CCL3L1,True,True,False
20,ITGB3BP,True,False,False
21,STAB1,True,False,False
22,LAMB2,True,False,True
23,PTPN11,True,False,False
24,FFAR3,False,False,True
25,CSF3,True,True,True
26,BTN3A1,True,False,False
27,ADCYAP1,True,True,True
28,STX1A,True,False,False
29,CD63,True,False,False
30,CSF1,True,True,True
31,FGFR1,True,True,True
32,DSC3,True,True,True
33,GPR55,True,True,True
34,CMTM2,False,False,True
35,NPY,True,False,True
36,SEMA6D,True,True,True
37,IL17B,True,False,True
38,EXOC3-AS1,True,False,False
39,COL5A3,True,True,True
40,TMEM219,True,True,False
41,BMPR1A,True,True,True
42,PTH2,True,True,True
43,NPY5R,True,True,True
44,HTR2C,True,True,True
45,CD38,True,True,False
46,ADAM15,True,False,True
47,PDE1C,True,False,True
48,CADM4,True,True,True
49,MLNR,True,True,True
50,CDC37,True,False,False
51,HCAR1,False,False,True
52,CBL,True,False,False
53,WNT9B,True,True,True
54,SEMA3G,True,False,False
55,FPR3,True,True,True
56,CERS6,True,False,False
57,SIGLEC14,True,False,False
58,IL11RA,True,True,True
59,PTGER1,False,True,True
60,OPCML,True,False,False
61,LIPC,True,False,False
62,GRIN2C,True,True,True
63,ABCA1,True,True,True
64,IFNA10,True,True,True
65,OMD,False,True,False
66,LTB,True,True,True
67,LILRA4,True,True,False
68,IL24,True,True,True
69,COL17A1,True,True,False
70,CALCR,True,True,True
71,CD81,True,False,False
72,CCRL2,True,True,True
73,HRH3,True,True,True
74,SCG2,False,False,True
75,ACP4,True,False,False
76,P2RX4,False,False,True
77,WBP1,True,False,False
78,A2M,True,False,True
79,L1CAM,True,True,True
80,FYN,True,False,False
81,PCDHGB4,True,False,False
82,COL9A1,True,True,False
83,MTNR1B,True,True,True
84,CFTR,True,False,True
85,CD276,True,True,False
86,CCL4L2,False,True,False
87,KIRREL3,True,False,False
88,CATSPER2,False,True,False
89,LRP6,True,True,True
90,IL4R,True,True,True
91,KCNA3,True,False,False
92,LY9,True,False,False
93,DSCAM,True,True,True
94,PKM,True,False,False
95,CCL3L3,False,False,True
96,CORIN,True,False,True
97,CTGF,False,False,True
98,UCN2,True,True,True
99,CCK,True,True,True
100,HLA-A,True,True,True
101,CCBE1,True,False,False
102,OPRD1,True,True,True
103,FAT4,True,False,True
104,CCL19,True,True,True
105,KIR3DS1,True,True,False
106,AKR1B1,False,True,False
107,APOB,True,True,True
108,CR1,True,False,False
109,LSAMP,True,False,False
110,IL3,True,True,True
111,NXNL1,False,True,False
112,RTN4,True,False,True
113,SECTM1,True,False,True
114,WNT5A,True,True,True
115,OSTN,True,True,True
116,FZD10,True,True,True
117,LVRN,True,False,False
118,LRTM2,True,False,False
119,RGMB,True,False,True
120,GAD1,True,False,True
121,GYPE,True,False,False
122,MKS1,True,False,False
123,OR51E2,False,False,True
124,ACVR2B,True,True,True
125,LDLR,True,True,True
126,CFP,True,False,False
127,HDGF,False,False,True
128,PDCD1,True,True,True
129,GPI,True,True,True
130,GABRA6,False,False,True
131,BMPR1B,True,True,True
132,NRG2,True,True,True
133,NFASC,True,False,True
134,TBXAS1,False,True,False
135,CLEC2A,True,True,False
136,KCNA1,True,False,False
137,PMCH,True,True,True
138,GALR1,True,True,True
139,ALOX5,True,True,True
140,SERPINF1,True,False,False
141,IL4,True,True,True
142,CD4,True,False,True
143,NPS,True,True,True
144,MAPK1,True,False,False
145,TIMP3,True,False,False
146,KDR,True,True,True
147,TAS2R40,False,False,True
148,GNRH2,True,True,True
149,NPB,True,True,True
150,TNFRSF10A,True,True,True
151,ANGPTL1,True,False,True
152,NMUR2,True,True,True
153,PRSS3,True,False,False
154,IL6,True,True,True
155,LGR5,True,True,True
156,ICOSLG,True,True,True
157,F11,True,False,False
158,TECTB,True,False,False
159,FAT2,False,False,True
160,IL13,True,True,True
161,TMIGD2,True,False,False
162,CGB8,True,False,False
163,PDGFRB,True,True,True
164,ENPEP,True,False,False
165,SERPINA1,True,False,True
166,KLRG2,True,True,False
167,PLA2G2A,True,True,False
168,ARF4,True,False,False
169,BSG,True,True,False
170,MYOC,True,False,False
