,ID,community,CPDB,NicheNet
0,JAG2,True,True,True
1,COL6A2,True,True,False
2,CLDN24,False,False,True
3,CHRNA9,True,False,False
4,ANOS1,True,False,False
5,IL18BP,True,False,False
6,MERTK,True,True,True
7,LGALS8,True,False,False
8,CNTN1,True,True,True
9,CXCL1,True,True,True
10,CD247,True,False,False
11,CHRNB2,True,True,False
12,F2R,True,False,True
13,EZR,True,True,False
14,THRA,False,True,False
15,LRP1,True,True,True
16,ITGA3,True,True,True
17,CD79A,True,False,False
18,MILR1,True,False,False
19,IDE,False,True,False
20,SCARB1,True,False,True
21,GAS6,True,True,True
22,CADM4,False,True,False
23,FGF19,True,True,True
24,NPPC,True,True,True
25,SEMA4D,True,True,True
26,CCL23,True,True,True
27,CD3D,True,False,False
28,MUC7,True,False,False
29,OCLN,True,False,True
30,RXRG,False,True,False
31,RSPO4,True,True,True
32,SCN2B,True,False,False
33,SLITRK5,True,False,False
34,ITGB6,True,True,True
35,MMP7,True,False,False
36,STX1A,True,False,False
37,ATP6AP2,True,True,True
38,UTS2R,True,True,True
39,IL31RA,True,False,True
40,CLEC4A,True,False,False
41,GNAS,True,False,False
42,CCR4,True,True,True
43,PTPRR,False,True,False
44,APLN,True,True,True
45,NPBWR1,True,True,True
46,SEMA6A,False,True,False
47,TFF3,True,False,False
48,ITGAM,True,True,True
49,TRPM2,True,False,False
50,ALOX5,True,True,True
51,AKR1D1,False,True,False
52,DDC,False,True,False
53,MFAP2,True,False,False
54,PLA2R1,True,False,False
55,NPBWR2,True,True,True
56,CRABP2,False,True,False
57,SEMA3A,True,True,True
58,AGTR2,True,True,True
59,RORC,False,True,False
60,REN,True,True,True
61,CD63,True,False,False
62,HTR6,True,True,True
63,MMP12,True,False,False
64,IL20,True,True,True
65,DPEP3,False,True,False
66,TIMP1,True,True,False
67,PODXL,True,True,False
68,KIR2DL3,True,True,True
69,CIRBP,True,False,False
70,CD1D,True,True,False
71,MIF,True,True,False
