,ID,community,CPDB,NicheNet
0,TMIGD2,True,False,False
1,EPHA1,True,True,True
2,PNMT,False,True,False
3,PLXNC1,True,True,True
4,EDN1,True,False,True
5,GAL,True,True,True
6,TSLP,True,True,True
7,BMPR1A,True,True,True
8,GALR3,True,True,True
9,COL4A5,True,True,False
10,COL9A2,True,True,False
11,CD27,True,True,True
12,ARF1,True,True,True
13,GPIHBP1,True,False,False
14,DCLK3,True,False,False
15,LPA,True,False,False
16,PTPRF,True,False,True
17,ICOSLG,True,True,True
18,BEX3,True,False,False
19,CNR2,True,True,False
20,LAMA1,True,False,True
21,NTN3,True,False,True
22,SCN2B,True,False,False
23,KLB,True,True,False
24,SCT,True,True,True
25,RXFP3,True,True,True
26,WFIKKN2,True,False,False
27,TNFRSF11A,True,True,True
28,SPARC,True,False,False
29,UBASH3B,False,True,False
30,FN1,True,True,True
31,GPC3,True,True,False
32,STAB2,True,False,False
33,ACE2,False,True,False
34,LPL,True,False,False
35,GNAI2,True,False,False
36,SULT1A1,False,True,False
37,NRG1,True,True,True
38,SCARA5,True,True,False
39,PILRB,True,False,False
40,COL9A1,True,True,False
41,NID2,True,False,False
42,IL2RG,True,True,True
43,NPTN,True,False,False
44,HTR1B,True,True,True
45,DEFB103A,True,False,False
46,CD200R1L,True,False,False
47,MC2R,True,True,True
48,IL22,True,True,True
49,ITGB3,True,True,True
50,NPW,True,True,True
51,ADRA2C,False,True,False
52,FGF4,True,True,True
53,ESAM,True,False,True
54,ANGPT1,True,True,True
55,FZD7,True,True,True
56,CEL,True,True,False
57,RORA,False,True,False
58,IL16,True,True,True
59,SAA1,True,True,True
60,CNTN2,True,False,True
61,CFH,True,False,True
62,LRRC4B,True,False,True
63,RARB,False,True,False
64,CYP11B1,False,True,False
65,KCNJ10,True,False,False
66,LEAP2,True,True,False
67,PMCH,True,True,True
68,CLEC2B,True,True,False
69,MLN,True,True,True
70,GPHA2,True,True,True
71,TNFRSF11B,True,True,True
72,CD209,True,True,False
73,GZMB,True,False,True
74,IFNK,True,True,True
75,CXCL14,True,True,False
76,PTGDR2,True,True,True
77,PRLHR,True,True,True
78,IHH,True,True,True
79,UNC5B,True,True,False
80,ATP6AP2,True,True,True
81,COL4A6,True,True,False
82,CD3D,True,False,False
83,ERBB4,True,True,True
84,IFNL4,True,False,False
85,CNTF,True,True,True
86,GNB3,True,False,False
87,ITGAE,True,True,True
88,PLXND1,True,True,True
89,GALP,True,True,True
90,SEMA4D,True,True,True
91,MCHR1,True,True,True
92,WNT9B,True,True,False
93,FGF2,True,True,True
