,ID,community,CPDB,NicheNet
0,ITGA3,True,True,True
1,LILRA1,True,False,False
2,NPPA,True,True,True
3,NAALADL1,True,False,False
4,CCR2,True,True,True
5,IL17C,True,True,True
6,NCR2,True,False,False
7,CNTN1,True,True,True
8,CCL2,True,True,True
9,ALDH1A3,False,True,False
10,ITGA7,True,True,True
11,ESR2,False,True,True
12,GABRQ,False,False,True
13,TECTB,True,False,False
14,CNGA2,True,False,True
15,EDNRA,True,True,True
16,EPHA1,True,True,True
17,ALOX5,True,True,True
18,IL34,True,True,True
19,DLG4,False,False,True
20,HSPA4,True,False,False
21,PTPRU,True,True,False
22,CPAMD8,True,False,False
23,CSF1,True,True,True
24,ADRB1,True,True,True
25,DEFB4B,True,False,True
26,MUC1,True,False,False
27,MC2R,True,True,True
28,PLD1,True,False,False
29,CDH13,True,False,True
30,IGFL2,True,True,False
31,TIMD4,True,False,False
32,BTNL9,True,False,False
33,NOV,False,True,True
34,CDHR5,False,False,True
35,RABEP1,False,False,True
36,PTPRD,True,False,True
37,ACE2,True,True,False
38,CXCL16,True,True,True
39,NLGN4X,True,False,False
40,PCDHA2,False,False,True
41,CD40LG,True,True,True
42,CHAD,True,False,True
43,FGF13,True,False,True
44,YBX1,True,False,False
45,IGFBPL1,True,False,False
46,ARPC5,True,False,False
47,MRC1,True,True,False
48,SERPINF1,True,False,False
49,QRFP,True,True,True
50,CBL,True,False,False
51,IRS4,True,False,False
52,TJP2,True,False,False
53,C5AR1,True,True,True
54,ADM2,True,True,True
55,COL6A2,True,True,False
56,TRAF3,True,False,False
57,GPR17,False,True,True
58,IL3,True,True,True
59,CATSPER4,False,True,False
60,TNFRSF1A,True,True,True
61,ANXA6,False,False,True
62,CD200,True,True,True
63,HSP90AA1,True,False,False
64,SLIT3,True,False,False
65,APELA,True,True,False
66,HHLA3,True,False,False
67,BMP2,True,True,True
68,LAMB1,True,False,True
69,RORA,False,True,False
70,CD83,True,True,False
71,CD40,True,True,True
72,TRAM1,False,False,True
73,SSTR5,True,True,True
74,CER1,True,True,False
75,KIAA0319L,True,False,False
76,SCARA5,True,True,False
77,DIP2A,True,False,False
78,LY6G6F,True,False,False
79,CD300A,True,False,False
80,FYN,True,False,False
81,ITGA9,True,True,True
82,ACP4,True,False,False
83,EPB41L1,False,True,False
84,HTR5A,True,True,True
85,IGSF21,True,False,False
86,IL17F,True,True,True
87,PTPRA,True,False,True
88,LRFN4,True,False,False
89,HSP90B1,True,False,True
90,CDH17,False,False,True
91,TAS2R16,False,False,True
92,FXYD6,True,False,False
93,CD2,True,True,True
94,BMPR2,True,True,True
95,KLRC2,True,True,True
96,LAMA4,True,False,False
97,CXCR5,True,True,True
98,SLC4A11,True,False,False
99,IL32,True,False,False
100,SPINK1,True,False,False
101,LRP2,True,False,True
102,P2RY13,False,False,True
103,WNT16,True,True,False
104,OGN,True,True,False
105,PLA2R1,True,False,False
106,SLC45A3,True,False,False
107,UBC,True,False,False
108,APLN,True,True,True
109,IL17B,True,False,True
110,GRIA1,False,False,True
111,CGA,True,True,True
112,GP6,True,False,True
113,ITGA2,True,True,True
114,PVRIG,True,False,True
115,DBP,True,False,False
116,CELSR1,True,False,True
117,ASMT,False,True,False
118,NPY5R,True,True,True
119,FGF16,True,False,True
120,TGM2,True,False,False
121,FZD6,True,True,True
122,TNFSF11,True,True,True
123,GPR83,True,False,True
124,COL4A3,True,True,False
125,SLC22A17,False,True,False
126,PTPN11,True,False,False
127,SLITRK3,True,False,False
128,GZMB,True,False,True
129,C1QA,True,False,False
130,PTGER3,True,True,True
131,CDH15,False,False,True
132,GABRA2,False,False,True
133,IL23R,True,True,True
134,PCDH15,False,False,True
135,CHRNA6,True,True,False
136,LCK,True,True,False
137,BCR,False,True,False
138,PRRG4,True,False,False
139,SEMA4G,True,True,False
140,MSN,True,False,False
141,NPY2R,True,True,True
142,CLDN7,True,False,False
143,NOTUM,True,False,False
144,ITLN1,True,False,False
145,BTN2A1,True,False,False
146,LIF,True,True,True
147,PRND,True,False,True
148,CCL15,True,True,True
149,LRFN3,True,False,False
150,ATP5F1B,True,False,False
151,PCDHAC1,True,False,False
152,SLC5A11,True,False,False
153,VEGFD,True,True,True
154,FZD3,True,True,True
155,AMFR,True,False,True
156,ICAM3,True,True,True
157,YARS1,True,False,False
158,IZUMO1R,True,False,False
159,COL8A2,True,True,False
160,PEPD,True,False,False
161,COL12A1,False,True,False
162,IL7R,True,True,True
163,FAM19A1,False,True,False
164,SHANK1,True,False,False
165,AANAT,True,False,True
166,PTPRZ1,True,True,True
167,TAS2R38,False,False,True
168,IFNA14,True,True,True
169,PLEKHO2,False,False,True
170,NMU,True,True,True
171,CYSLTR1,False,True,True
172,RXFP1,True,True,True
173,LVRN,True,False,False
174,MUC6,True,False,False
175,MDGA1,True,False,False
176,LTBR,True,True,True
177,CD82,True,False,False
178,GYPE,True,False,False
179,TNC,True,True,True
180,ITGB5,True,True,True
181,ENTPD1,True,True,False
182,NEO1,True,False,True
183,ERG28,True,False,False
184,TLR3,True,False,False
