,ID,community,CPDB,NicheNet
0,AVP_CFTR,False,False,True
1,PDYN_TAS2R3,False,False,True
2,CLEC2A_KLRB1,True,False,False
3,APP_CCKAR,False,False,True
4,GDF1_ACVR1,True,False,False
5,EDN3_HTR2B,False,False,True
6,CXCL9_LPAR3,False,False,True
7,DSG2_DSC2,False,True,True
8,SFRP4_WNT11,False,True,False
9,BMP8B_BMPR2,True,False,True
10,CRH_PTH1R,True,False,True
11,F2_FFAR1,False,False,True
12,FN1_LRP4,True,False,False
13,F12_CD93,True,False,False
14,CGA_SCTR,False,False,True
15,EFNA4_EPHA7,True,True,True
16,SAA1_OPN4,False,False,True
17,CXCL8_ADRA2A,True,False,False
18,MYOC_FZD10,True,False,False
19,CORT_NPY5R,False,False,True
20,GDF6_ACVR2A,False,True,False
21,HSPG2_DAG1,True,False,True
22,CCL27_GRM4,False,False,True
23,GCG_BDKRB1,False,False,True
24,CXCL10_LPAR1,False,False,True
25,CXCL11_DRD4,False,False,True
26,CXCL11_GABBR1,False,False,True
27,FLRT3_ADGRL3,False,False,True
28,AVP_LTB4R2,False,False,True
29,RSPO1_WNT8B,True,False,False
30,COL28A1_ITGA11,False,True,False
31,RYK_FZD6,True,False,False
32,TRH_FFAR3,False,False,True
33,APLN_CCR4,False,False,True
34,SOSTDC1_WNT10A,True,False,False
35,VCAN_COL1A1,True,False,False
36,PDYN_LPAR1,False,False,True
37,PMCH_P2RY1,False,False,True
38,HMGB2_CDH1,False,False,True
39,SCN2B_CD200R1,True,False,False
40,CCL5_GALR1,False,False,True
41,LEAP2_GHSR,True,True,False
42,FGB_ITGAV,True,False,False
43,CXCL6_OPRM1,False,False,True
44,PNOC_C5AR1,False,False,True
45,GHRL_GPR4,False,False,True
46,DHH_GAS1,False,True,False
47,L1CAM_ALCAM,False,False,True
48,NCAM1_CNTN1,True,False,False
49,CORT_ADRA2B,False,False,True
50,NTN3_TGFBR1,False,False,True
51,KDR_VEGFC,True,False,False
52,GDF3_TGFBR1,True,False,False
53,CXCL11_NMUR1,False,False,True
54,CLEC2B_KLRF1,True,True,False
55,QRFP_TRHR,False,False,True
56,TNF_NOTCH1,True,True,False
57,RABEP2_NTRK1,False,False,True
58,CXCL10_TAS2R41,False,False,True
59,COL4A2_ITGB3,True,False,False
60,TCN2_CNR1,True,False,False
61,IGFBP3_IGFL3,True,False,False
62,CXCL9_TAS2R40,False,False,True
63,FSHB_CRHR1,False,False,True
64,LEFTY2_BMP8B,True,False,False
65,NPS_AVPR1B,False,False,True
66,NPFF_XCR1,False,False,True
67,SIGLEC7_BOC,True,False,False
68,ICAM3_CD209,True,True,False
69,EFNB1_EGFR,False,False,True
70,FGF21_FGFR3,True,False,False
71,ANXA1_CXCR3,False,False,True
72,LAMB2_SV2C,True,False,False
73,LAMA2_ITGA7,True,False,True
74,COL18A1_KDR,True,False,True
75,PGLYRP1_TREM1,True,False,True
76,PTHLH_MC4R,False,False,True
77,IGSF11_EPGN,True,False,False
78,CXCL6_OPRK1,False,False,True
79,COL9A3_ITGA2,False,True,False
80,GCG_HTR4,False,False,True
81,VEGFC_NRP1,False,False,True
82,CCL21_SUCNR1,False,False,True
83,PMCH_CHRM1,False,False,True
84,EFNB1_EPHA8,False,False,True
85,CXCL13_GPR17,False,False,True
86,LRRC4B_PTPRS,True,False,False
87,PDYN_TAS2R1,False,False,True
88,WNT7B_SFRP2,False,True,False
89,CD300A_IGSF5,True,False,False
90,CCL21_FPR2,False,False,True
91,SLITRK3_PTPRS,True,False,False
92,VEGFA_PIK3CB,False,False,True
93,MPIG6B_TNFRSF21,True,False,False
94,KISS1_F2RL3,False,False,True
95,DDC_HTR2C,False,True,False
96,COMP_ITGA5,True,False,True
97,INSL5_CCR2,False,False,True
98,HSPG2_SDC1,True,False,False
99,TCTN1_CEP290,True,False,False
100,EFNA2_EPHA10,True,False,False
101,CORT_GABBR2,False,False,True
102,CXCL3_CNR2,False,False,True
103,WNT2_FZD8,True,True,True
104,CTHRC1_ROR2,True,False,False
105,RSPO1_WNT10B,True,False,False
106,ANGPTL4_TIE1,True,False,False
107,VEGFB_FLT1,True,True,True
108,CXCL2_HTR1B,False,False,True
109,HEBP1_MCHR1,False,False,True
110,EFNA4_EPHA6,True,False,True
111,THBS2_LRP4,True,False,False
112,MXRA5_PILRA,True,False,False
113,XCL1_CCKBR,False,False,True
114,BMP8B_ACVR1,True,False,True
115,PPBP_HTR1F,False,False,True
116,NPY_CASR,False,False,True
117,GIP_GPR45,False,False,True
118,SAA1_TAS2R3,False,False,True
119,PROK1_F2RL1,False,False,True
120,AVP_CASR,False,False,True
121,C3_MTNR1B,False,False,True
122,PORCN_WNT7A,True,False,False
123,TRH_HTR2B,False,False,True
124,GHRL_BDKRB1,False,False,True
125,ARTN_RET,True,False,True
126,CCL2_CCR3,True,False,True
127,GREM1_BMP8A,True,False,False
128,GCG_OPN4,False,False,True
129,VTN_ITGB3,True,True,True
130,JAM2_JAM2,False,False,True
131,VCAN_TLR6,True,False,False
132,NMU_GHSR,False,False,True
133,PF4_HRH4,False,False,True
134,SST_TAS2R13,False,False,True
135,KNG1_XCR1,False,False,True
136,NMB_HCRTR1,False,False,True
137,ANXA1_F2RL1,False,False,True
138,TAC3_F2RL1,False,False,True
139,APOE_LRP4,True,False,False
140,XCL1_NMBR,False,False,True
141,POMC_SSTR4,False,False,True
142,C3_LRP1,True,False,True
143,PPY_HCAR1,False,False,True
144,NTS_OPN4,False,False,True
145,IFNA1_CR2,True,True,False
146,EDN1_HTR2C,False,False,True
147,LY6G5C_PGAP6,True,False,False
