,ID,community,CPDB,NicheNet
0,VIP_SCTR,True,False,True
1,BMPR2_BMPR1B,False,True,False
2,BMPR2_BMP4,True,False,False
3,CLEC11A_ITGA11,True,False,False
4,IFNL3_IL10RB,True,True,True
5,CDON_PTCH1,False,True,False
6,SFRP1_WNT7A,False,True,False
7,PENK_MRGPRX1,True,True,True
8,C3_ITGAM,True,True,True
9,NLGN2_NRXN2,True,False,True
10,LAMA1_ITGA3,True,False,True
11,TNFRSF11B_TNFSF10,True,True,False
12,BMP7_PTPRK,True,True,False
13,ALDH1A3_CRABP2,False,True,False
14,FRZB_WNT3A,True,True,False
15,TFF3_ACKR3,True,False,False
16,SLURP2_CHRNB4,True,False,False
17,VGF_NTRK1,True,True,True
18,S100A9_ALCAM,True,False,False
19,MAML2_NOTCH3,True,False,False
20,WNT5A_ANTXR1,True,True,True
21,KIR2DL3_HLA-C,False,True,False
22,GAS1_SHH,False,True,False
23,CALM1_PTPRA,True,False,False
24,IL6_MUSK,True,False,False
25,BMPR2_ACVR1,True,False,False
26,FGF16_FGFR1,True,False,True
27,CATSPERD_CATSPER1,False,True,False
28,FAM19A4_SORL1,False,True,False
29,BMP6_AMHR2,True,False,False
30,WNT9A_FZD3,True,True,True
31,FDX1_NR1I2,False,True,False
32,RET_GFRA1,True,True,True
33,TDGF1_GPC1,True,False,True
34,ADAM23_ITGB3,True,False,True
35,CLEC11A_ITGA10,True,False,False
36,LHB_ADRB3,True,False,True
37,SEMA4A_PLXND1,False,True,False
38,EFNA3_EPHA3,True,True,True
39,LGALS9_DAG1,False,True,False
40,NAMPT_ADORA2A,True,True,True
41,PTH2_GPR84,True,False,False
42,SEMA5A_PLXNA3,True,False,False
43,WNT16_CER1,False,True,False
44,ICAM2_ITGB2,True,True,True
45,SLURP2_CHRNB2,True,False,False
46,TAC1_DPP4,True,False,False
47,TTR_NGFR,True,True,True
48,COL1A1_ITGA2,True,True,True
49,WNT4_SFRP4,False,True,False
50,MDK_ITGB1,True,False,False
51,WNT3_SFRP1,True,True,True
52,BOC_DHH,False,True,False
53,TGM2_ITGB1,True,False,False
54,THBS1_CD36,True,True,True
55,CALM3_PDE1B,True,False,True
56,PTDSS1_SCARB1,True,False,True
57,COL18A1_ITGB1,True,True,True
58,COL22A1_ITGA10,False,True,False
59,CD83_FGFR2,False,True,False
60,EFNA3_EPHA2,True,True,True
61,CXCL12_CXCR3,True,True,True
62,NGF_SORCS2,True,False,True
63,SLITRK2_PTPRD,True,False,False
64,PAM_FAP,True,False,False
65,CYP17A1_AR,False,True,False
66,GALP_GALR2,True,True,True
67,HP_TLR4,True,False,False
68,FRZB_WNT2,True,True,False
69,CD74_CXCR4,True,False,False
70,THBS1_LRP1,True,False,True
71,IL4R_IL2RG,True,False,False
72,WNT7B_LRP6,False,True,False
73,WNT10A_FZD9,True,False,False
74,VSTM1_LAMP1,True,True,False
75,ITGB3BP_ITGB5,True,False,False
76,CXCL8_KDR,True,False,False
77,COL16A1_ITGA10,False,True,False
78,HLA-B_LILRA1,True,False,False
79,KIR3DL2_HLA-B,False,True,False
80,JAM3_ITGB1,True,False,False
81,PLXNA1_TREM2,True,True,False
82,VCAM1_FGA,True,False,False
83,SPP1_S1PR1,True,False,False
84,LTF_BTN3A2,True,False,False
85,UTS2B_SSTR5,True,False,False
86,MXRA5_MPIG6B,True,False,False
87,ADAM9_ITGAV,True,False,True
88,ADAM17_IL6R,True,False,True
89,F12_GP9,True,False,False
90,C1QB_LRP1,True,False,False
91,PDYN_MTNR1A,True,False,True
