,ID,community,CPDB,NicheNet
0,CGA_ADCYAP1R1,True,False,True
1,IL20_IL20RB,True,True,True
2,VTN_ITGB8,True,False,True
3,COL18A1_ITGA1,False,True,False
4,FAM3C_LAMP1,True,True,False
5,TNFSF13B_CD40,True,True,False
6,CCL13_ACKR4,True,False,True
7,MMP2_CCR2,True,False,False
8,INHBA_ACVR1B,True,True,True
9,TIMP1_CD63,True,False,False
10,PDGFD_PDGFRA,True,True,False
11,PLG_FLT1,True,False,False
12,BOC_PTCH1,False,True,False
13,TNFSF11_LGR4,True,False,False
14,MPZ_MPZ,False,False,True
15,HP_ASGR1,True,False,False
16,ADAM9_ITGB1,True,False,True
17,GSTM2_RYR2,True,False,False
18,CXCL14_CXCR4,True,True,True
19,CYP3A4_NR1H4,False,True,False
20,FRZB_WNT11,False,True,False
21,FGF13_EGFR,True,False,False
22,LGALS1_PTPRC,True,False,False
23,ANGPTL1_LILRB2,True,False,False
24,CD8A_CEACAM5,True,False,False
25,VEGFA_EPHB2,True,True,True
26,WNT8B_FZD8,True,True,False
27,PVR_PVRIG,True,False,False
28,SFRP2_WNT8A,True,True,False
29,CD59_TNFSF15,True,False,False
30,WNT9B_FRZB,False,True,False
31,LINGO4_NFASC,True,False,False
32,IFNA4_IFNAR1,True,True,True
33,HLA-DRA_LAG3,True,False,False
34,ICAM5_ITGB2,True,False,True
35,CD40_CD40LG,False,False,True
36,IL2RB_IL2,True,False,False
37,COL4A1_ITGAV,True,False,False
38,CALM1_AQP1,True,False,False
39,INHBB_CFC1B,True,False,False
40,WNT2B_SFRP4,False,True,False
41,BST2_LILRA4,True,True,False
42,GNRH2_GNRHR,True,True,True
43,COL18A1_GPC4,True,False,False
44,LGALS3_MCAM,True,False,False
45,COL1A1_GP6,True,False,True
46,SEMA4A_LILRB2,True,False,False
47,CLEC11A_KIT,True,False,True
48,ADAM2_ITGB1,True,False,True
49,WNT8A_FZD6,True,True,False
50,TCN2_CNR1,True,False,False
51,WNT9A_LRP5,True,True,True
52,NTNG1_LRRC4C,True,False,True
53,F2_GP1BA,True,True,True
54,ICAM1_SPN,True,False,True
55,MDK_SDC2,True,False,False
56,ASIP_ATRN,True,False,True
57,ADAM2_ITGA6,True,False,True
58,WNT5B_FZD5,True,True,False
59,ACVR2A_BMP6,True,False,False
60,CXCL13_ACKR4,True,True,True
61,VEGFD_FLT1,True,False,False
62,CCL27_ACKR2,True,True,True
63,SYK_LAT,True,False,False
64,BDNF_GPR152,True,True,False
65,SHANK1_ADGRL1,True,False,False
66,NPY_NPY5R,True,False,True
67,B2M_LILRB1,True,False,False
68,IFNW1_IFNAR1,True,True,True
69,COL5A3_ITGA1,True,True,False
70,COL9A1_ITGB1,True,True,False
71,ANXA1_FPR1,True,True,True
72,CDH1_ERBB3,True,False,False
73,IHH_BOC,True,True,False
74,SELL_MADCAM1,True,False,True
75,TGM2_ITGA4,True,False,False
76,SEMA3B_PLXNA2,True,False,False
77,CD40LG_CD9,True,False,False
78,LTF_LRP11,True,False,True
79,GNAI2_PTPRU,True,False,False
80,IAPP_CALCR,True,True,True
81,ACVR2B_BMPR1A,True,False,False
82,SFRP1_WNT11,False,True,False
83,CXCL16_ADRA2A,True,False,True
84,CHAT_CHRM2,False,True,False
85,FLT3_FLT3LG,True,False,False
86,CCL7_NR3C1,False,True,False
87,SFRP5_WNT4,True,True,False
88,KLK3_EPOR,True,False,True
89,CALM2_TRPC5,True,False,False
90,LEFTY1_ACVR2A,True,False,True
91,CATSPER1_CATSPERD,False,True,False
92,AGT_AGTR2,True,True,True
93,WNT10B_LRP5,True,False,True
94,VIP_ADRB2,True,False,True
95,TNFSF18_TNFRSF18,True,True,True
96,C3_CR2,True,False,False
97,HRAS_CAV1,True,False,False
98,AIMP1_NTRK1,True,True,True
99,FGF6_SDC4,True,False,False
100,COL17A1_ITGB1,False,True,False
101,SECTM1_CD7,True,False,True
102,RSPO4_LGR4,True,True,True
103,CXCL13_ACKR1,True,False,False
104,CALM3_SELL,True,False,False
105,CRABP2_RARA,False,True,False
106,SFRP4_WNT7B,True,True,False
107,IL6_HRH1,True,True,True
108,S100A9_CD68,True,False,False
109,CCL19_ACKR2,True,False,True
110,AGRN_LRP2,True,False,True
111,CCL11_CCR5,True,False,True
112,NPS_GPR20,True,False,False
113,CCL4L1_CCR3,True,False,False
114,WNT4_FZD4,True,True,False
115,CALCA_ACKR3,True,False,False
116,CALM1_GRM3,True,False,False
117,NPS_RAMP3,True,False,False
118,ADCYAP1_ADCYAP1R1,True,True,True
119,WNT6_FZD4,True,True,False
120,SPP1_CCR8,True,True,False
121,SFRP2_WNT9B,True,True,False
122,ADAM10_NRCAM,True,False,False
123,WNT8A_FZD5,True,True,False
124,CSF1_CSF3R,True,False,True
125,TNFRSF6B_TNFSF14,False,True,False
126,SORL1_APP,True,False,False
127,C3_NRP1,True,False,False
128,ADO_ADORA2B,True,False,False
129,FAM19A4_TGFBR3,False,True,False
130,F7_F3,True,False,True
131,LGALS3BP_ITGB1,True,False,False
132,HLA-A_LILRB1,True,False,False
133,TNFSF4_TRAF2,True,False,True
134,WNT5B_FZD10,True,True,False
135,PTCH1_SHH,False,True,False
136,LAMB1_ITGB1,True,False,True
137,TPH1_HTR2B,True,False,True
138,FAM3C_LIFR,True,False,False
139,CCN2_LRP1,True,False,False
140,CD226_PVR,False,True,True
141,DLL4_NOTCH2,True,True,True
142,PROK1_PROKR1,True,True,True
143,CXCL5_ACKR1,True,True,True
144,DDC_HTR1A,False,True,False
145,CALCB_PTH1R,True,False,True
146,GDF5_BMPR1B,True,True,True
147,PTHLH_TSHR,True,False,True
148,TGFA_PTPRD,True,False,False
149,AMELX_CD63,True,False,False
150,GALP_GALR2,True,True,True
151,GNAS_HTR6,True,False,False
152,PDCD1_PDCD1LG2,False,True,False
153,CCL19_ADRA2A,True,False,True
154,HP_ITGAM,True,False,False
155,WNT1_SFRP1,True,True,True
156,AGT_LRP2,True,False,True
157,GHRH_RAMP3,True,False,True
158,SEMA3F_NRP2,True,True,True
159,ACVRL1_TGFB1,True,False,False
160,TSHB_PTH1R,True,False,True
161,BMP5_HJV,True,False,False
162,WIF1_WNT2B,True,True,False
