id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy
1,CPI-CS0A5B6BD7A,1282,917,HMRbase;uniprot;reactome,curated
2,CPI-CS047D9C0D7,1430,917,HMRbase;uniprot;reactome,curated
3,CPI-CS04A56D5BE,1282,1189,HMRbase;uniprot;reactome,curated
4,CPI-CS0F5B070C5,1430,1189,HMRbase;uniprot;reactome,curated
5,CPI-CS0AFE4D0CB,1430,864,uniprot;reactome,curated
6,CPI-CS00DCACEEE,1431,864,uniprot;reactome,curated
7,CPI-CS0957C3253,1432,864,uniprot;reactome,curated
8,CPI-CS08D535BCF,1283,1102,HMRbase;uniprot,curated
9,CPI-CS01C347639,1284,1102,HMRbase;uniprot,curated
10,CPI-CS019C00E02,1312,1102,HMRbase,curated
11,CPI-SS0F8463C75,131,1102,,InnateDB-All
12,CPI-CS03629A52A,1285,471,reactome,curated
13,CPI-CS007D418BE,1286,471,reactome,curated
14,CPI-CS0C6F86DF5,1285,609,reactome,curated
15,CPI-CS030959ED1,1286,609,reactome,curated
16,CPI-SS05BA6D9C3,365,609,,"IMEx,IntAct"
17,CPI-CS045C37E64,1285,1267,reactome,curated
18,CPI-CS01F7D06F1,1286,1267,reactome,curated
19,CPI-SS0ADC886E5,365,741,,I2D
20,CPI-SS03A875239,64,741,uniprot;reactome,curated
21,CPI-SS04297753E,329,741,,"IMEx,MINT"
22,CPI-SS0B784A03E,488,741,PMID:24218476,curated
23,CPI-SS0268D47AD,365,1044,,"IMEx,IntAct"
24,CPI-SS0B26EEF21,124,1044,,"IMEx,IntAct"
25,CPI-SS094C06AA8,180,1044,,"IMEx,IntAct"
26,CPI-SS000171CB7,597,1044,,"IMEx,IntAct"
27,CPI-SS016B111FE,179,1044,,"IMEx,IntAct"
28,CPI-SS0714977CA,499,1044,,"IMEx,IntAct"
29,CPI-SS0E1389B57,926,1044,,"IMEx,IntAct"
30,CPI-SS0A866903F,1037,1044,,"IMEx,IntAct"
31,CPI-SS0795802F6,365,572,,"IMEx,IntAct"
32,CPI-SS03105D292,309,572,,I2D
33,CPI-SS0D1D95883,365,739,uniprot,curated
34,CPI-SS0C090A257,326,739,PMID:15251452,curated
35,CPI-SS0B01D306C,368,739,PMID:24218476,curated
36,CPI-SS008F83E02,365,1211,,"IMEx,IntAct"
37,CPI-CS016CDFE07,1287,1043,HMRbase;uniprot,curated
38,CPI-CS072C12EF4,1288,259,HMRbase,curated
39,CPI-SS0A7B487D4,1,138,,InnateDB-All
40,CPI-CS0003C70E9,1357,138,PMID:24532711,curated
41,CPI-CS0E9CB1664,1358,138,PMID:24532711,curated
42,CPI-CS0481C1F9A,1359,138,PMID:24532711,curated
43,CPI-CS0F29C6285,1360,138,PMID:24532711,curated
44,CPI-CS0372FC240,1361,138,PMID:24532711,curated
45,CPI-CS031A2034E,1362,138,PMID:24532711,curated
46,CPI-CS02643715E,1363,138,PMID:24532711,curated
47,CPI-CS00F8E8AC0,1364,138,PMID:24532711,curated
48,CPI-CS03D573715,1365,138,PMID:24532711,curated
49,CPI-CS055AB879D,1366,138,PMID:24532711,curated
50,CPI-CS08A2EA5F7,1367,138,PMID:24532711,curated
51,CPI-CS0AC9A92AD,1368,138,PMID:24532711,curated
52,CPI-CS04C0033E6,1369,138,PMID:24532711,curated
53,CPI-CS062754C53,1370,138,PMID:24532711,curated
54,CPI-CS0507A53BC,1371,138,PMID:24532711,curated
55,CPI-CS04B8C1A44,1372,138,PMID:24532711,curated
56,CPI-CS03B3DCBA3,1373,138,PMID:24532711,curated
57,CPI-CS000A36A67,1374,138,PMID:24532711,curated
58,CPI-CS0FE6AA4D0,1375,138,PMID:24532711,curated
59,CPI-CS09D722BE6,1376,138,PMID:24532711,curated
60,CPI-SS0F8288403,134,138,PMID:10067895,curated
61,CPI-SS0FEC87269,1,661,,InnateDB-All
62,CPI-SS028784FC6,10,661,,InnateDB-All
63,CPI-SS00A8596B5,392,661,,InnateDB-All
64,CPI-SS044DF8749,1,1151,,InnateDB-All
65,CPI-CS0B031BE95,1357,1151,PMID:24532711,curated
66,CPI-CS0B00A632D,1358,1151,PMID:24532711,curated
67,CPI-CS07545410E,1359,1151,PMID:24532711,curated
68,CPI-CS01D8707DF,1360,1151,PMID:24532711,curated
69,CPI-CS0DF112C1C,1361,1151,PMID:24532711,curated
70,CPI-CS0FCBFAE02,1362,1151,PMID:24532711,curated
71,CPI-CS0DCC20D87,1363,1151,PMID:24532711,curated
72,CPI-CS090834433,1364,1151,PMID:24532711,curated
73,CPI-CS0B0D7EFFD,1365,1151,PMID:24532711,curated
74,CPI-CS06CF549E0,1366,1151,PMID:24532711,curated
75,CPI-CS026456D1C,1367,1151,PMID:24532711,curated
76,CPI-CS016BAF864,1368,1151,PMID:24532711,curated
77,CPI-CS0890B81F6,1369,1151,PMID:24532711,curated
78,CPI-CS0382E5A36,1370,1151,PMID:24532711,curated
79,CPI-CS04EF7616F,1371,1151,PMID:24532711,curated
80,CPI-CS0613E3AB7,1372,1151,PMID:24532711,curated
81,CPI-CS0DB2153A6,1373,1151,PMID:24532711,curated
82,CPI-CS0AE8152FD,1374,1151,PMID:24532711,curated
83,CPI-CS0782E09E8,1375,1151,PMID:24532711,curated
84,CPI-CS0F6EF74BE,1376,1151,PMID:24532711,curated
85,CPI-SS071F7D46C,134,1151,PMID:10067895,curated
86,CPI-SS0BBB4E185,954,1151,PMID:12775774,curated
87,CPI-SS08696CC33,961,1151,PMID:12775774,curated
88,CPI-SS02E513EE6,1018,1151,PMID:12775774,curated
89,CPI-SS004A55455,1063,1151,PMID:12775774,curated
90,CPI-SS098223056,1084,1151,PMID:12775774,curated
91,CPI-CS078A03C00,1357,235,PMID:24532711,curated
92,CPI-CS0E7296DCC,1358,235,PMID:24532711,curated
93,CPI-CS0013B4F9C,1359,235,PMID:24032637,curated
94,CPI-CS0D8D740D0,1360,235,PMID:24032637,curated
95,CPI-CS016FA0A89,1361,235,PMID:24532711,curated
96,CPI-CS024B9BE75,1362,235,PMID:24532711,curated
97,CPI-CS0F22D52C8,1363,235,PMID:24532711,curated
98,CPI-CS0BDA45927,1364,235,PMID:24532711,curated
99,CPI-CS07DBC7D4F,1365,235,PMID:24532711,curated
100,CPI-CS0A56528EB,1366,235,PMID:24532711,curated
101,CPI-CS0B2E8C8EF,1367,235,PMID:24532711,curated
102,CPI-CS07277CD50,1368,235,PMID:24532711,curated
103,CPI-CS0657A12E9,1369,235,PMID:24532711,curated
104,CPI-CS0C9174A37,1370,235,PMID:24532711,curated
105,CPI-CS073E6987B,1371,235,PMID:24532711,curated
106,CPI-CS00C4AD735,1372,235,PMID:24532711,curated
107,CPI-CS0621C1CFD,1373,235,PMID:24532711,curated
108,CPI-CS0A0235348,1374,235,PMID:24532711,curated
109,CPI-CS05821E5C2,1375,235,PMID:24532711,curated
110,CPI-CS0E2A9E72A,1376,235,PMID:24532711,curated
111,CPI-SS01074696B,134,235,PMID:10067895,curated
112,CPI-CS00426FECA,1355,235,reactome;uniprot,curated
113,CPI-CS0A527731D,1357,660,PMID:24532711,curated
114,CPI-CS0B3F661F1,1358,660,PMID:24532711,curated
115,CPI-CS00529A443,1361,660,PMID:24032637,curated
116,CPI-CS09FB07CB1,1362,660,PMID:24032637,curated
117,CPI-CS03025232D,1363,660,PMID:24032637,curated
118,CPI-CS0F06108D6,1364,660,PMID:24032637,curated
