id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
1,KLRG2_HUMAN,To_add | To_comment,Receptor_add,Killer cell lectin-like receptor subfamily | Receptor_add (uniprot),1
2,5HT3E_HUMAN,To_add,,,2
3,CO6A6_HUMAN,To_add,,Collagen,3
4,CO6A5_HUMAN,To_add,,Collagen,4
5,CCL3L1,To_add,,,5
6,KLRF2_HUMAN,To_comment,Extracellular_add,,6
7,HLAA,To_add,,,7
8,HLAB,To_add,,,8
9,HLAC,To_add,,,9
10,HLADPA1,To_add,,,10
11,HLADPB1,To_add,,,11
12,HLADQB2,To_add,,,12
13,HLADRB1,To_add,,,13
14,IFNA1,To_add,,,14
15,SUPYN_HUMAN,To_add,,retrovirus,15
16,FZD9_HUMAN,To_comment,Extracellular_add,,16
17,GPR25_HUMAN,To_add,,,17
18,CCL24_HUMAN,To_add,,,18
19,LEG9_HUMAN,To_comment,secretedhigh_add | peripheral_add,Ligand for HAVCR2/TIM3 (uniprot),19
20,TR10A_HUMAN,To_add,,TNF_receptor_add (uniprot),20
21,CORT_HUMAN,To_add,,,21
22,BMR1B_HUMAN,To_add,,,22
23,SIRB1_HUMAN,To_add | To_comment,Receptor_add,Iglike | Receptor_add,23
24,AGRP_HUMAN,To_add,,,24
25,LFTY2_HUMAN,To_add,,,25
26,TULP1_HUMAN,To_add,,,26
27,TR11B_HUMAN,To_add,,,27
28,CCRL2_HUMAN,To_add,,,28
29,GFRA2_HUMAN,To_add,,,29
30,AGRIN_HUMAN,To_add,,,30
31,DLL1_HUMAN,To_add,,,31
32,CXCR6_HUMAN,To_add,,,32
33,RNT2_HUMAN,To_add,,,33
34,CCL21_HUMAN,To_add,,,34
35,ACKR2_HUMAN,To_add,,,35
36,PODXL_HUMAN,To_add,,Migration,36
37,CCL22_HUMAN,To_add,,,37
38,WNT7A_HUMAN,To_add,,,38
39,NRG2_HUMAN,To_add,,,39
40,CXL11_HUMAN,To_add,,,40
41,PTGES_HUMAN,To_add,,,41
42,H17B6_HUMAN,To_add,,,42
43,TR10B_HUMAN,To_add,,TNF_receptor_add (uniprot),43
44,NRP1_HUMAN,To_add,,,44
45,TNF11_HUMAN,To_add,,,45
46,GDF8_HUMAN,To_add,,,46
47,TR10C_HUMAN,To_add,,,47
48,TR13B_HUMAN,To_add,,TNF_family (uniprot),48
49,WNT9A_HUMAN,To_add,,,49
50,WNT9B_HUMAN,To_add,,,50
51,NCTR3_HUMAN,To_comment,Extracellular_add,,51
52,PLD2_HUMAN,To_add,,,52
53,EREG_HUMAN,To_add,,,53
54,PLXB2_HUMAN,To_add,,,54
55,SEM3E_HUMAN,To_add,,,55
56,ANGP2_HUMAN,To_add,,,56
57,MUSK_HUMAN,To_add,,,57
58,PGRC2_HUMAN,To_add,,progesterone receptor (uniprot),58
59,EPHB6_HUMAN,To_remove,,no ensembl,59
60,VGF_HUMAN,To_add,,,60
61,GPR37_HUMAN,To_add,,,61
62,NMDE4_HUMAN,To_add,,,62
63,CCL25_HUMAN,To_add,,,63
64,CCL16_HUMAN,To_add,,,64
65,FGF10_HUMAN,To_add,,,65
66,CP27B_HUMAN,To_add,,,66
67,GPR42_HUMAN,To_add,,,67
68,FFAR2_HUMAN,To_add,,,68
69,PLXB1_HUMAN,To_add,,Migration,69
70,MTLR_HUMAN,To_add,,,70
71,DHH_HUMAN,To_add,,,71
72,TNF12_HUMAN,To_add,,,72
73,GON2_HUMAN,To_add,,,73
74,TNF14_HUMAN,To_add,,,74
75,GALR2_HUMAN,To_add,,,75
76,OREX_HUMAN,To_add | To_comment,secreted_add | extracellular_add,Genecards: hypothalamic neuropeptide precursor protein,76
77,OX1R_HUMAN,To_add,,,77
78,OX2R_HUMAN,To_add,,,78
79,TYOBP_HUMAN,To_add,,complex,79
80,VEGFD_HUMAN,To_add,,,80
81,EFNA2_HUMAN,To_comment,extracellular_add,ligandIUPHAR,81
82,CXL13_HUMAN,To_add,,,82
83,FGF17_HUMAN,To_add,,,83
84,FZD6_HUMAN,To_comment,Extracellular_add,,84
85,GDF9_HUMAN,To_add,,,85
86,NRP2_HUMAN,To_add | To_comment,secretedhigh_add,High affinity receptor for semaphorins | Growthfactor (uniprot),86
87,DSCAM_HUMAN,To_add,,,87
88,PLXC1_HUMAN,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,"Uniprot: Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein",88
89,CUBN_HUMAN,To_add,,,89
90,PSPN_HUMAN,To_add,,,90
91,GFRA3_HUMAN,To_add,,,91
92,GALR3_HUMAN,To_add,,,92
93,G37L1_HUMAN,To_add,,,93
94,RAMP1_HUMAN,To_add,,complex,94
95,RAMP2_HUMAN,To_add,,complex,95
96,RAMP3_HUMAN,To_add,,,96
97,PLXA2_HUMAN,To_add,,,97
98,FZD7_HUMAN,To_comment,Extracellular_add,,98
99,SLIT1_HUMAN,To_add,,,99
100,LRP4_HUMAN,To_add,,ligandIUPHAR,100
101,ICOSL_HUMAN,To_add|To_comment,Extracellular_add,Iglike,101
102,LRP5_HUMAN,To_add | To_comment,extracellular_add,Component of the Wnt-Fzd-LRP5-LRP6 complex (uniprot),102
103,SEM7A_HUMAN,To_add,,Possible_receptor,103
104,NR1I2_HUMAN,To_add,,,104
105,LGR5_HUMAN,To_add,,,105
106,TNR21_HUMAN,To_add,,,106
107,ITA10_HUMAN,To_add,,Integrin (uniprot),107
108,LRP6_HUMAN,To_add,,,108
109,LFTY1_HUMAN,To_add,,,109
110,RENR_HUMAN,To_add,,,110
111,TNF13_HUMAN,To_add,,,111
112,FGF18_HUMAN,To_add,,,112
113,AL1A2_HUMAN,To_add,,,113
114,SLIT2_HUMAN,To_add,,,114
115,DKK1_HUMAN,To_add,,,115
116,AGRL1_HUMAN,To_add,,,116
117,S1PR2_HUMAN,To_add,,,117
118,TNF15_HUMAN,To_add,,,118
119,UNC5C_HUMAN,To_add,,,119
120,I18RA_HUMAN,To_add,,Iglike,120
121,5HT3B_HUMAN,To_add,,,121
122,WISP3_HUMAN,To_add,,,122
123,GDF11_HUMAN,To_add,,,123
124,BMP10_HUMAN,To_add,,,124
125,UTS2_HUMAN,To_add,,,125
126,TNF6B_HUMAN,To_add,,,126
127,ABCA1_HUMAN,To_add,,,127
128,NET1_HUMAN,To_add,,,128
129,CXL14_HUMAN,To_add,,,129
130,CRTAM_HUMAN,To_add | To_comment,Extracellular_add,Iglike | Possible_receptor,130
131,FGF19_HUMAN,To_add,,,131
132,IL33_HUMAN,To_add,,,132
133,GPR75_HUMAN,To_add,,,133
134,CER1_HUMAN,To_add,,,134
135,GLP2R_HUMAN,To_add,,,135
136,BY55_HUMAN,To_add,,,136
137,BMP15_HUMAN,To_add,,,137
138,WNT11_HUMAN,To_add,,,138
139,AL1A1_HUMAN,To_add,,,139
140,EGFR_HUMAN,To_add,,,140
141,THRB_HUMAN,To_add,,,141
142,FA10_HUMAN,To_add,,,142
143,PLMN_HUMAN,To_add,,,143
144,UROK_HUMAN,To_add,,,144
145,RENI_HUMAN,To_add,,,145
146,ANGT_HUMAN,To_add,,,146
147,CO3_HUMAN,To_add,,,147
148,CO5_HUMAN,To_add,,,148
149,TIMP1_HUMAN,To_add,,,149
150,KNG1_HUMAN,To_add,,,150
151,PDGFB_HUMAN,To_add,,,151
152,LDLR_HUMAN,To_add,,,152
153,EGF_HUMAN,To_add | To_comment,secreted_add | secreted_high| extracellular _add,Uniprot: EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture.,153
154,TGFA_HUMAN,To_add,,,154
155,TGFB1_HUMAN,To_add,,,155
156,NGF_HUMAN,To_add,,,156
157,GON1_HUMAN,To_add,,,157
158,ANF_HUMAN,To_add,,,158
159,NEU1_HUMAN,To_add,,,159
160,NEU2_HUMAN,To_add,,,160
161,COLI_HUMAN,To_add,,,161
162,PENK_HUMAN,To_add,,,162
163,PDYN_HUMAN,To_add,,,163
164,GLHA_HUMAN,To_add,,,164
165,TSHB_HUMAN,To_add,,,165
166,FSHB_HUMAN,To_add,,,166
167,LSHB_HUMAN,To_add,,,167
168,PRL_HUMAN,To_add,,,168
169,SOMA_HUMAN,To_add,,,169
170,SOM2_HUMAN,To_add,,,170
171,CALC_HUMAN,To_add,,,171
172,THYG_HUMAN,To_add,,,172
173,PTHY_HUMAN,To_add,,,173
174,GLUC_HUMAN,To_add,,,174
175,VIP_HUMAN,To_add,,,175
176,SLIB_HUMAN,To_add,,,176
177,PAHO_HUMAN,To_add,,,177
178,INS_HUMAN,To_add,,,178
179,IGF2_HUMAN,To_add,,,179
180,GAST_HUMAN,To_add,,,180
181,TNFB_HUMAN,To_add,,,181
182,TNFA_HUMAN,To_add,,,182
183,IFNA1_HUMAN,To_add,,,183
184,IFNA2_HUMAN,To_add,,,184
185,IFN10_HUMAN,To_add,,,185
186,IFNA7_HUMAN,To_add,,,186
187,IFN21_HUMAN,To_add,,,187
188,IFNA5_HUMAN,To_add,,,188
189,IFN14_HUMAN,To_add,,,189
190,IFN17_HUMAN,To_add,,,190
191,IFNB_HUMAN,To_add,,,191
192,IFNG_HUMAN,To_add,,,192
193,IL1A_HUMAN,To_add,,,193
194,IL1B_HUMAN,To_add,,,194
195,EPO_HUMAN,To_add,,,195
