id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1,ENSG00000165029,ABCA1,ABCA1,127
2,ENSG00000130234,ACE2,ACE2,1136
3,ENSG00000213088,ACKR1,ACKR1,929
4,ENSG00000144648,ACKR2,ACKR2,35
5,ENSG00000144476,ACKR3,ACKR3,516
6,ENSG00000129048,ACKR4,ACKR4,1188
7,ENSG00000115170,ACVR1,ACVR1,831
8,ENSG00000135503,ACVR1B,ACVR1B,634
9,ENSG00000123612,ACVR1C,ACVR1C,1027
10,ENSG00000121989,ACVR2A,ACVR2A,532
11,ENSG00000114739,ACVR2B,ACVR2B,878
12,ENSG00000139567,ACVRL1,ACVRL1,637
13,ENSG00000141433,ADCYAP1,ADCYAP1,432
14,ENSG00000078549,ADCYAP1R1,ADCYAP1R1,662
15,ENSG00000123146,ADGRE5,ADGRE5,713
16,ENSG00000182885,ADGRG3,ADGRG3,1004
17,ENSG00000159618,ADGRG5,ADGRG5,1011
18,ENSG00000072071,ADGRL1,ADGRL1,116
19,ENSG00000164199,ADGRV1,ADGRV1,1054
20,ENSG00000181092,ADIPOQ,ADIPOQ,926
21,ENSG00000159346,ADIPOR1,ADIPOR1,1077
22,ENSG00000006831,ADIPOR2,ADIPOR2,998
23,ENSG00000285070,ADIPOR2,ADIPOR2,998
24,ENSG00000148926,ADM,ADM,615
25,ENSG00000128165,ADM2,ADM2,992
26,ENSG00000163485,ADORA1,ADORA1,568
27,ENSG00000128271,ADORA2A,ADORA2A,549
28,ENSG00000170425,ADORA2B,ADORA2B,550
29,ENSG00000282608,ADORA3,ADORA3,321
30,ENSG00000120907,ADRA1A,ADRA1A,617
31,ENSG00000170214,ADRA1B,ADRA1B,619
32,ENSG00000171873,ADRA1D,ADRA1D,513
33,ENSG00000150594,ADRA2A,ADRA2A,300
34,ENSG00000274286,ADRA2B,ADRA2B,430
35,ENSG00000184160,ADRA2C,ADRA2C,436
36,ENSG00000043591,ADRB1,ADRB1,291
37,ENSG00000169252,ADRB2,ADRB2,274
38,ENSG00000188778,ADRB3,ADRB3,377
39,ENSG00000229058,AGER,AGER,906
40,ENSG00000230514,AGER,AGER,906
41,ENSG00000204305,AGER,AGER,906
42,ENSG00000231268,AGER,AGER,906
43,ENSG00000237405,AGER,AGER,906
44,ENSG00000206320,AGER,AGER,906
45,ENSG00000234729,AGER,AGER,906
46,ENSG00000188157,AGRN,AGRN,30
47,ENSG00000159723,AGRP,AGRP,24
48,ENSG00000135744,AGT,AGT,146
49,ENSG00000144891,AGTR1,AGTR1,570
50,ENSG00000180772,AGTR2,AGTR2,728
51,ENSG00000164022,AIMP1,AIMP1,854
52,ENSG00000085662,AKR1B1,AKR1B1,391
53,ENSG00000196139,AKR1C3,AKR1C3,669
54,ENSG00000122787,AKR1D1,AKR1D1,745
55,ENSG00000163631,ALB,ALB,212
56,ENSG00000170017,ALCAM,ALCAM,879
57,ENSG00000165092,ALDH1A1,ALDH1A1,139
58,ENSG00000128918,ALDH1A2,ALDH1A2,113
59,ENSG00000184254,ALDH1A3,ALDH1A3,698
60,ENSG00000171094,ALK,ALK,1255
61,ENSG00000108839,ALOX12,ALOX12,427
62,ENSG00000275565,ALOX5,ALOX5,313
63,ENSG00000012779,ALOX5,ALOX5,313
64,ENSG00000132965,ALOX5AP,ALOX5AP,451
65,ENSG00000104899,AMH,AMH,221
66,ENSG00000135409,AMHR2,AMHR2,937
67,ENSG00000166126,AMN,AMN,1133
