id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
1,1282,901,1
2,1283,247,1
3,1284,294,1
4,1285,1268,1
5,1286,1024,1
6,1287,313,3
7,1287,939,3
8,1287,451,3
9,1288,1126,1
10,1289,637,2
11,1289,532,2
12,1290,637,2
13,1290,881,2
14,1291,831,2
15,1291,881,2
16,1292,831,2
17,1292,532,2
18,1293,831,2
19,1293,878,2
20,1294,634,2
21,1294,532,2
22,1295,634,2
23,1295,878,2
24,1296,1027,2
25,1296,532,2
26,1297,1027,2
27,1297,878,2
28,1298,1077,2
29,1298,998,2
30,1299,578,2
31,1299,94,2
32,1300,578,2
33,1300,95,2
34,1301,578,2
35,1301,96,2
36,1302,924,2
37,1302,834,2
38,1303,594,3
39,1303,423,3
40,1303,566,3
41,1304,594,3
42,1304,575,3
43,1304,566,3
44,1305,686,2
45,1305,423,2
46,1306,925,3
47,1306,686,3
48,1306,834,3
49,1307,925,3
50,1307,834,3
51,1307,575,3
52,1308,540,1
53,1309,286,2
54,1309,307,2
55,1310,438,1
56,1311,244,1
57,1312,42,1
58,1313,345,3
59,1313,289,3
60,1313,450,3
61,1314,1245,2
62,1314,137,2
63,1315,633,2
64,1315,881,2
65,1316,22,2
66,1316,881,2
67,1317,22,3
68,1317,881,3
69,1317,634,3
70,1318,633,2
71,1318,532,2
72,1319,633,2
73,1319,878,2
74,1320,22,2
75,1320,532,2
76,1321,22,2
77,1321,878,2
78,1322,489,2
79,1322,1006,2
80,1323,197,2
81,1323,339,2
82,1324,859,2
83,1324,525,2
84,1325,859,2
85,1325,526,2
86,1326,859,2
87,1326,841,2
88,1327,531,3
89,1327,671,3
90,1327,649,3
91,1328,1133,2
92,1328,89,2
93,1329,66,1
94,1330,1026,2
95,1330,1165,2
96,1331,1026,2
97,1331,1001,2
98,1332,1094,2
99,1332,1165,2
100,1333,1094,2
101,1333,1001,2
102,1334,1002,2
103,1334,1165,2
104,1335,1002,2
105,1335,1001,2
106,1336,991,2
107,1336,1165,2
108,1337,991,2
109,1337,1001,2
110,1338,446,1
111,1339,915,1
112,1340,1231,1
113,1341,644,1
114,1342,399,1
115,1343,725,1
116,1344,836,1
117,1345,729,1
118,1346,1047,1
119,1347,1231,1
120,1348,295,1
121,1349,431,1
122,1350,581,1
123,1351,1167,1
124,1352,342,1
125,1353,350,1
126,1354,379,1
127,1355,607,2
128,1355,1158,2
129,1356,426,2
130,1356,629,2
131,1357,102,2
132,1357,1252,2
133,1358,108,2
134,1358,1252,2
135,1359,102,2
136,1359,1260,2
137,1360,108,2
138,1360,1260,2
139,1361,102,2
140,1361,892,2
141,1362,108,2
142,1362,892,2
143,1363,102,2
144,1363,1191,2
145,1364,108,2
146,1364,1191,2
147,1365,102,2
148,1365,1251,2
149,1366,108,2
150,1366,1251,2
151,1367,102,2
152,1367,868,2
153,1368,108,2
154,1368,868,2
155,1369,102,2
156,1369,84,2
157,1370,108,2
158,1370,84,2
159,1371,102,2
160,1371,98,2
161,1372,108,2
162,1372,98,2
163,1373,102,2
164,1373,1158,2
165,1374,108,2
166,1374,1158,2
167,1375,102,2
168,1375,16,2
169,1376,108,2
170,1376,16,2
171,1377,787,2
172,1377,771,2
173,1378,164,2
174,1378,166,2
175,1379,695,2
176,1379,1046,2
177,1380,75,2
178,1380,1046,2
179,1381,92,2
180,1381,1046,2
181,1382,598,2
182,1382,396,2
183,1383,272,2
184,1383,363,2
185,1384,439,1
186,1385,278,2
187,1385,735,2
188,1386,876,2
189,1386,844,2
190,1387,898,2
191,1387,649,2
192,1388,558,2
193,1388,559,2
194,1389,670,2
195,1389,1115,2
196,1390,795,2
197,1390,502,2
198,1391,861,2
199,1391,389,2
200,1392,928,2
201,1392,1098,2
202,1393,1083,2
203,1393,1200,2
204,1394,1083,2
205,1394,1022,2
206,1395,1083,2
207,1395,1030,2
208,1396,870,2
209,1396,120,2
210,1397,388,2
211,1397,1192,2
