id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1,A4D1S0,1,KLR_add,0,,0,,1,0,0,0,0
2,A5X5Y0,1,,0,,0,,1,0,0,0,0
3,A6NMZ7,0,,0,,0,,0,1,0,0,0
4,A8TX70,0,,0,,0,,0,1,0,0,0
5,CCL3L1,0,,0,,1,Cytokine,0,1,0,0,0
6,D3W0D1,1,KLR_add,0,,0,,1,0,0,0,0
7,HLAA,1,HLA,0,,0,,1,0,0,0,0
8,HLAB,1,HLA,0,,0,,1,0,0,0,0
9,HLAC,1,HLA,0,,0,,1,0,0,0,0
10,HLADPA1,1,HLA,0,,0,,1,0,0,0,0
11,HLADPB1,1,HLA,0,,0,,1,0,0,0,0
12,HLADQB2,1,HLA,0,,0,,1,0,0,0,0
13,HLADRB1,1,HLA,0,,0,,1,0,0,0,0
14,IFNA1,0,,0,,1,Cytokine,0,1,0,0,0
15,M5A8F1,0,,1,retrovirus,0,,0,1,0,0,0
16,O00144,1,,0,,0,,1,0,0,0,0
17,O00155,1,,0,,0,,1,0,0,0,0
18,O00175,0,,0,,1,Cytokine,0,1,0,0,0
19,O00182,0,,0,,1,Immune-related,0,1,0,0,0
20,O00220,1,TNF_receptor_add,0,,0,,1,0,0,0,0
21,O00230,0,,0,,1,Hormone,0,1,0,0,0
22,O00238,1,TGFBeta_receptor_add,0,,0,,1,0,0,0,0
23,O00241,1,,0,,0,,1,0,0,0,0
24,O00253,0,,0,,0,,0,1,0,0,0
25,O00292,0,,0,,1,Growthfactor | Cytokine,0,1,0,0,0
26,O00294,0,,0,,0,,0,1,1,0,0
27,O00300,0,,0,,0,,0,1,0,0,0
28,O00421,1,Atipical_chemokine_receptor_add,0,,0,,1,0,0,0,0
29,O00451,1,,0,,0,,1,0,0,0,0
30,O00468,0,,0,,0,,1,1,0,0,0
31,O00548,0,,0,,0,,1,0,0,0,0
32,O00574,1,Chemokine_receptor CXCR_add,0,,0,,1,0,0,0,0
33,O00584,0,,0,,0,,0,1,0,0,0
34,O00585,0,,0,,1,Cytokine,0,1,0,0,0
35,O00590,1,Atipical_chemokine_receptor_add,0,,0,,1,0,0,0,0
36,O00592,0,,0,,0,,1,0,0,0,0
37,O00626,0,,0,,1,Cytokine,0,1,0,0,0
38,O00755,0,,0,,1,CellSignal_WNT,0,1,0,0,0
39,O14511,0,,0,,1,Growthfactor,1,1,0,0,0
40,O14625,0,,0,,1,Cytokine,0,1,0,0,0
41,O14684,0,,0,,0,,0,0,0,0,0
42,O14756,0,,0,,0,,0,0,0,0,0
43,O14763,1,TNF_receptor_add,0,,0,,1,0,0,0,0
44,O14786,1,,0,,1,Growthfactor,1,1,0,0,0
45,O14788,1,,0,,1,Cytokine,1,1,0,0,0
46,O14793,0,,0,,1,Growthfactor | Cytokine,0,1,0,0,0
47,O14798,1,TNF_receptor_add,0,,0,,1,0,0,0,0
48,O14836,1,TNF_receptor_add,0,,0,,1,0,0,0,0
49,O14904,0,,0,,0,,0,1,0,0,0
50,O14905,0,,0,,0,,0,1,0,0,0
51,O14931,1,,0,,0,,1,0,0,0,0
52,O14939,0,,0,,0,,0,0,0,0,0
53,O14944,0,,0,,1,Growthfactor,1,1,0,0,0
54,O15031,1,,0,,0,,1,0,0,0,0
55,O15041,0,,0,,0,,0,1,0,0,0
56,O15123,0,,0,,0,,0,1,0,0,0
57,O15146,1,,0,,0,,1,0,0,0,0
58,O15173,1,,0,,0,,1,0,0,0,0
59,O15197,1,,1,,0,,1,1,0,0,0
60,O15240,0,,0,,1,Growthfactor,0,1,0,0,0
61,O15354,1,,0,,0,,1,0,0,0,0
62,O15399,1,,0,,0,,1,0,0,0,0
63,O15444,0,,0,,1,Cytokine,0,1,0,0,0
64,O15467,0,,0,,1,Cytokine,0,1,0,0,0
65,O15520,0,,0,,1,Growthfactor,0,1,0,0,0
