Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,32.246,8416.711
1.011,90.000,106.477,8410.109
2.022,86.100,123.824,8495.691
3.042,94.100,203.441,8578.309
4.059,98.300,321.555,8697.074
5.079,97.000,346.945,8728.629
6.099,99.100,357.504,8740.465
7.118,88.300,429.859,8813.656
8.137,88.300,450.129,8834.262
9.157,100.000,497.328,8882.082
10.177,99.100,497.344,8882.082
11.196,101.000,516.312,8901.410
12.216,100.100,516.430,8901.410
13.235,99.100,516.430,8901.410
14.255,99.000,516.430,8901.410
15.274,100.100,625.414,10540.637
16.294,100.000,628.348,10630.637
17.313,101.000,636.598,10859.637
18.333,99.100,644.848,11097.637
19.352,101.000,664.957,11666.637
20.372,99.000,699.504,12648.637
21.392,101.000,735.340,13674.637
22.412,1262.900,3383.656,13059.910
23.432,100.000,4155.727,13856.910
24.451,100.000,5360.742,15100.910
25.471,100.000,6214.449,15980.039
26.490,99.100,6345.684,16120.039
27.510,100.100,7210.152,17594.391
28.529,100.000,8827.008,18639.520
29.549,100.000,8397.566,18106.922
30.569,100.000,8742.848,18772.742
31.587,100.200,8718.844,18366.082
32.607,100.000,10362.742,19998.285
33.626,66.700,8087.434,17722.867
34.646,78.400,8088.961,17833.344
35.665,12.800,8082.789,17735.957
36.683,58.000,8280.109,17931.637
37.703,66.700,8287.199,17931.637
38.724,0.000,8286.340,17931.637
39.744,0.000,8285.301,17931.637
40.764,0.000,8285.262,17931.637
41.783,0.000,8284.723,17931.637
42.803,0.000,8284.531,17931.637
43.824,0.000,8284.262,17931.637
44.844,5.900,8283.461,17931.637
45.864,22.600,8284.055,17931.637
46.884,0.000,8284.051,17931.637
47.904,0.000,8284.051,17931.637
48.924,0.000,8284.051,17931.637
49.944,0.000,8284.051,17931.637
50.964,0.000,8284.051,17931.637
51.983,0.000,8284.051,17931.637
53.002,6.900,8284.051,17931.637
54.022,36.300,8285.402,17931.637
55.042,26.500,8286.156,17931.637
56.062,33.300,8288.867,17931.637
57.082,25.500,8290.238,17931.637
58.102,14.700,8290.645,17931.637
59.123,13.700,8291.371,17931.637
60.143,0.000,8291.367,17931.637
61.163,0.000,8291.367,17931.637
62.182,0.000,8291.367,17931.637
63.203,0.000,8291.367,17931.637
64.223,0.000,8291.367,17931.637
65.243,2.900,8291.367,17931.637
66.262,13.700,8291.434,17931.637
67.282,11.800,8292.824,17931.637
68.302,0.000,8292.824,17931.637
69.322,0.000,8292.824,17931.637
70.341,0.000,8292.824,17931.637
71.361,0.000,8292.824,17931.637
72.381,0.000,8292.824,17931.637
73.401,1.000,8292.824,17931.637
74.421,14.700,8292.824,17931.637
75.441,20.600,8331.969,17967.895
76.462,43.100,8350.961,17967.895
77.482,23.500,8354.254,17967.895
78.502,52.000,8364.566,17967.895
79.522,51.900,8372.785,17967.895
80.542,22.500,8376.332,17967.895
81.562,20.600,8379.758,17967.895
82.582,30.400,8466.852,18047.770
83.602,69.600,8287.879,17862.203
84.621,46.100,8171.746,17746.070
85.641,50.000,8171.746,17746.070
86.661,37.300,8171.750,17746.070
87.681,34.300,8171.750,17746.070
88.695,32.500,8240.480,17815.199
89.715,61.800,8263.594,17838.242
90.735,48.000,8263.594,17838.242
91.749,41.400,8263.594,17838.242
92.770,45.100,8263.594,17838.242
93.789,27.500,8263.594,17838.242
94.807,63.800,8377.406,17951.809
95.827,46.100,8377.410,17951.809
96.847,48.100,8377.414,17951.809
97.867,31.400,8377.414,17951.809
98.887,34.300,8377.414,17951.809
99.907,42.200,8377.414,17951.809
100.927,16.700,8377.426,17951.809
101.947,100.000,8458.273,18032.621
102.967,43.100,8458.273,18032.621
103.987,42.200,8458.273,18032.621
105.008,46.000,8458.273,18032.621
106.028,27.400,8458.273,18032.621
107.049,38.200,8458.273,18032.621
108.069,27.400,8458.273,18032.621
109.090,59.800,8660.645,18208.203
110.110,99.900,8668.164,18208.203
111.131,100.000,8669.414,18208.203
112.151,28.400,8669.457,18208.203
113.170,11.800,8669.457,18208.203
114.192,11.800,8669.457,18208.203
115.208,24.600,8669.457,18208.203
116.228,10.800,8669.457,18208.203
117.248,9.800,8669.457,18208.203
118.268,24.500,8669.457,18208.203
119.288,14.700,8669.457,18208.203
120.308,9.800,8669.457,18208.203
121.328,20.600,8669.457,18208.203
122.349,18.600,8669.457,18208.203
123.369,5.900,8669.457,18208.203
124.389,16.700,8669.457,18208.203
125.409,9.800,8669.457,18208.203
126.429,8.800,8669.457,18208.203
127.448,8.800,8669.457,18208.203
128.468,8.800,8669.457,18208.203
129.489,8.800,8669.457,18208.203
130.509,9.800,8669.457,18208.203
131.529,7.800,8669.457,18208.203
132.549,7.800,8669.457,18208.203
133.569,10.800,8669.457,18208.203
134.589,8.800,8669.457,18208.203
135.608,8.800,8669.457,18208.203
136.627,8.800,8669.457,18208.203
137.647,9.800,8669.457,18208.203
138.666,8.800,8669.457,18208.203
139.686,8.800,8669.457,18208.203
140.706,10.800,8669.465,18208.203
141.726,9.800,8669.465,18208.203
142.747,7.800,8669.465,18208.203
143.767,9.800,8669.465,18208.203
144.787,8.800,8669.465,18208.203
145.807,8.800,8669.465,18208.203
146.826,8.800,8669.465,18208.203
147.846,8.800,8669.465,18208.203
148.866,8.800,8669.465,18208.203
149.886,8.800,8669.465,18208.203
150.906,8.800,8669.465,18208.203
151.926,9.800,8669.465,18208.203
152.945,7.800,8669.465,18208.203
153.965,8.800,8669.465,18208.203
154.986,8.800,8669.465,18208.203
156.006,8.800,8669.465,18208.203
157.026,8.800,8669.465,18208.203
158.046,8.800,8669.465,18208.203
159.066,9.800,8669.465,18208.203
160.086,14.700,8669.465,18208.203
161.106,7.800,8669.465,18208.203
162.126,7.800,8669.465,18208.203
163.146,8.800,8669.465,18208.203
164.166,5.900,8669.465,18208.203
165.186,5.900,8669.465,18208.203
166.206,4.900,8669.465,18208.203
167.225,5.900,8669.465,18208.203
168.245,76.500,8669.484,18208.203
169.265,101.000,8669.484,18208.203
170.285,100.000,8669.484,18208.203
171.304,100.000,8669.484,18208.203
172.324,100.000,8669.484,18208.203
173.344,100.000,8416.578,17955.297
174.364,100.000,8416.582,17955.297
175.383,100.000,8416.582,17955.297
176.403,100.000,8416.582,17955.297
177.423,100.000,8416.582,17955.297
178.443,100.000,8416.582,17955.297
179.462,100.000,8416.582,17955.297
180.482,101.000,8416.582,17955.297
181.502,100.000,8416.582,17955.297
182.522,100.000,8416.582,17955.297
183.541,100.000,8416.582,17955.297
184.561,100.000,8416.582,17955.297
185.581,100.000,8416.582,17955.297
