Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,23.988,8408.699
1.013,92.800,71.707,8374.484
2.033,87.300,120.449,8487.559
3.053,95.100,185.547,8557.496
4.073,96.100,245.895,8621.141
5.093,96.100,347.828,8727.914
6.112,98.100,358.488,8740.461
7.132,92.200,396.273,8778.332
8.154,85.200,450.879,8834.258
9.173,100.000,498.324,8882.078
10.193,99.100,498.324,8882.078
11.213,97.100,507.848,8891.742
12.233,99.000,517.426,8901.406
13.252,100.000,517.426,8901.406
14.273,99.000,517.426,8901.406
15.292,100.000,517.426,8901.406
16.312,96.100,517.426,8901.406
17.332,100.000,517.426,8901.406
18.352,99.000,517.426,8901.406
19.371,100.000,517.426,8901.406
20.388,99.300,517.426,8901.406
21.407,100.100,517.426,8901.406
22.427,99.000,517.426,8901.406
23.448,100.000,517.426,8901.406
24.470,99.700,517.426,8901.406
25.490,99.100,541.250,12762.523
26.507,101.300,770.906,12762.523
27.527,99.000,774.125,12851.523
28.546,101.000,781.301,13077.523
29.566,99.000,793.418,13469.523
30.586,101.000,806.309,13877.523
31.607,99.900,836.730,14851.523
32.627,100.000,889.324,16533.523
33.646,100.000,944.238,18290.523
34.666,907.400,5470.023,29063.266
35.686,1409.500,14427.176,29063.266
36.706,286.200,6601.559,17820.906
37.726,100.000,7741.348,18996.906
38.746,100.000,9012.871,20309.906
39.766,100.000,10265.582,21602.906
40.786,101.000,11968.137,23358.906
41.806,94.100,12022.527,23400.406
42.826,99.000,12237.309,23789.035
43.846,101.000,13076.703,24526.211
44.866,100.000,14665.469,26156.312
45.885,100.000,16095.973,27776.484
46.905,100.000,18056.742,29386.855
47.925,100.000,19630.488,30855.176
48.945,100.000,13997.375,25233.715
49.965,100.000,15694.109,27176.750
50.985,100.000,17465.059,28720.887
52.005,101.000,19352.375,30720.539
53.024,99.000,14995.738,26799.000
54.044,101.000,16975.023,28175.168
55.064,80.400,17952.480,29152.094
56.085,58.800,17952.531,29152.094
57.105,80.400,14236.762,25436.258
58.125,28.400,14233.762,25449.363
59.145,15.700,14232.488,25449.348
60.165,98.000,14431.129,25645.027
61.185,5.900,14430.324,25645.027
62.205,0.000,14429.227,25645.027
63.225,0.000,14428.945,25645.027
64.245,0.000,14428.367,25645.027
65.265,0.000,14428.176,25645.027
66.285,0.000,14427.906,25645.027
67.306,7.800,14427.105,25645.027
68.325,21.600,14427.082,25645.027
69.347,0.000,14427.082,25645.027
70.368,0.000,14427.082,25645.027
71.388,0.000,14427.082,25645.027
72.408,0.000,14427.082,25645.027
73.428,0.000,14427.082,25645.027
74.448,0.000,14427.082,25645.027
75.468,8.800,14427.082,25645.027
76.488,39.200,14427.227,25645.027
77.508,26.500,14427.227,25645.027
78.529,33.300,14427.551,25645.027
79.549,24.500,14427.613,25645.027
80.564,15.800,14427.613,25645.027
81.584,12.700,14427.270,25645.027
82.605,0.000,14427.266,25645.027
83.625,0.000,14427.266,25645.027
84.645,0.000,14427.266,25645.027
85.666,0.000,14427.266,25645.027
86.686,0.000,14427.266,25645.027
87.706,3.900,14427.266,25645.027
88.726,13.700,14427.266,25645.027
89.747,13.700,14427.262,25645.027
90.768,0.000,14427.262,25645.027
91.788,0.000,14427.262,25645.027
92.808,0.000,14427.262,25645.027
93.829,0.000,14427.262,25645.027
94.850,0.000,14427.262,25645.027
95.870,2.900,14427.262,25645.027
96.890,19.600,14427.262,25645.027
97.911,39.200,14489.555,25706.609
98.932,34.300,14493.008,25706.609
99.952,29.400,14494.125,25706.609
100.973,51.000,14502.922,25706.609
101.994,53.900,14510.973,25706.609
103.012,18.700,14515.102,25706.609
104.033,23.500,14519.246,25706.609
105.053,22.500,14575.199,25770.672
106.075,79.300,14322.633,25459.461
107.095,46.100,14322.637,25459.461
108.116,50.900,14322.637,25459.461
109.137,36.200,14322.637,25459.461
110.157,40.200,14322.637,25459.461
111.178,22.500,14370.328,25520.258
112.199,74.400,14413.836,25550.656
113.220,49.000,14413.953,25550.656
114.240,51.900,14413.953,25550.656
115.261,19.600,14413.953,25550.656
116.287,19.500,14413.953,25550.656
117.308,47.000,14413.953,25550.656
118.329,25.500,14462.305,25599.500
119.349,57.800,14463.016,25599.500
120.369,51.900,14463.680,25599.500
121.390,48.000,14464.637,25599.500
122.414,34.200,14465.109,25599.500
123.435,29.400,14374.980,25508.305
124.454,68.700,14468.816,25602.352
125.468,48.300,14468.816,25602.352
126.486,50.100,14468.852,25602.352
127.504,34.400,14468.852,25602.352
128.522,39.300,14468.855,25602.352
129.539,14.700,14468.855,25602.352
130.557,76.600,14576.160,25709.352
131.578,48.000,14576.230,25709.352
132.598,52.900,14576.297,25709.352
133.618,38.200,14576.297,25709.352
134.640,37.200,14576.332,25709.352
135.660,20.600,14576.531,25709.352
136.681,72.500,14686.793,25818.070
137.701,52.000,14687.285,25818.070
138.721,52.900,14687.285,25818.070
139.742,33.300,14687.285,25818.070
140.757,44.400,14687.285,25818.070
141.777,6.900,14687.285,25818.070
142.797,69.600,14687.492,25818.070
143.819,46.900,14687.492,25818.070
144.840,51.000,14687.492,25818.070
145.860,35.300,14687.492,25818.070
146.886,41.900,14687.492,25818.070
147.906,24.500,14801.070,25931.637
148.927,76.400,14801.363,25931.637
149.947,49.000,14801.645,25931.637
150.967,31.400,14801.891,25931.637
151.987,32.300,14802.383,25931.637
153.008,41.200,14803.316,25931.637
154.028,39.200,14803.543,25931.637
155.048,32.300,14849.688,25976.836
156.068,83.300,14849.734,25976.836
157.088,41.200,14849.734,25976.836
158.109,31.400,14849.734,25976.836
159.129,24.500,14849.734,25976.836
160.150,49.000,14849.734,25976.836
161.174,25.400,14849.734,25976.836
162.195,22.500,14849.734,25976.836
163.215,15.700,14849.734,25976.836
164.235,99.000,15044.125,26171.215
165.255,31.400,15044.125,26171.215
166.275,27.400,15044.125,26171.215
167.296,35.300,15044.125,26171.215
168.316,28.400,15044.125,26171.215
169.336,39.200,15044.125,26171.215
170.356,25.500,15044.125,26171.215
171.376,26.500,15044.125,26171.215
172.396,26.500,15044.125,26171.215
173.417,15.700,15044.816,26171.215
174.437,84.300,15156.598,26282.238
175.459,50.900,14692.430,25818.070
176.479,51.900,14692.430,25818.070
177.499,39.200,14692.430,25818.070
178.520,39.200,14692.430,25818.070
179.540,20.600,14750.766,25876.598
180.560,100.900,14893.887,25993.652
181.580,99.000,14924.934,25993.652
182.600,43.100,14950.016,25993.652
183.620,12.800,14950.016,25993.652
184.640,29.400,14950.359,25993.652
185.660,10.800,14950.359,25993.652
186.680,15.700,14950.359,25993.652
187.700,22.600,14951.070,25993.652
188.720,13.700,14951.070,25993.652
189.743,17.600,14951.254,25993.652
190.762,5.900,14951.254,25993.652
191.782,25.500,14951.254,25993.652
192.803,16.700,14951.254,25993.652
193.823,8.800,14951.254,25993.652
194.844,16.700,14951.254,25993.652
195.864,7.800,14951.254,25993.652
196.885,8.800,14951.254,25993.652
197.905,8.800,14951.254,25993.652
198.925,7.800,14951.254,25993.652
199.945,8.800,14951.254,25993.652
200.965,7.800,14951.254,25993.652
201.985,8.800,14951.254,25993.652
203.005,7.800,14951.254,25993.652
204.025,8.800,14951.254,25993.652
205.045,7.800,14951.254,25993.652
206.065,7.800,14951.254,25993.652
207.085,8.800,14951.254,25993.652
208.105,6.900,14951.254,25993.652
209.125,8.800,14951.254,25993.652
210.146,7.800,14951.254,25993.652
211.166,7.800,14951.254,25993.652
212.186,8.800,14951.254,25993.652
213.206,10.800,14951.254,25993.652
214.226,7.800,14951.254,25993.652
215.247,8.800,14951.254,25993.652
216.267,8.800,14951.254,25993.652
217.287,7.800,14951.254,25993.652
218.307,7.800,14951.254,25993.652
219.327,8.800,14951.254,25993.652
220.347,7.800,14951.254,25993.652
221.367,7.800,14951.254,25993.652
222.387,8.800,14951.254,25993.652
223.407,7.800,14951.254,25993.652
224.428,7.800,14951.254,25993.652
225.448,7.800,14951.254,25993.652
226.468,8.800,14951.254,25993.652
227.487,7.900,14951.254,25993.652
228.507,8.800,14951.254,25993.652
229.527,7.800,14951.254,25993.652
230.547,7.800,14951.254,25993.652
231.567,8.800,14951.254,25993.652
232.587,6.900,14951.254,25993.652
233.607,5.900,14951.254,25993.652
234.627,62.800,14951.582,25993.652
235.647,100.000,14952.680,25993.652
236.667,100.000,14952.680,25993.652
237.687,100.000,14952.680,25993.652
238.707,100.000,14894.172,25935.125
239.727,100.000,14894.180,25935.125
240.747,100.000,14894.191,25935.125
241.767,100.000,14894.191,25935.125
242.787,100.000,14894.191,25935.125
243.807,101.000,14894.191,25935.125
244.827,100.000,14894.223,25935.125
245.847,100.000,14894.230,25935.125
246.867,100.000,14894.316,25935.125
247.887,100.000,14895.453,25935.125
248.908,99.900,14895.457,25935.125
249.928,100.000,14895.457,25935.125
250.948,100.000,14895.457,25935.125
251.968,100.000,14895.457,25935.125
252.988,100.000,14895.457,25935.125
254.006,100.200,14895.457,25935.125
255.026,100.000,14895.457,25935.125
256.046,100.000,14895.457,25935.125
257.066,100.000,14895.457,25935.125
258.086,101.000,14895.457,25935.125
259.106,100.000,14895.457,25935.125
260.126,100.000,14895.457,25935.125
261.146,100.000,14895.457,25935.125
262.166,100.000,14895.457,25935.125
263.186,100.000,14895.590,25935.125
264.206,100.000,14895.590,25935.125
265.226,100.000,14895.590,25935.125
266.246,100.000,14895.590,25935.125
267.266,100.000,14895.590,25935.125
268.286,100.000,14895.594,25935.125
269.306,96.100,14895.594,25935.125
270.326,36.300,14895.594,25935.125
271.346,41.200,14895.594,25935.125
272.366,31.400,14895.594,25935.125
273.386,7.800,14895.594,25935.125
274.406,13.700,14895.594,25935.125
275.426,8.800,14895.594,25935.125
276.446,7.800,14895.594,25935.125
277.466,8.800,14895.594,25935.125
278.485,7.900,14895.594,25935.125
279.505,7.800,14895.594,25935.125
280.525,7.800,14895.594,25935.125
281.545,7.800,14895.594,25935.125
282.565,7.800,14895.594,25935.125
283.585,9.800,14895.594,25935.125
284.605,8.800,14895.594,25935.125
285.625,7.800,14895.594,25935.125
286.645,7.800,14895.594,25935.125
287.665,7.800,14895.594,25935.125
288.686,7.800,14895.594,25935.125
289.706,8.800,14895.594,25935.125
290.726,6.900,14895.594,25935.125
291.746,8.800,14895.594,25935.125
292.766,14.700,14895.594,25935.125
293.786,8.800,14895.594,25935.125
294.806,8.800,14895.594,25935.125
295.826,8.800,14895.594,25935.125
296.846,52.000,14895.594,25935.125
297.866,100.000,14895.594,25935.125
298.884,101.200,14895.594,25935.125
299.901,99.200,14895.594,25935.125
300.919,100.200,14895.594,25935.125
301.937,100.200,14895.594,25935.125
302.955,100.200,14895.594,25935.125
303.973,100.200,14895.594,25935.125
304.990,100.200,14895.594,25935.125
306.008,100.200,14895.594,25935.125
307.026,99.200,14895.594,25935.125
308.044,100.200,14895.594,25935.125
309.062,100.200,14778.539,25818.070
310.080,100.200,14778.539,25818.070
311.097,99.200,14778.539,25818.070
312.115,101.200,14778.539,25818.070
313.133,99.200,14778.539,25818.070
314.151,101.200,14778.539,25818.070
315.168,99.200,14778.539,25818.070
316.186,100.200,14778.539,25818.070
317.204,100.200,14778.539,25818.070
318.222,100.200,14778.539,25818.070
319.239,100.200,14778.539,25818.070
320.257,99.200,14778.539,25818.070
321.275,101.200,14778.539,25818.070
322.293,99.200,14778.539,25818.070
323.310,100.200,14852.742,25914.164
324.328,100.200,14874.633,25914.164
325.346,83.500,14874.633,25914.164
326.364,36.300,14874.633,25914.164
327.384,42.100,14874.633,25914.164
328.404,42.100,14874.633,25914.164
329.425,11.800,14874.633,25914.164
330.445,9.800,14874.633,25914.164
331.465,11.800,14874.633,25914.164
332.484,8.800,14874.633,25914.164
333.504,19.600,14874.633,25914.164
334.524,9.800,14874.633,25914.164
335.544,9.800,14874.633,25914.164
336.564,9.800,14874.633,25914.164
337.585,8.800,14874.633,25914.164
338.605,10.800,14874.633,25914.164
339.625,10.800,14874.633,25914.164
340.645,9.800,14874.633,25914.164
341.665,8.800,14874.633,25914.164
342.685,9.800,14874.633,25914.164
343.705,10.800,14874.633,25914.164
344.725,8.800,14874.633,25914.164
345.746,10.800,14874.633,25914.164
346.766,9.800,14874.633,25914.164
347.787,8.800,14874.633,25914.164
348.807,9.800,14874.633,25914.164
349.827,8.800,14874.633,25914.164
350.847,9.800,14874.648,25914.164
351.866,14.700,14874.648,25914.164
352.885,9.800,14874.648,25914.164
353.905,9.800,14874.648,25914.164
354.924,8.800,14874.648,25914.164
355.943,8.800,14874.648,25914.164
356.960,9.800,14874.648,25914.164
357.972,10.900,14874.648,25914.164
358.992,11.800,14874.648,25914.164
360.012,45.100,14874.648,25914.164
361.032,100.000,14874.648,25914.164
362.052,100.000,14842.617,25882.133
363.072,100.000,14842.617,25882.133
364.090,100.200,14842.617,25882.133
365.108,101.200,14842.617,25882.133
366.125,100.200,14842.617,25882.133
367.143,100.200,14842.617,25882.133
368.161,99.200,14842.617,25882.133
369.179,100.200,14842.617,25882.133
370.197,100.200,14842.617,25882.133
371.215,100.200,14842.617,25882.133
372.232,100.200,14842.617,25882.133
373.250,99.200,14842.617,25882.133
374.268,100.200,14842.617,25882.133
375.286,100.200,14842.617,25882.133
376.304,100.200,14842.617,25882.133
377.321,100.200,14842.617,25882.133
378.339,100.200,14842.617,25882.133
379.357,99.200,14842.617,25882.133
380.375,101.200,14842.617,25882.133
381.393,99.200,14842.617,25882.133
382.410,100.200,14842.617,25882.133
383.428,100.200,14842.617,25882.133
384.446,100.200,14842.617,25882.133
385.464,99.200,14842.617,25882.133
386.480,100.300,14842.617,25882.133
387.497,100.300,14873.020,25912.656
388.515,100.200,14934.066,25973.703
389.533,68.800,14934.066,25973.703
390.551,41.200,14934.066,25973.703
391.572,44.100,14934.066,25973.703
392.593,37.200,14934.066,25973.703
393.613,9.800,14934.066,25973.703
394.633,9.800,14934.066,25973.703
395.653,8.800,14934.066,25973.703
396.673,9.800,14934.066,25973.703
397.693,8.800,14934.066,25973.703
398.713,9.800,14934.066,25973.703
399.733,8.800,14934.066,25973.703
400.753,18.600,14934.066,25973.703
401.773,10.800,14934.066,25973.703
402.793,7.800,14934.066,25973.703
403.814,8.800,14934.066,25973.703
404.834,7.800,14934.066,25973.703
405.854,9.800,14934.066,25973.703
406.874,8.800,14934.066,25973.703
407.894,8.800,14934.066,25973.703
408.914,8.800,14934.066,25973.703
409.934,8.800,14934.066,25973.703
410.954,8.800,14934.066,25973.703
411.974,9.800,14934.066,25973.703
412.994,8.800,14934.066,25973.703
414.015,8.800,14934.066,25973.703
415.035,9.800,14934.066,25973.703
416.054,6.900,14934.066,25973.703
417.074,9.800,14934.066,25973.703
418.094,8.800,14934.066,25973.703
419.114,14.700,14934.066,25973.703
420.134,9.800,14934.066,25973.703
421.154,7.800,14934.066,25973.703
422.173,9.800,14934.066,25973.703
423.193,7.800,14934.066,25973.703
424.213,5.900,14934.066,25973.703
425.233,76.500,14934.066,25973.703
426.253,100.000,14934.066,25973.703
427.273,100.000,14934.066,25973.703
428.291,100.200,14934.066,25973.703
429.310,100.200,14934.066,25973.703
430.328,100.200,14934.066,25973.703
431.346,100.200,14934.066,25973.703
432.364,100.200,14870.004,25909.641
433.382,100.200,14870.004,25909.641
434.400,99.200,14870.004,25909.641
435.418,101.200,14870.004,25909.641
436.436,99.200,14870.004,25909.641
