Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,30.441,8413.711
1.012,101.800,81.242,8382.488
2.028,87.600,120.613,8486.059
3.047,93.200,135.070,8505.500
4.067,97.100,227.363,8601.145
5.087,96.100,349.723,8727.918
6.102,97.600,360.426,8740.465
7.116,98.600,397.953,8777.320
8.138,81.200,451.828,8833.723
9.155,97.300,500.070,8882.082
10.173,99.300,500.070,8882.082
11.192,100.100,519.336,8901.410
12.203,99.900,519.363,8901.410
13.220,99.300,519.363,8901.410
14.239,100.200,519.363,8901.410
15.258,99.100,519.363,8901.410
16.269,100.900,519.363,8901.410
17.286,99.300,519.363,8901.410
18.304,100.200,597.230,11299.801
19.324,100.000,710.785,11339.801
20.344,100.000,715.684,11463.801
21.365,100.000,727.285,11757.801
22.385,101.000,746.879,12264.801
23.404,100.100,781.207,13142.801
24.424,99.000,817.035,14058.801
25.445,100.000,902.355,16242.801
26.465,1016.700,6390.773,22036.555
27.485,710.700,4827.781,14846.910
28.505,100.000,6071.656,16090.910
29.526,100.900,7335.969,17355.910
30.546,99.000,8589.969,18609.910
31.566,99.000,9112.418,19158.910
32.593,100.400,10144.219,20038.156
33.613,101.000,10978.520,21179.215
34.633,99.000,12729.434,22541.199
35.653,101.000,14287.090,24048.602
36.674,100.000,11894.262,21640.527
37.694,100.000,13499.051,23254.734
38.714,100.000,11554.363,21300.617
39.734,100.000,13248.246,23018.031
40.755,86.200,14329.867,24075.930
41.777,65.500,14329.867,24075.926
42.797,58.900,10598.492,28730.707
43.830,17.400,10584.520,20348.312
44.851,64.700,10670.188,20430.543
45.870,9.800,10669.391,20430.543
46.903,0.000,10669.035,20430.543
47.920,0.000,10668.012,20430.543
48.941,0.000,10667.434,20430.543
49.955,0.000,10667.242,20430.543
50.975,0.000,10667.027,20430.543
51.998,10.800,10666.172,20430.543
53.018,10.800,10666.148,20430.543
54.045,0.000,10666.148,20430.543
55.070,0.000,10666.148,20430.543
56.082,0.000,10666.148,20430.543
57.106,0.000,10666.148,20430.543
58.128,0.000,10666.148,20430.543
59.153,0.000,10666.148,20430.543
60.168,11.800,10666.148,20430.543
61.185,24.600,10666.176,20430.543
62.203,18.700,10666.176,20430.543
63.221,42.200,10666.500,20430.543
64.240,28.500,10666.359,20430.543
65.271,0.000,10666.152,20430.543
66.293,0.000,10666.152,20430.543
67.304,0.000,10666.152,20430.543
68.331,0.000,10666.152,20430.543
69.346,0.000,10666.152,20430.543
70.360,0.000,10666.152,20430.543
71.377,12.800,10666.152,20430.543
72.397,12.800,10666.148,20430.543
73.424,0.000,10666.148,20430.543
74.442,0.000,10666.148,20430.543
75.463,0.000,10666.148,20430.543
76.483,0.000,10666.148,20430.543
77.504,0.000,10666.148,20430.543
78.526,4.900,10666.148,20430.543
79.543,9.800,10666.148,20430.543
80.563,54.900,10720.648,20484.980
81.588,45.900,10720.648,20484.980
82.609,51.900,10720.648,20484.980
83.629,38.200,10720.891,20484.980
84.650,31.400,10720.891,20484.980
85.682,18.400,10797.156,20562.246
86.711,68.000,10677.457,20441.512
87.732,22.500,10677.457,20441.512
88.753,30.400,10677.457,20441.512
89.774,23.500,10677.457,20441.512
90.794,37.200,10677.457,20441.512
91.815,22.500,10677.457,20441.512
92.835,17.600,10677.457,20441.512
93.858,24.500,10677.457,20441.512
94.878,11.800,10677.457,20441.512
95.899,56.800,10767.426,20531.965
96.922,44.000,10767.426,20531.965
97.943,53.900,10767.426,20531.965
98.963,31.400,10767.426,20531.965
99.984,41.100,10767.426,20531.965
101.011,6.800,10767.426,20531.965
102.032,91.100,10917.535,20681.953
103.052,38.200,10917.617,20681.953
104.074,31.300,10917.656,20681.953
105.094,25.500,10917.656,20681.953
106.115,45.000,10917.656,20681.953
107.136,41.100,10767.668,20531.965
108.157,20.600,10801.691,20566.230
109.190,72.600,10870.465,20634.762
110.212,42.100,10870.465,20634.762
111.232,29.400,10870.465,20634.762
112.254,48.900,10870.465,20634.762
113.275,36.200,10870.465,20634.762
114.302,17.500,10870.465,20634.762
115.323,73.400,10970.711,20735.371
116.344,24.500,10970.711,20735.371
117.364,50.000,10970.711,20735.371
118.384,40.200,10970.711,20735.371
119.404,40.200,10970.711,20735.371
120.429,10.700,10970.711,20735.371
121.450,81.300,10914.898,20679.430
122.467,39.300,10914.898,20679.430
123.489,48.900,10914.898,20679.430
124.511,46.000,10914.898,20679.430
125.532,38.200,10914.898,20679.430
126.553,17.600,10914.898,20679.430
127.574,72.500,11019.414,20784.430
128.595,29.400,11019.414,20784.430
129.615,53.900,11019.414,20784.430
130.636,36.300,11019.414,20784.430
131.657,20.600,11019.414,20784.430
132.677,22.500,11019.414,20784.430
133.698,52.900,11019.535,20784.430
134.722,42.000,11019.535,20784.430
135.743,52.900,11019.535,20784.430
136.764,42.100,11019.535,20784.430
137.785,41.100,11019.656,20784.430
138.812,30.200,11019.656,20784.430
139.834,59.700,11019.656,20784.430
140.855,48.000,11019.656,20784.430
141.875,49.000,11019.656,20784.430
142.896,37.200,11019.656,20784.430
143.917,21.500,11083.930,20865.934
144.947,73.800,11127.855,20893.102
145.968,30.400,11127.855,20893.102
146.989,50.900,11127.855,20893.102
148.010,25.500,11127.855,20893.102
149.031,37.200,11127.855,20893.102
150.059,17.500,11127.859,20893.102
151.080,75.400,11042.621,20807.613
152.101,47.000,11042.621,20807.613
153.122,51.000,11042.621,20807.613
