Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,29.805,8414.711
1.014,92.700,79.949,8383.488
2.033,86.300,121.117,8492.984
3.054,95.000,198.055,8570.500
4.073,96.200,241.004,8616.145
5.094,97.000,346.824,8727.918
6.115,97.000,357.527,8740.465
7.135,97.000,395.227,8778.316
8.156,75.400,448.840,8834.223
9.177,82.300,487.789,8872.418
10.197,99.000,497.316,8882.082
11.218,99.000,497.332,8882.082
12.238,99.000,516.418,8901.410
13.259,99.000,516.418,8901.410
14.279,99.000,516.418,8901.410
15.300,98.900,516.418,8901.410
16.321,99.000,516.418,8901.410
17.341,99.000,516.418,8901.410
18.361,99.000,516.418,8901.410
19.382,99.000,516.418,8901.410
20.402,99.000,516.418,8901.410
21.423,99.000,516.418,8901.410
22.444,99.000,516.418,8901.410
23.462,98.200,516.418,8901.410
24.479,100.200,516.418,8901.410
25.500,98.000,516.418,8901.410
26.520,99.000,516.418,8901.410
27.541,100.000,516.418,8901.410
28.561,98.000,516.418,8901.410
29.582,99.000,516.418,8901.410
30.602,99.000,516.418,8901.410
31.623,99.000,516.418,8901.410
32.643,98.900,516.418,8901.410
33.664,98.900,516.418,8901.410
34.684,99.100,516.418,8901.410
35.704,99.000,516.418,8901.410
36.725,99.000,560.598,15557.762
37.745,99.900,616.953,15557.762
38.766,100.900,926.844,15557.762
39.786,100.000,1003.691,15596.762
40.804,99.300,1010.137,15783.762
41.823,100.100,1021.527,16107.762
42.844,100.900,1033.387,16445.762
43.864,100.000,1061.738,17250.762
44.884,99.000,1110.715,18641.762
45.905,100.000,1161.750,20095.762
46.925,100.900,1283.414,23557.762
47.946,100.900,1410.750,27173.762
48.965,1115.000,7354.652,42994.715
49.986,1400.000,16649.465,42994.715
51.006,1345.500,25812.469,42994.715
52.027,298.800,10823.262,23054.910
53.048,100.000,11495.742,23757.910
54.068,99.000,13303.262,25645.910
55.089,100.900,14459.035,26853.910
56.109,99.900,16543.449,29031.910
57.130,99.900,17745.371,30287.910
58.150,100.000,19782.605,32416.910
59.169,91.300,20795.758,33466.539
60.191,95.900,20889.199,33569.168
61.211,100.000,21696.031,34623.176
62.232,100.000,21824.191,34685.656
63.252,100.900,23530.254,36287.402
64.273,99.900,25164.109,37776.473
65.294,99.900,26840.156,39429.438
66.314,99.900,23444.211,36076.816
67.335,100.000,25292.777,37877.402
68.355,99.900,26881.969,39439.379
69.376,99.900,28500.594,41129.387
70.396,100.900,24372.137,36857.488
71.417,99.000,26060.301,38740.488
72.437,100.900,27854.883,40339.730
73.458,99.900,24554.891,37390.160
74.478,100.000,26299.176,38849.398
75.499,100.000,28056.164,40626.863
76.519,99.900,29549.113,42028.977
77.540,100.900,26068.055,38527.738
78.561,99.900,27774.680,40248.883
79.581,100.000,29531.930,41991.238
80.602,99.900,30829.598,43682.406
81.622,70.500,25829.762,38274.406
82.643,65.700,25829.762,38274.402
83.661,70.700,23777.402,36221.977
84.682,49.000,23777.410,36221.992
85.702,31.400,23774.402,36235.082
86.724,10.800,23773.004,36235.066
87.745,43.100,23817.656,36266.988
88.767,0.000,23817.117,36266.988
89.787,0.000,23816.094,36266.988
90.808,0.000,23815.516,36266.988
91.829,0.000,23815.324,36266.988
92.850,0.000,23815.305,36266.988
93.871,3.900,23814.254,36266.988
94.892,16.600,23815.191,36266.988
95.914,0.000,23815.191,36266.988
96.935,0.000,23815.191,36266.988
97.956,0.000,23815.191,36266.988
98.978,0.000,23815.191,36266.988
99.998,0.000,23815.191,36266.988
101.020,0.000,23815.191,36266.988
102.041,23.500,23816.383,36266.988
103.063,53.900,23819.004,36266.988
104.082,31.400,23820.020,36266.988
105.102,12.700,23820.395,36266.988
106.116,0.000,23820.391,36266.988
107.137,0.000,23820.391,36266.988
108.158,0.000,23820.391,36266.988
109.180,0.000,23820.391,36266.988
110.203,0.000,23820.391,36266.988
111.224,4.900,23820.391,36266.988
112.245,14.700,23821.176,36266.988
113.265,3.900,23821.234,36266.988
114.288,0.000,23821.234,36266.988
115.309,0.000,23821.234,36266.988
116.330,0.000,23821.234,36266.988
117.351,0.000,23821.234,36266.988
118.372,0.000,23821.234,36266.988
119.394,10.800,23821.234,36266.988
120.415,24.500,23907.902,36351.070
121.436,71.500,23950.590,36351.070
122.458,47.000,23953.121,36351.070
123.479,40.100,23956.070,36351.070
124.501,29.400,23957.477,36351.070
125.522,20.600,23958.949,36351.070
126.542,25.500,23960.527,36351.070
127.560,26.500,24002.355,36390.570
128.581,55.800,23886.801,36274.695
129.602,46.000,23886.832,36274.695
130.625,50.900,23886.938,36274.695
131.646,43.100,23886.938,36274.695
132.667,7.800,23886.938,36274.695
133.687,65.600,23944.887,36332.102
134.709,50.900,23946.293,36332.102
135.730,45.000,23947.336,36332.102
136.752,44.000,23948.684,36332.102
137.773,25.500,23949.633,36332.102
138.794,71.500,24051.898,36407.914
139.815,45.100,24051.898,36407.914
140.840,27.300,24051.898,36407.914
141.862,49.000,24051.898,36407.914
142.883,40.200,24051.898,36407.914
143.905,16.600,24051.898,36407.914
144.926,89.100,24188.730,36544.719
145.947,23.500,24188.730,36544.719
146.968,31.300,24188.766,36544.719
147.992,23.400,24188.988,36544.719
149.013,37.200,24189.824,36544.719
150.034,24.500,24190.555,36544.719
151.055,20.600,24191.258,36544.719
152.075,22.600,24191.961,36544.719
153.091,11.800,24192.242,36544.719
154.112,87.200,24060.082,36407.914
155.133,23.500,24060.082,36407.914
156.154,28.400,24060.082,36407.914
157.183,47.600,24060.082,36407.914
158.204,42.100,24060.082,36407.914
159.226,19.600,24060.082,36407.914
160.246,23.500,24060.082,36407.914
161.269,27.400,24156.656,36505.156
162.291,69.500,24157.344,36505.156
163.316,47.800,24157.344,36505.156
164.332,47.200,24157.344,36505.156
165.354,23.500,24157.344,36505.156
166.375,28.400,24157.871,36505.156
167.396,27.400,24158.844,36505.156
168.417,37.200,24243.723,36588.875
169.437,61.700,24275.520,36616.781
170.459,49.900,24179.484,36519.539
171.480,50.000,24179.484,36519.539
172.501,35.300,24179.492,36519.539
173.522,20.600,24179.492,36519.539
174.543,95.000,24321.648,36661.664
175.564,40.200,24321.648,36661.664
176.585,33.300,24321.648,36661.664
177.606,31.300,24321.648,36661.664
178.627,36.200,24321.648,36661.664
179.649,42.100,24322.078,36661.664
180.676,33.100,24530.855,36868.195
181.696,89.100,24534.285,36868.195
182.717,43.100,24535.402,36868.195
183.738,43.100,24536.527,36868.195
184.760,48.000,24537.828,36868.195
185.781,23.500,24189.738,36519.539
186.808,23.400,24189.738,36519.539
187.829,23.500,24215.879,36572.051
188.850,87.200,24347.273,36677.074
189.871,47.000,24347.273,36677.074
190.898,45.800,24347.273,36677.074
191.919,21.500,24347.273,36677.074
192.941,23.500,24347.273,36677.074
193.962,43.100,24347.273,36677.074
194.984,6.900,24347.273,36677.074
196.004,80.300,24448.754,36775.582
197.026,48.000,24450.078,36775.582
198.050,49.800,24451.598,36775.582
199.070,34.300,24452.402,36775.582
200.090,45.100,24453.672,36775.582
201.111,10.800,24453.996,36775.582
202.132,81.300,24305.777,36627.363
203.153,45.100,24305.777,36627.363
204.174,50.900,24305.777,36627.363
205.195,41.100,24305.824,36627.363
206.216,39.200,24305.824,36627.363
207.236,12.700,24305.824,36627.363
208.257,72.500,24400.293,36720.961
209.278,48.000,24401.711,36720.961
210.306,52.500,24403.176,36720.961
211.327,22.500,24403.879,36720.961
212.348,32.300,24404.613,36720.961
213.369,25.500,24405.570,36720.961
214.390,73.500,24207.594,36519.539
215.411,47.000,24207.594,36519.539
216.436,50.700,24207.594,36519.539
217.457,40.200,24207.594,36519.539
218.478,32.300,24207.594,36519.539
219.499,44.100,24300.910,36643.414
220.520,61.700,24331.176,36643.414
221.541,47.000,24331.176,36643.414
222.562,49.000,24331.176,36643.414
223.583,35.300,24331.176,36643.414
224.604,24.500,24331.176,36643.414
225.625,6.900,24331.195,36643.414
226.646,73.500,24479.117,36791.305
227.667,56.800,24390.508,36692.711
228.688,48.000,24390.508,36692.711
229.709,41.100,24390.508,36692.711
230.731,23.500,24390.508,36692.711
231.752,45.100,24390.508,36692.711
232.779,23.400,24390.508,36692.711
233.800,50.000,24390.547,36692.711
234.821,57.700,24390.547,36692.711
235.842,37.200,24390.547,36692.711
236.863,32.300,24390.547,36692.711
237.888,13.700,24390.547,36692.711
238.909,62.700,24390.668,36692.711
239.930,43.100,24390.926,36692.711
240.951,52.900,24390.926,36692.711
241.972,42.100,24390.926,36692.711
242.993,41.100,24390.926,36692.711
244.014,25.500,24495.250,36797.020
245.035,72.500,24495.250,36797.020
246.057,45.000,24495.250,36797.020
247.077,50.000,24495.250,36797.020
248.098,23.500,24495.250,36797.020
249.120,39.200,24495.250,36797.020
250.141,24.500,24495.250,36797.020
251.162,71.500,24495.250,36797.020
252.183,51.900,24496.410,36797.020
253.204,44.100,24392.414,36692.711
254.226,44.000,24392.414,36692.711
255.247,26.400,24392.414,36692.711
256.268,64.600,24392.414,36692.711
257.289,50.000,24392.414,36692.711
258.313,51.700,24392.414,36692.711
259.334,39.200,24392.414,36692.711
260.355,34.300,24392.414,36692.711
261.376,45.100,24493.523,36793.820
262.397,59.700,24493.523,36793.820
263.418,51.900,24493.930,36793.820
264.439,43.100,24495.195,36793.820
265.462,44.000,24496.281,36793.820
266.483,30.400,24396.129,36692.711
267.504,67.600,24424.523,36721.227
268.525,48.000,24424.523,36721.227
269.552,49.600,24424.523,36721.227
270.573,38.200,24424.523,36721.227
271.595,36.200,24424.523,36721.227
272.616,14.700,24444.527,36753.422
273.637,71.500,24521.109,36817.812
274.660,49.900,24521.133,36817.812
