Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,28.629,8413.711
1.011,91.000,79.172,8382.492
2.030,85.400,122.941,8494.988
3.052,94.900,198.988,8571.504
4.072,96.100,258.664,8634.148
5.092,97.000,346.750,8727.922
6.113,97.000,357.441,8739.469
7.133,93.100,395.328,8778.820
8.155,84.200,449.152,8833.727
9.175,84.300,487.594,8872.293
10.195,99.100,497.371,8882.082
11.215,99.000,497.371,8882.082
12.235,99.000,497.371,8882.082
13.256,99.000,516.203,8901.410
14.276,99.000,516.203,8901.410
15.296,99.000,516.457,8901.410
16.317,98.000,516.457,8901.410
17.337,100.000,516.457,8901.410
18.357,98.000,516.457,8901.410
19.377,99.000,516.457,8901.410
20.398,98.000,516.457,8901.410
21.418,99.000,516.457,8901.410
22.438,99.000,516.457,8901.410
23.458,98.000,516.457,8901.410
24.479,99.000,516.457,8901.410
25.499,99.000,516.457,8901.410
26.519,99.000,516.457,8901.410
27.540,99.000,516.457,8901.410
28.560,98.000,516.457,8901.410
29.581,99.000,516.457,8901.410
30.601,99.000,516.457,8901.410
31.621,99.000,516.457,8901.410
32.641,99.000,516.457,8901.410
33.662,98.000,516.457,8901.410
34.682,99.000,516.457,8901.410
35.702,99.000,516.457,8901.410
36.722,98.000,516.457,8901.410
37.743,99.000,516.457,8901.410
38.763,99.000,516.457,8901.410
39.783,99.000,516.457,8901.410
40.803,98.000,516.457,8901.410
41.824,99.000,516.457,8901.410
42.844,99.000,516.457,8901.410
43.864,99.000,516.457,8901.410
44.884,98.100,516.457,8901.410
45.904,99.000,516.457,8901.410
46.923,98.100,516.457,8901.410
47.944,99.000,516.457,8901.410
48.964,99.000,516.457,8901.410
49.984,99.000,516.457,8901.410
51.005,98.000,516.457,8901.410
52.025,100.000,516.457,8901.410
53.045,97.000,516.457,8901.410
54.065,99.000,516.457,8901.410
55.085,99.000,516.457,8901.410
56.106,99.000,516.457,8901.410
57.126,98.000,516.457,8901.410
58.146,99.000,516.457,8901.410
59.167,100.000,516.457,8901.410
60.187,98.000,516.457,8901.410
61.208,98.000,516.457,8901.410
62.228,99.000,516.457,8901.410
63.249,99.000,516.457,8901.410
64.269,98.000,516.457,8901.410
65.290,99.000,516.457,8901.410
66.310,99.000,516.457,8901.410
67.331,98.900,516.457,8901.410
68.351,99.000,516.457,8901.410
69.372,98.000,516.457,8901.410
70.392,99.000,516.457,8901.410
71.413,99.000,516.457,8901.410
72.433,99.000,516.457,8901.410
73.454,98.000,516.457,8901.410
74.474,99.000,516.457,8901.410
75.494,98.000,516.457,8901.410
76.515,99.900,516.457,8901.410
77.535,98.000,516.457,8901.410
78.556,100.000,602.176,19499.594
