Elapsed_time,CPU,Real_MB,Virtual_MB
1.014,90.8,85.523,9472.254
2.034,88.2,164.668,9550.578
3.055,99.0,174.211,9560.242
4.075,98.0,174.211,9560.242
5.096,100.9,174.211,9560.242
6.116,99.0,174.211,9560.242
7.137,99.0,174.211,9560.242
8.157,100.0,174.211,9560.242
9.178,99.0,174.211,9560.242
10.198,100.0,174.211,9560.242
11.219,98.0,174.211,9560.242
12.239,100.0,174.211,9560.242
13.26,100.0,174.211,9560.242
14.28,99.0,174.211,9560.242
15.301,100.0,174.211,9560.242
16.321,99.9,174.211,9560.242
17.342,99.0,174.211,9560.242
18.362,99.0,174.211,9560.242
19.383,99.9,174.211,9560.242
20.403,99.0,174.211,9560.242
21.423,100.0,174.211,9560.242
22.444,99.9,174.211,9560.242
23.464,98.0,174.211,9560.242
24.485,100.0,174.211,9560.242
25.505,99.9,174.211,9560.242
26.526,99.0,174.211,9560.242
27.546,99.9,174.211,9560.242
28.566,99.0,174.211,9560.242
29.587,99.9,174.211,9560.242
30.607,99.0,174.211,9560.242
31.628,100.0,174.211,9560.242
32.648,99.0,174.211,9560.242
33.669,99.0,174.211,9560.242
34.689,100.0,174.211,9560.242
35.71,100.0,174.211,9560.242
36.728,98.2,174.211,9560.242
37.749,99.9,174.211,9560.242
38.769,100.0,174.211,9560.242
39.79,99.0,174.211,9560.242
40.81,100.0,174.211,9560.242
41.83,99.0,174.211,9560.242
42.851,100.0,174.211,9560.242
43.871,99.0,174.211,9560.242
44.892,100.0,174.211,9560.242
45.912,100.0,174.211,9560.242
46.933,99.0,174.211,9560.242
47.953,99.0,174.211,9560.242
48.974,100.0,174.211,9560.242
49.994,99.0,174.211,9560.242
51.014,100.0,174.211,9560.242
52.035,99.0,174.211,9560.242
53.055,100.0,174.211,9560.242
54.076,99.0,174.211,9560.242
55.096,99.0,174.211,9560.242
56.117,99.9,174.211,9560.242
57.137,99.0,174.211,9560.242
58.158,100.0,174.211,9560.242
59.178,99.0,174.211,9560.242
60.199,100.0,174.211,9560.242
61.219,99.0,174.211,9560.242
62.24,99.9,174.211,9560.242
63.26,100.0,260.016,20158.422
64.281,100.0,272.504,20158.422
65.301,100.0,744.559,20158.422
66.321,100.0,1076.926,20380.422
67.342,100.0,1255.332,24944.422
68.362,101.3,4754.672,39500.527
69.381,101.3,11969.07,39500.527
70.399,101.3,19074.488,39500.527
71.422,101.3,7606.891,20229.781
72.442,99.0,7624.047,20234.91
73.463,100.9,9155.012,21833.406
74.484,99.9,11027.246,23789.406
75.504,99.9,12894.066,25740.406
76.525,99.9,14766.086,27696.035
77.546,96.0,14909.438,27848.016
78.566,100.0,14970.477,27849.016
79.587,100.0,14984.398,27849.016
80.607,100.0,15144.434,27849.016
81.628,99.9,15290.832,27849.016
82.648,99.9,15402.113,27849.016
83.669,99.9,15405.879,27849.016
84.689,100.9,15437.285,27873.691
85.71,99.9,15778.84,28195.184
86.73,98.0,15776.391,28141.156
87.749,100.1,16023.016,28391.031
88.77,100.9,16318.98,28642.797
89.791,100.0,16377.027,28674.688
90.811,100.0,17089.754,29449.914
91.831,100.0,16675.184,28914.723
92.852,99.9,16862.102,29007.785
93.873,100.0,16745.059,28884.957
94.893,99.9,17064.789,29154.051
95.914,100.9,17085.398,29154.051
96.935,99.9,17235.492,29271.121
97.955,100.0,17887.051,29983.551
98.976,99.9,17485.504,29444.539
99.997,100.0,17689.449,29586.516
101.018,100.8,17484.77,29365.809
102.039,99.0,17246.926,29156.043
103.06,100.9,17073.086,28969.684
104.08,100.0,17398.066,29228.582
105.101,100.9,17004.652,28810.234
106.122,100.0,17326.301,29187.809
107.142,100.0,17326.738,29091.809
108.163,100.0,17534.492,29299.801
109.183,99.9,17482.375,29163.871
110.204,99.9,17655.516,29260.359
111.225,99.9,17722.293,29335.496
112.245,100.9,17697.988,29262.504
113.266,99.0,17776.676,29324.164
114.287,99.9,17922.121,29442.195
115.307,100.9,17865.855,29342.172
116.328,100.0,18919.68,30396.02
117.349,99.9,18236.18,29641.363
118.369,99.9,18380.895,29705.367
119.39,100.9,18386.094,29705.367
120.411,99.9,17561.254,28877.414
121.431,100.0,18665.113,29983.48
122.452,100.0,17889.059,29196.188
123.472,99.9,18262.621,29472.703
124.493,99.9,18022.715,29228.191
125.513,99.9,18131.805,29337.164
126.534,100.0,18213.266,29337.164
127.554,100.9,18217.168,29337.164
128.575,100.0,19595.223,31665.914
129.595,100.0,21079.094,32448.762
130.616,100.0,21335.098,32448.762
131.636,99.9,18556.734,29598.113
132.657,99.9,19174.691,30120.012
133.678,99.9,19236.281,30120.012
134.699,100.9,19249.43,30120.012
135.719,100.0,19811.57,30673.91
136.739,100.1,19316.656,30177.355
137.759,99.9,20386.32,31328.359
138.78,99.9,18364.473,29213.039
139.8,100.9,18483.641,29324.914
140.821,99.9,18788.258,29668.477
141.842,99.9,18488.223,29329.586
142.862,99.9,18477.602,29318.914
143.883,99.9,19301.324,30380.582
144.903,100.0,18510.121,29346.016
145.924,99.9,18644.305,29476.656
146.944,100.9,19227.906,30076.551
147.965,99.0,18865.504,29681.066
148.986,100.9,19223.457,30107.145
150.006,98.9,20331.824,31147.43
151.027,100.9,19128.23,29943.07
152.048,99.9,19273.246,30075.137
153.068,99.9,19186.074,30022.844
154.09,100.8,19415.289,30254.797
155.11,99.9,19453.102,30254.793
156.131,99.0,18251.148,29053.016
157.152,99.9,18263.383,29065.016
158.172,100.9,18881.672,29699.371
159.193,99.9,18339.117,29140.648
160.213,99.9,18386.352,29188.086
161.234,99.9,18506.27,29307.832
162.255,100.9,19606.816,30447.996
163.275,99.9,18587.918,29426.703
164.296,99.9,18626.953,29426.703
165.316,100.0,18883.602,29679.953
166.337,99.9,19677.473,30540.34
167.358,99.9,19189.672,29982.145
168.378,100.9,19294.398,30082.875
169.399,99.9,19093.008,29881.414
170.42,99.9,19852.895,30725.512
171.44,100.0,18658.375,29536.586
172.461,99.9,18846.445,29634.602
173.482,100.0,18659.797,29489.531
174.502,99.9,19418.348,30259.918
175.523,100.9,18907.531,29695.762
176.544,99.0,19057.211,29845.492
177.564,100.9,18821.992,29610.031
178.585,99.9,18552.516,29340.555
179.605,99.9,18552.516,29340.555
180.626,100.9,18342.625,29130.664
181.647,99.9,18342.625,29130.664
182.667,100.0,18342.625,29130.664
183.688,99.9,18342.625,29130.664
184.708,99.9,18342.625,29130.664
185.728,100.0,18342.625,29130.664
186.749,99.9,18342.625,29130.664
187.77,100.9,18342.625,29130.664
188.791,99.9,18342.625,29130.664
189.812,99.9,18342.625,29130.664
190.832,99.9,18342.625,29130.664
191.853,99.9,18342.625,29130.664
192.874,99.9,18342.625,29130.664
193.894,100.0,18342.625,29130.664
194.915,100.9,18342.625,29130.664
195.936,99.9,18342.625,29130.664
196.956,99.9,18342.625,29130.664
197.977,99.9,18342.625,29130.664
198.998,99.9,18342.625,29130.664
200.018,100.0,18342.625,29130.664
201.039,100.9,18342.625,29130.664
202.059,99.9,18342.625,29130.664
203.08,99.9,18342.625,29130.664
204.101,99.9,18342.625,29130.664
205.121,99.9,18342.625,29130.664
206.142,99.9,18342.625,29130.664
207.162,99.9,18342.625,29130.664
208.183,100.9,18342.625,29130.664
209.204,99.9,18342.625,29130.664
210.224,100.0,18342.625,29130.664
211.245,99.9,18342.625,29130.664
212.265,100.0,18342.625,29130.664
213.286,99.9,18342.625,29130.664
214.307,99.9,18342.625,29130.664
215.327,100.9,18342.625,29130.664
216.348,99.9,18342.625,29130.664
217.368,99.9,18342.625,29130.664
218.389,99.9,18342.625,29130.664
219.409,99.9,18342.625,29130.664
220.43,100.0,18342.625,29130.664
221.45,99.9,18342.625,29130.664
222.471,100.9,18342.625,29130.664
223.492,99.9,18342.625,29130.664
224.512,100.0,18342.625,29130.664
225.533,99.9,18342.625,29130.664
226.553,99.9,18342.625,29130.664
227.574,99.9,18342.625,29130.664
228.595,99.9,18342.625,29130.664
229.615,100.9,18342.625,29130.664
230.636,99.9,18342.625,29130.664
231.656,99.9,18342.625,29130.664
232.677,99.9,18342.625,29130.664
233.698,99.9,18342.68,29130.664
234.718,100.0,18343.195,29130.664
235.738,99.0,18343.934,29132.016
236.758,100.0,18343.969,29132.016
237.777,100.2,18344.086,29132.012
238.797,101.3,18348.047,29366.223
239.821,101.3,18348.047,29366.223
240.839,100.2,18348.047,29366.223
241.857,100.2,18348.047,29366.223
242.868,99.9,18348.277,29366.223
243.888,99.9,18348.277,29366.223
244.909,99.9,18348.277,29366.223
245.93,99.9,18348.277,29366.223
246.95,100.9,18348.277,29366.223
247.971,99.9,18348.277,29366.223
248.992,99.9,18348.277,29366.223
250.012,99.9,18348.277,29366.223
251.033,99.9,18348.277,29366.223
252.054,99.9,18348.277,29366.223
253.074,100.9,18348.277,29366.223
254.095,99.9,18348.277,29366.223
255.116,99.9,18348.277,29366.223
256.136,99.9,18348.277,29366.223
257.157,99.9,18348.277,29366.223
258.178,99.9,18348.277,29366.223
259.198,100.0,18348.277,29366.223
260.219,100.9,18348.277,29366.223
261.239,99.9,18348.277,29366.223
262.26,99.9,18348.277,29366.223
263.281,99.9,18348.277,29366.223
264.301,99.9,18348.277,29366.223
265.322,99.9,18348.277,29366.223
266.343,99.9,18348.277,29366.223
267.363,99.9,18348.277,29366.223
268.384,99.9,18348.277,29366.223
269.405,100.9,18348.277,29366.223
270.425,99.9,18348.277,29366.223
271.446,99.9,18348.414,29366.219
272.467,82.3,0.0,0.0
