Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,35.293,8547.684
1.010,96.000,123.184,8623.590
2.028,95.300,225.875,8726.102
3.046,98.200,248.715,8749.891
4.065,98.200,388.770,8891.699
5.083,99.200,411.188,8921.484
6.101,99.200,497.984,9008.766
7.120,98.200,585.559,9097.879
8.138,92.300,685.434,9198.664
9.156,94.300,687.992,9201.648
10.172,98.400,711.281,9226.586
11.182,91.100,714.613,9235.848
12.201,78.600,745.273,9270.008
13.219,73.700,766.301,9292.094
14.237,74.600,813.090,9340.047
15.256,80.500,813.516,9341.012
16.274,93.300,817.500,9346.477
17.292,84.500,845.000,9384.582
18.311,77.600,962.855,9509.934
19.329,79.500,970.949,9518.617
20.344,75.800,971.500,9519.191
21.361,92.400,972.824,9521.027
22.380,70.700,973.461,9560.086
23.398,71.700,1006.609,9594.086
24.417,91.300,1057.930,9646.547
25.435,83.500,1052.934,9641.012
26.454,100.100,1130.430,9806.113
27.472,89.400,1285.336,9873.676
28.490,100.200,1304.434,9893.129
29.508,99.200,1380.523,9970.441
30.527,100.100,1390.320,9980.105
31.545,100.200,1390.320,9980.105
32.564,99.200,1390.320,9980.105
33.582,100.200,1390.320,9980.105
34.600,100.200,1457.230,10047.754
35.618,99.200,1585.215,11725.637
36.636,100.200,1604.508,11725.637
37.655,100.100,1607.582,11819.637
38.674,100.100,1620.730,12188.637
39.692,99.200,1629.238,12429.637
40.710,101.200,1639.293,12719.637
41.729,100.200,1651.695,13067.637
42.747,100.200,1666.332,13484.637
43.765,99.200,1683.863,13985.637
44.784,122.700,1748.871,18911.969
45.808,1193.600,4145.254,13996.910
46.826,100.200,4705.102,14573.910
47.845,99.200,5561.141,15457.910
48.863,100.200,6588.398,16517.910
49.882,100.200,6899.320,16838.910
50.900,99.200,7062.555,16988.043
51.918,100.200,7072.605,16988.043
52.937,100.200,8606.727,19794.285
53.955,99.200,9881.773,19794.289
54.974,100.200,9929.359,22600.531
55.992,100.100,11337.398,22600.531
57.011,100.200,12690.012,22600.531
58.029,109.000,13100.109,23003.180
59.047,99.200,13538.598,23588.305
60.066,100.200,12848.801,23007.555
61.084,100.200,13811.883,23755.711
62.103,100.200,14209.543,24110.777
63.121,100.200,13224.660,23121.953
64.139,100.200,13318.281,23121.953
65.157,100.200,12950.117,22741.508
66.176,100.200,12950.633,22741.508
67.194,99.200,12951.539,22741.508
68.213,101.100,12971.531,24662.457
69.231,99.200,14329.668,24662.457
70.250,101.100,14876.570,24662.551
71.268,99.200,16009.898,26583.500
72.286,100.100,17645.988,28504.449
73.305,110.000,18909.656,28712.633
74.323,100.200,19355.141,29141.082
75.342,100.200,19714.355,29535.055
76.360,99.200,20510.887,30296.895
77.378,100.200,20995.164,30779.074
78.397,100.200,19357.750,29141.082
79.415,100.200,19357.988,29141.082
80.433,100.200,18909.094,28692.141
81.451,100.200,18909.254,28692.141
82.470,100.200,20830.203,30613.090
83.488,99.200,21428.684,32534.039
84.506,100.100,22402.684,32534.039
85.525,100.200,23114.684,34454.988
86.543,100.100,24394.684,34454.988
87.562,100.200,23323.633,34454.988
88.580,100.200,24135.633,34454.988
89.599,99.200,24672.102,34454.988
90.616,100.300,25764.461,35547.582
91.635,99.200,23210.625,32988.797
92.653,101.200,24305.441,34081.391
93.671,99.200,24818.465,34568.473
94.690,100.200,24878.863,34623.273
95.708,100.200,19023.590,28767.742
96.726,99.200,19031.660,28767.742
97.745,101.100,19031.895,28767.742
98.763,100.200,19035.199,28767.742
99.781,99.200,20211.488,30133.531
100.800,100.200,20868.797,30592.816
101.818,98.200,19981.152,29705.152
102.837,98.100,20061.707,29784.961
103.855,100.200,20105.617,29822.188
104.874,100.200,20122.574,29822.188
105.892,100.100,20913.734,30613.172
106.911,100.100,20913.750,30613.172
107.930,99.200,20628.066,30327.465
108.947,100.200,20733.242,30432.641
109.966,100.200,20763.309,30462.828
110.984,98.100,20885.453,30584.973
112.003,101.100,20853.000,30552.520
113.021,100.200,20859.688,30552.520
114.040,99.200,20957.867,30647.238
115.058,100.100,20918.762,30605.645
116.077,100.100,20984.113,30667.332
117.095,100.200,21645.523,32511.785
118.114,86.400,22869.316,32547.586
119.132,100.200,20965.055,30641.445
120.150,101.100,20967.414,30641.445
121.169,99.100,20967.484,30641.445
122.188,100.200,20969.332,30641.445
123.206,100.200,20969.445,30641.445
124.224,100.200,20970.965,30641.445
125.243,100.200,19192.633,28861.973
126.261,99.200,19192.645,28861.973
127.279,100.200,19195.320,28861.973
128.298,100.200,19195.375,28861.973
129.316,100.200,19196.383,28861.973
130.335,100.100,19196.461,28861.973
131.353,101.100,19197.578,28861.973
132.371,100.200,19197.844,28861.973
133.390,99.200,19198.074,28861.973
134.408,100.200,19198.434,28861.973
135.426,100.200,19198.441,28861.973
136.445,100.200,19199.223,28861.973
137.463,100.200,19199.285,28861.973
138.481,100.200,19199.828,28861.973
139.500,99.200,19199.844,28861.973
140.518,101.100,19200.066,28861.973
141.536,99.200,19200.066,28861.973
142.555,101.100,19200.066,28861.973
143.573,100.100,19200.469,28861.973
144.592,100.100,19200.488,28861.973
145.610,99.200,19201.465,28861.973
146.628,100.200,19201.488,28861.973
147.646,100.200,19202.445,28861.973
148.665,100.200,19203.086,28861.973
149.683,99.200,19203.105,28861.973
150.701,101.100,19203.188,28861.973
151.720,100.200,19203.207,28861.973
152.738,100.200,19205.207,28861.973
153.756,100.200,19206.930,28861.973
154.775,100.200,19206.949,28861.973
155.793,99.200,19208.148,28861.973
156.811,100.200,19208.148,28861.973
157.830,100.200,19208.484,28861.973
158.848,101.200,19208.484,28861.973
159.867,99.200,19209.582,28861.973
160.885,100.100,19210.574,28861.973
161.903,100.200,19210.574,28861.973
162.922,100.200,19211.137,28861.973
163.939,100.200,19211.203,28861.973
164.958,100.100,19211.207,28861.973
165.977,100.200,19211.207,28861.973
166.995,100.200,19211.207,28861.973
168.014,100.200,19211.207,28861.973
169.032,100.200,19211.207,28861.973
170.050,100.200,19211.207,28861.973
171.068,100.200,19211.207,28861.973
172.087,99.200,19211.207,28861.973
173.105,100.200,19211.207,28861.973
174.123,100.200,19211.207,28861.973
175.142,100.100,19211.207,28861.973
176.160,100.200,19211.207,28861.973
177.179,100.100,19211.207,28861.973
178.197,100.200,19211.207,28861.973
179.216,100.100,19211.207,28861.973
180.234,99.200,19211.207,28861.973
181.253,101.100,19211.207,28861.973
182.271,100.200,19211.207,28861.973
183.289,99.200,19211.207,28861.973
184.308,100.200,19211.207,28861.973
185.326,100.100,19211.207,28861.973
186.345,100.200,19211.207,28861.973
187.363,100.100,19211.207,28861.973
188.382,100.200,19211.207,28861.973
189.400,100.200,19211.207,28861.973
190.418,99.200,19211.207,28861.973
191.437,100.200,19211.207,28861.973
192.455,100.200,19211.207,28861.973
193.474,100.100,19211.207,28861.973
194.492,101.100,19211.207,28861.973
195.510,100.100,19211.207,28861.973
196.529,100.200,19211.207,28861.973
197.547,100.200,19211.207,28861.973
198.566,100.100,19211.207,28861.973
199.585,99.200,19211.570,28861.973
200.603,100.200,19211.570,28861.973
201.620,100.300,19211.574,28861.973
202.639,100.200,19211.574,28861.973
203.657,100.100,19211.574,28861.973
204.676,99.200,19211.621,28861.973
205.694,100.200,19211.621,28861.973
206.713,100.200,19211.621,28861.973
207.731,100.200,19211.621,28861.973
208.749,100.200,19211.621,28861.973
209.768,100.200,19211.621,28861.973
210.786,100.200,19211.621,28861.973
211.804,100.100,19211.621,28861.973
212.823,100.200,19211.621,28861.973
213.841,100.200,19211.621,28861.973
214.860,100.200,19211.621,28861.973
215.878,100.200,19211.621,28861.973
216.896,100.200,19211.621,28861.973
217.915,100.100,19211.621,28861.973
218.932,99.300,19211.621,28861.973
219.951,100.200,19211.621,28861.973
220.969,100.200,19211.621,28861.973
221.987,100.200,19211.637,28861.973
223.005,100.200,19211.637,28861.973
224.024,100.200,19211.637,28861.973
225.042,100.200,19211.637,28861.973
226.061,100.200,19211.637,28861.973
227.079,100.200,19211.637,28861.973
228.097,100.200,19211.637,28861.973
229.115,100.200,19211.668,28861.973
230.134,99.200,19211.668,28861.973
231.152,100.200,19211.730,28861.973
232.170,100.200,19211.730,28861.973
233.189,100.200,19211.730,28861.973
234.207,100.200,19211.730,28861.973
235.225,100.200,19211.730,28861.973
236.244,100.200,19212.586,28861.973
237.262,100.200,19212.586,28861.973
238.280,100.200,19212.586,28861.973
239.299,99.200,19212.586,28861.973
240.317,100.200,19212.586,28861.973
241.335,100.200,19212.586,28861.973
242.354,100.200,19212.609,28861.973
243.372,100.200,19212.609,28861.973
244.390,100.200,19212.609,28861.973
245.408,100.200,19212.609,28861.973
246.427,100.200,19212.609,28861.973
247.445,100.200,19212.609,28861.973
248.463,100.100,19212.609,28861.973
249.482,100.200,19212.609,28861.973
250.500,100.200,19212.617,28861.973
251.518,99.200,19212.617,28861.973
252.537,100.100,19212.617,28861.973
253.555,100.200,19212.617,28861.973
254.574,100.200,19212.617,28861.973
255.592,100.200,19212.617,28861.973
256.609,100.200,19212.617,28861.973
257.626,100.300,19212.617,28861.973
258.645,100.200,19212.617,28861.973
259.663,100.200,19212.617,28861.973
260.681,100.200,19212.617,28861.973
261.699,99.200,19212.617,28861.973
262.717,100.200,19212.617,28861.973
263.736,100.200,19212.617,28861.973
264.754,100.200,19212.617,28861.973
265.772,100.200,19212.617,28861.973
266.790,100.200,19212.617,28861.973
267.808,100.200,19212.617,28861.973
268.827,100.200,19289.578,28938.934
269.845,100.200,19289.578,28938.934
270.863,100.200,19304.887,28938.934
271.881,100.200,19313.387,28938.934
272.900,100.200,19277.586,28903.133
273.918,100.100,19277.602,28903.133
274.937,100.200,19277.953,28903.133
275.955,99.200,19280.508,28903.133
276.973,100.200,19280.523,28903.133
277.991,100.200,19280.812,28903.133
279.010,100.200,19281.090,28903.133
280.028,100.200,19281.090,28903.133
281.046,101.200,19281.480,28903.133
282.064,100.200,19281.496,28903.133
283.082,99.200,19281.500,28903.133
284.101,100.200,19282.105,28903.133
285.119,99.200,19282.117,28903.133
286.137,100.200,19282.117,28903.133
287.155,101.200,19282.621,28903.133
288.173,100.200,19282.668,28903.133
289.192,100.200,19282.805,28903.133
290.210,99.200,19282.805,28903.133
291.228,100.200,19282.809,28903.133
292.246,100.200,19282.898,28903.133
293.264,100.200,19282.898,28903.133
294.283,100.200,19282.965,28903.133
295.301,100.200,19282.965,28903.133
296.319,100.200,19282.965,28903.133
297.337,100.200,19283.023,28903.133
298.356,100.200,19283.023,28903.133
299.374,99.200,19283.023,28903.133
300.392,100.200,19283.023,28903.133
301.410,100.200,19283.023,28903.133
302.429,100.200,19283.078,28903.133
303.447,100.200,19283.078,28903.133
304.465,100.200,19283.078,28903.133
305.483,100.200,19283.078,28903.133
306.502,100.200,19283.078,28903.133
307.520,100.200,19283.121,28903.133
308.538,100.200,19283.121,28903.133
309.557,100.200,19283.121,28903.133
310.575,100.200,19283.121,28903.133
311.593,99.200,19283.121,28903.133
312.611,100.200,19283.121,28903.133
313.629,100.200,19283.121,28903.133
314.647,100.200,19283.121,28903.133
315.665,100.200,19283.121,28903.133
316.683,100.200,19283.121,28903.133
317.702,100.200,19283.152,28903.133
318.720,100.200,19283.152,28903.133
319.738,100.200,19283.152,28903.133
320.756,99.200,19283.160,28903.133
321.774,100.200,19283.160,28903.133
322.792,100.200,19283.160,28903.133
323.810,100.200,19283.160,28903.133
324.829,100.200,19283.160,28903.133
325.847,100.200,19283.160,28903.133
326.865,100.200,19283.160,28903.133
327.883,100.200,19283.160,28903.133
328.901,100.200,19283.160,28903.133
329.920,100.200,19283.160,28903.133
330.938,100.200,19283.168,28903.133
331.956,99.200,19283.168,28903.133
332.973,100.300,19283.168,28903.133
333.985,100.800,19283.168,28903.133
335.003,100.200,19283.168,28903.133
336.022,100.200,19283.168,28903.133
337.040,100.200,19283.168,28903.133
338.058,99.200,19283.168,28903.133
339.076,100.200,19283.168,28903.133
340.094,100.200,19283.168,28903.133
341.112,100.200,19283.168,28903.133
342.130,100.200,19283.168,28903.133
343.149,100.200,19283.168,28903.133
344.167,100.200,19283.168,28903.133
345.185,100.200,19283.168,28903.133
346.203,100.200,19283.168,28903.133
347.222,99.200,19283.168,28903.133
348.240,100.200,19283.168,28903.133
349.258,100.200,19283.168,28903.133
350.276,100.200,19283.168,28903.133
351.295,100.200,19283.168,28903.133
352.313,100.200,19283.168,28903.133
353.331,100.200,19283.168,28903.133
354.349,100.200,19283.168,28903.133
355.368,100.200,19283.168,28903.133
356.386,100.200,19283.168,28903.133
357.404,99.200,19283.168,28903.133
358.422,100.200,19283.168,28903.133
359.440,100.200,19283.168,28903.133
360.459,100.200,19283.168,28903.133
361.477,100.200,19283.168,28903.133
362.495,100.200,19283.168,28903.133
363.514,100.200,19283.168,28903.133
364.532,100.200,19283.168,28903.133
365.550,100.200,19283.168,28903.133
366.568,99.200,19283.168,28903.133
367.587,100.200,19283.168,28903.133
368.604,100.200,19283.215,28903.133
369.622,100.200,19283.215,28903.133
370.640,100.200,19283.215,28903.133
371.658,100.200,19283.215,28903.133
372.677,100.100,19283.215,28903.133
373.695,100.200,19283.215,28903.133
374.714,100.200,19283.215,28903.133
375.732,100.200,19283.215,28903.133
376.750,99.200,19283.215,28903.133
377.769,100.200,19283.215,28903.133
378.787,100.200,19283.215,28903.133
379.805,100.200,19283.215,28903.133
380.823,100.200,19283.215,28903.133
381.842,100.100,19283.215,28903.133
382.860,100.200,19283.215,28903.133
383.879,100.200,19283.215,28903.133
384.897,100.200,19283.215,28903.133
385.915,100.200,19283.215,28903.133
386.933,100.200,19283.215,28903.133
387.951,99.200,19283.215,28903.133
388.970,100.200,19283.215,28903.133
389.988,100.200,19283.215,28903.133
391.006,100.200,19283.215,28903.133
392.025,100.200,19283.215,28903.133
393.043,100.200,19283.215,28903.133
394.061,100.200,19283.215,28903.133
395.079,100.200,19283.215,28903.133
396.098,100.200,19283.215,28903.133
397.116,100.200,19283.215,28903.133
398.134,100.200,19283.215,28903.133
399.152,99.200,19283.215,28903.133
400.170,100.200,19283.215,28903.133
401.189,100.200,19283.215,28903.133
402.207,100.200,19283.215,28903.133
403.225,100.200,19283.215,28903.133
404.243,100.200,19283.215,28903.133
405.261,100.200,19283.215,28903.133
406.280,100.200,19283.215,28903.133
407.298,100.200,19283.215,28903.133
408.316,100.200,19283.215,28903.133
409.334,100.200,19283.215,28903.133
410.353,99.200,19283.238,28903.133
411.371,100.200,19283.238,28903.133
412.389,100.200,19283.238,28903.133
413.408,100.200,19283.238,28903.133
414.426,100.200,19283.238,28903.133
415.444,100.200,19283.238,28903.133
416.462,100.200,19283.238,28903.133
417.481,100.200,19283.238,28903.133
418.499,100.200,19283.238,28903.133
419.517,100.200,19283.238,28903.133
420.536,99.200,19283.238,28903.133
421.554,100.200,19283.238,28903.133
422.572,100.200,19283.238,28903.133
423.590,100.200,19283.238,28903.133
424.608,100.300,19283.238,28903.133
425.625,100.300,19283.238,28903.133
426.643,100.200,19283.238,28903.133
427.661,100.300,19283.238,28903.133
428.679,100.200,19283.238,28903.133
429.697,99.200,19283.238,28903.133
430.716,101.100,19283.238,28903.133
431.734,100.200,19283.238,28903.133
432.753,100.100,19283.238,28903.133
433.771,100.200,19283.238,28903.133
434.789,100.200,19283.238,28903.133
435.808,100.200,19283.238,28903.133
436.826,100.200,19283.238,28903.133
437.844,100.200,19283.238,28903.133
438.862,100.200,19283.238,28903.133
439.881,100.200,19283.246,28903.133
440.899,99.200,19283.246,28903.133
441.917,100.200,19283.246,28903.133
442.936,100.200,19283.246,28903.133
443.954,100.200,19283.246,28903.133
444.972,100.100,19283.246,28903.133
445.991,100.200,19283.246,28903.133
447.009,100.200,19283.246,28903.133
448.027,100.200,19283.246,28903.133
449.045,100.200,19283.246,28903.133
450.063,100.200,19283.246,28903.133
451.082,100.200,19283.246,28903.133
452.100,100.200,19283.246,28903.133
453.118,99.200,19283.246,28903.133
454.136,100.200,19283.246,28903.133
455.155,100.200,19283.246,28903.133
456.173,100.200,19283.246,28903.133
457.191,100.200,19283.246,28903.133
458.209,100.200,19283.246,28903.133
459.228,100.200,19283.246,28903.133
460.246,100.200,19283.246,28903.133
461.264,100.200,19283.246,28903.133
462.283,100.200,19283.246,28903.133
463.301,100.200,19283.246,28903.133
464.319,99.200,19283.246,28903.133
465.338,100.200,19283.246,28903.133
466.356,100.200,19283.246,28903.133
467.374,100.200,19283.246,28903.133
468.392,100.200,19283.246,28903.133
469.411,100.200,19283.246,28903.133
470.429,100.200,19283.246,28903.133
471.447,99.200,19348.770,28968.828
472.465,100.200,19348.770,28968.828
473.484,100.200,19348.770,28968.828
474.502,100.200,19348.770,28968.828
475.520,100.200,19348.770,28968.828
476.538,100.200,19348.770,28968.828
477.557,100.200,19348.770,28968.828
478.575,100.200,19348.770,28968.828
479.593,100.200,19348.770,28968.828
480.611,100.200,19348.770,28968.828
481.629,99.200,19348.770,28968.828
482.648,100.200,19348.770,28968.828
483.666,100.200,19348.770,28968.828
484.684,100.200,19348.770,28968.828
485.702,100.200,19348.770,28968.828
486.721,100.200,19348.770,28968.828
487.739,100.200,19348.770,28968.828
488.757,100.200,19348.770,28968.828
489.775,100.200,19348.770,28968.828
490.794,100.200,19348.941,28968.828
491.812,100.200,19348.941,28968.828
492.831,100.100,19348.941,28968.828
493.849,99.200,19348.941,28968.828
494.868,100.200,19348.941,28968.828
495.886,100.200,19348.941,28968.828
496.904,101.200,19348.941,28968.828
497.922,99.200,19348.941,28968.828
498.941,100.200,19348.941,28968.828
499.959,101.100,19348.941,28968.828
500.977,99.200,19348.941,28968.828
501.995,100.200,19348.941,28968.828
503.014,100.200,19348.941,28968.828
504.032,99.200,19348.941,28968.828
505.050,101.200,19348.941,28968.828
506.069,100.200,19348.941,28968.828
507.087,100.200,19348.941,28968.828
508.105,99.200,19348.941,28968.828
509.123,101.200,19348.941,28968.828
510.142,99.200,19348.941,28968.828
511.160,100.200,19348.941,28968.828
512.178,100.100,19348.941,28968.828
513.197,100.200,19348.941,28968.828
514.215,100.200,19348.941,28968.828
515.233,99.200,19348.941,28968.828
516.252,101.100,19348.941,28968.828
517.270,100.200,19348.941,28968.828
518.288,100.200,19348.941,28968.828
519.306,99.200,19348.941,28968.828
520.325,100.200,19348.941,28968.828
521.343,100.200,19348.941,28968.828
522.361,100.200,19348.941,28968.828
523.380,100.200,19348.941,28968.828
524.398,100.200,19348.941,28968.828
525.416,100.200,19348.941,28968.828
526.434,100.200,19348.941,28968.828
527.453,100.200,19348.941,28968.828
528.471,100.200,19348.941,28968.828
529.489,100.200,19348.941,28968.828
530.507,100.200,19348.941,28968.828
531.526,100.200,19348.941,28968.828
532.544,99.200,19348.941,28968.828
533.562,100.200,19348.941,28968.828
534.581,101.100,19348.941,28968.828
535.599,99.200,19348.941,28968.828
536.617,100.200,19348.941,28968.828
537.636,100.200,19348.941,28968.828
538.654,99.200,19348.941,28968.828
539.672,101.200,19348.941,28968.828
540.691,100.200,19348.941,28968.828
541.709,100.200,19348.941,28968.828
542.727,99.200,19348.941,28968.828
543.745,101.200,19348.941,28968.828
544.764,100.200,19348.941,28968.828
545.782,99.200,19348.941,28968.828
546.800,100.200,19348.941,28968.828
547.818,100.200,19348.941,28968.828
548.837,100.200,19348.941,28968.828
549.855,100.200,19348.941,28968.828
550.873,100.200,19348.941,28968.828
551.891,100.100,19348.941,28968.828
552.910,100.100,19348.941,28968.828
553.928,100.200,19348.941,28968.828
554.947,99.200,19348.941,28968.828
555.965,101.200,19348.941,28968.828
556.983,99.200,19348.941,28968.828
558.001,100.200,19348.941,28968.828
559.020,100.200,19348.941,28968.828
560.038,100.200,19348.941,28968.828
561.056,100.200,19348.941,28968.828
562.074,100.200,19348.941,28968.828
563.093,100.200,19348.941,28968.828
564.111,99.200,19348.941,28968.828
565.129,100.200,19348.941,28968.828
566.147,100.200,19348.941,28968.828
567.166,101.200,19348.941,28968.828
568.184,99.200,19348.941,28968.828
569.202,101.100,19348.941,28968.828
570.221,99.200,19348.941,28968.828
571.239,100.200,19348.941,28968.828
572.257,100.200,19348.941,28968.828
573.275,100.200,19348.941,28968.828
574.294,100.200,19348.941,28968.828
575.312,100.200,19348.941,28968.828
576.330,100.200,19348.941,28968.828
577.348,99.200,19348.945,28968.828
578.367,100.200,19348.945,28968.828
