Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,28.801,8542.176
1.011,98.000,121.871,8623.590
2.029,99.100,210.711,8713.035
3.047,96.200,247.273,8749.891
4.066,97.200,355.824,8859.500
5.084,99.200,405.098,8915.727
6.103,100.200,444.695,8955.484
7.121,100.200,502.105,9012.734
8.139,94.300,651.219,9163.168
9.158,96.200,685.645,9199.664
10.176,92.300,688.949,9203.645
11.194,97.200,710.992,9226.430
12.211,93.500,714.180,9235.270
13.229,79.500,742.566,9266.992
14.248,76.600,745.492,9270.691
15.265,75.700,811.434,9338.750
16.283,76.600,813.082,9340.480
17.302,88.400,817.070,9346.473
18.320,96.300,817.117,9346.547
19.337,77.600,887.164,9428.078
20.356,79.500,964.941,9511.469
21.374,80.500,971.113,9518.566
22.392,77.600,971.344,9520.023
23.410,96.200,971.570,9520.023
24.429,71.700,972.125,9559.082
25.447,71.700,1002.184,9589.582
26.465,90.300,1050.332,9640.383
27.484,82.400,1052.535,9641.008
28.503,100.100,1085.105,9806.109
29.522,86.400,1217.613,9805.648
30.540,84.400,1304.117,9893.129
31.559,100.100,1304.133,9893.129
32.577,99.200,1389.840,9980.105
33.596,99.100,1389.840,9980.105
34.615,99.200,1390.020,9980.105
35.633,98.200,1390.020,9980.105
36.647,99.600,1390.020,9980.105
37.668,99.000,1390.020,9980.105
38.687,100.100,1494.992,10086.410
39.705,98.200,1494.992,10086.410
40.724,99.100,1494.992,10086.410
41.742,99.200,1494.992,10086.410
42.761,100.100,1494.992,10086.410
43.780,98.200,1494.992,10086.410
44.798,99.100,1494.992,10086.410
45.817,100.100,1494.992,10086.410
46.836,99.200,1494.992,10086.410
47.854,99.100,1494.992,10086.410
48.873,99.200,1494.992,10086.410
49.892,99.100,1518.633,13947.527
50.911,100.100,1612.945,13947.527
51.930,100.100,1749.004,13947.527
52.948,100.100,1751.914,14042.527
53.967,99.100,1757.070,14208.527
54.986,101.100,1763.441,14409.527
56.004,99.200,1770.797,14649.527
57.023,101.100,1790.645,15283.527
58.041,100.100,1803.535,15698.527
59.060,99.100,1819.309,16197.527
60.079,101.100,1837.867,16794.527
61.098,100.100,1860.293,17512.527
62.116,100.100,1887.324,18373.527
63.135,99.100,1919.375,19406.527
64.154,100.100,1958.297,20646.527
65.173,1437.100,10814.832,30000.270
66.190,831.700,7098.418,18453.910
67.204,99.600,7806.102,19182.910
68.222,101.100,8602.703,20004.910
69.241,100.100,9580.785,21014.910
70.260,99.200,10866.547,22341.910
71.278,100.200,11710.883,23213.910
72.291,100.600,12755.555,24291.914
73.309,80.600,12785.500,24308.543
74.328,100.200,12924.969,24463.543
75.346,99.200,12979.891,24470.043
76.365,100.200,14033.973,30089.023
77.383,100.100,15787.973,30089.023
78.401,100.200,17721.973,30089.023
79.420,100.100,18752.246,35708.008
80.438,100.100,20074.246,35708.008
81.457,99.200,21406.246,35708.008
82.475,99.200,22714.246,35708.008
83.493,101.100,23958.246,35708.008
84.512,99.200,24260.371,35708.008
85.530,119.800,25031.297,36459.160
86.549,99.200,25016.680,36444.293
87.567,99.200,25141.945,36569.672
88.586,100.100,24918.336,36844.344
89.604,100.100,25834.297,37347.445
90.623,99.100,26635.547,38099.430
91.642,101.100,27568.176,38996.090
92.660,100.100,28319.859,39747.609
93.679,99.200,25385.504,36843.043
94.697,101.100,26354.074,37781.699
95.716,100.200,26497.207,37909.840
96.734,99.100,26639.457,38069.078
97.753,100.200,25089.727,36408.695
98.771,100.200,25089.727,36408.695
99.790,100.200,25089.727,36408.695
100.808,100.200,25096.535,36408.695
101.826,100.200,25096.996,36408.695
102.845,99.200,25158.410,40113.945
103.863,101.100,25886.473,40113.945
104.882,99.200,26544.473,40113.945
105.900,101.100,27428.473,40113.945
106.919,99.200,28702.473,40113.945
107.938,100.100,29985.773,43819.289
108.957,101.100,31453.773,43819.289
109.976,99.100,32518.605,43819.289
110.995,100.100,32528.109,43819.289
112.013,100.100,33029.648,47524.539
113.032,100.100,34675.648,47524.539
114.051,100.100,36233.359,47524.539
115.070,120.800,36567.223,47857.254
116.089,100.100,36792.719,48069.488
117.107,100.100,37437.758,48818.836
118.126,100.100,37887.914,49208.355
119.145,99.200,38398.160,49717.082
120.163,100.100,39031.223,50308.359
121.182,101.100,39501.492,50780.012
122.203,99.800,40114.000,51441.031
123.222,100.100,40649.957,52069.578
124.241,99.100,36897.840,48172.641
125.259,100.200,36897.914,48172.641
126.278,100.200,36899.801,48172.641
127.296,100.200,36899.801,48172.641
128.314,100.200,36899.820,48172.641
129.333,100.100,37205.254,51877.891
130.351,100.100,39495.254,51877.891
131.370,100.100,40605.344,51877.891
132.389,99.200,41241.254,55583.141
133.408,100.100,42177.254,55583.141
134.426,100.100,43113.254,55583.141
135.445,100.100,44047.254,55583.141
136.464,99.100,44315.191,59288.391
137.485,101.800,45317.254,59288.391
138.504,99.200,46321.254,59288.391
139.522,100.100,47321.254,59288.391
140.541,100.100,44510.504,59288.391
141.560,100.100,45280.504,59288.391
142.577,100.200,46054.504,59288.391
143.596,100.100,46842.504,59288.391
144.615,100.100,47658.504,59288.391
145.634,99.200,48015.672,59288.391
146.652,100.100,44342.457,55614.527
147.671,98.200,45571.613,56843.652
148.690,101.100,46760.555,58032.484
149.708,98.200,46937.762,58267.965
150.727,101.100,47783.234,59048.031
151.746,100.100,48058.770,59323.184
152.763,98.300,37614.391,48881.984
153.782,100.100,38497.562,49761.230
154.800,99.200,38545.238,49761.230
155.819,101.100,38601.477,49761.230
156.837,99.200,37071.785,48204.027
157.856,100.100,37071.785,48204.027
158.875,100.100,37071.785,48204.027
159.893,99.200,37077.867,48204.027
160.912,100.100,38512.984,49632.434
161.930,100.100,39510.320,50624.680
162.949,99.100,39881.602,50995.430
163.968,100.100,39882.309,50995.430
164.989,98.900,39893.250,50996.016
166.008,99.100,38725.805,49818.066
167.027,99.200,38725.980,49818.066
168.045,100.100,38729.629,49818.066
169.064,100.100,40090.844,51219.746
170.083,99.100,39696.562,50773.773
171.101,100.100,39696.816,50773.773
172.120,100.100,40081.152,51158.016
173.139,100.100,39941.113,51017.977
174.157,100.100,40554.637,51631.504
175.176,99.200,40554.645,51631.504
176.195,100.100,40244.840,51351.598
177.213,100.100,40275.754,51351.598
178.232,99.200,40275.754,51351.598
179.252,100.000,40289.336,51351.598
180.270,99.200,40504.398,51560.816
181.289,100.100,40345.801,51402.215
182.306,100.200,40345.801,51402.215
183.325,99.200,40364.617,51402.215
184.344,100.100,40497.797,51531.855
185.362,99.200,40498.023,51531.855
186.381,100.100,40498.277,51531.855
187.399,101.100,42380.848,55237.105
188.418,100.100,44218.324,55237.105
189.437,80.500,44267.242,55270.957
190.455,99.200,40581.699,51565.707
191.477,100.800,40582.484,51565.707
192.495,99.200,40582.488,51565.707
193.514,100.100,40582.496,51565.707
194.533,100.100,40582.496,51565.707
195.551,100.100,40582.496,51565.707
196.570,100.100,40582.496,51565.707
197.588,100.100,40582.496,51565.707
198.607,100.100,40582.496,51565.707
199.626,100.100,40582.496,51565.707
200.644,100.200,40582.496,51565.707
201.662,100.100,40582.496,51565.707
202.681,100.100,40582.496,51565.707
203.699,100.100,40582.496,51565.707
204.718,99.200,40582.496,51565.707
205.737,101.100,40582.496,51565.707
206.755,99.200,40582.496,51565.707
207.774,99.200,40582.496,51565.707
208.792,101.100,40582.496,51565.707
209.811,100.100,40582.496,51565.707
210.830,99.100,40582.496,51565.707
211.848,101.100,40582.496,51565.707
212.867,99.100,40582.516,51565.707
213.886,100.100,40582.516,51565.707
214.904,100.100,40582.516,51565.707
215.923,100.100,40582.516,51565.707
216.941,100.100,37255.301,48238.492
217.960,100.100,37255.301,48238.492
218.979,100.100,37255.301,48238.492
219.997,99.200,37255.301,48238.492
221.016,100.100,37255.301,48238.492
222.034,100.100,37255.301,48238.492
223.053,101.100,37255.301,48238.492
224.072,100.100,37255.301,48238.492
225.090,100.100,37255.301,48238.492
226.109,100.100,37255.301,48238.492
227.128,99.100,37255.301,48238.492
228.146,100.100,37255.301,48238.492
229.165,100.100,37255.301,48238.492
230.183,100.100,37255.301,48238.492
231.200,100.300,37255.301,48238.492
232.219,100.100,37255.301,48238.492
233.237,100.100,37255.301,48238.492
234.256,99.200,37255.730,48238.492
235.274,100.100,37255.730,48238.492
236.293,100.200,37255.809,48238.492
237.311,101.200,37255.809,48238.492
238.329,100.100,37255.809,48238.492
239.348,100.100,37255.809,48238.492
240.367,100.100,37255.809,48238.492
241.385,99.200,37255.809,48238.492
242.404,100.100,37258.449,48238.492
243.422,101.100,37258.453,48238.492
244.440,99.300,37260.469,48238.492
245.456,100.300,37260.469,48238.492
246.477,99.900,37262.609,48238.492
247.496,100.100,37262.625,48238.492
248.514,100.100,37264.547,48238.492
249.533,100.100,37264.555,48238.492
250.551,100.100,37268.773,48238.492
251.570,99.200,37268.797,48238.492
252.588,101.100,37269.930,48238.492
253.608,100.100,37269.930,48238.492
254.626,100.100,37271.797,48238.492
255.645,100.100,37271.805,48238.492
256.662,100.200,37275.152,48238.492
257.681,99.200,37275.152,48238.492
258.699,100.100,37275.188,48238.492
259.718,100.100,37275.191,48238.492
260.737,100.100,37275.195,48238.492
261.755,100.100,37275.195,48238.492
262.774,101.100,37275.195,48238.492
263.792,99.200,37275.195,48238.492
264.810,100.200,37275.199,48238.492
265.828,100.100,37275.199,48238.492
266.847,100.100,37275.199,48238.492
267.866,100.100,37275.203,48238.492
268.884,100.100,37275.363,48238.492
269.903,100.100,37275.363,48238.492
270.922,100.100,37275.363,48238.492
271.940,100.100,37275.363,48238.492
272.959,100.100,37275.363,48238.492
273.978,100.100,37275.363,48238.492
274.996,100.100,37275.363,48238.492
276.015,100.100,37275.363,48238.492
277.034,100.100,37275.363,48238.492
278.052,100.100,37275.363,48238.492
279.071,99.200,37275.363,48238.492
280.090,100.100,37275.363,48238.492
281.108,100.100,37275.363,48238.492
282.127,100.100,37275.363,48238.492
283.145,100.100,37275.363,48238.492
284.164,100.100,37275.363,48238.492
285.183,100.100,37275.363,48238.492
286.200,100.200,37275.363,48238.492
287.219,100.100,37275.363,48238.492
288.238,100.100,37275.363,48238.492
289.256,100.100,37275.363,48238.492
290.275,100.200,37275.363,48238.492
291.294,100.100,37275.363,48238.492
292.312,100.100,37275.363,48238.492
293.331,100.100,37275.363,48238.492
294.349,100.100,37275.363,48238.492
295.371,99.800,37275.363,48238.492
296.390,100.100,37275.363,48238.492
297.409,100.100,37275.363,48238.492
298.427,100.100,37275.363,48238.492
299.446,100.100,37275.363,48238.492
300.465,100.100,37277.488,48238.492
301.483,100.100,37277.504,48238.492
302.502,100.100,37277.504,48238.492
303.520,100.100,37277.504,48238.492
304.539,100.100,37277.504,48238.492
305.557,99.100,37277.504,48238.492
306.577,101.100,37277.504,48238.492
