Elapsed_time,CPU,Real_MB,Virtual_MB
0.016,0.000,31.691,8543.691
1.031,121.200,121.875,8623.598
2.050,98.200,210.719,8713.043
3.069,97.100,247.289,8749.898
4.088,97.200,376.348,8880.508
5.106,99.200,410.367,8921.492
6.125,100.100,468.414,8979.180
7.144,100.100,502.008,9012.742
8.163,94.200,671.195,9184.043
9.182,96.200,685.457,9199.672
10.201,93.200,687.320,9201.652
11.220,99.100,710.578,9225.855
12.239,95.200,711.785,9232.062
13.258,84.400,715.094,9238.449
14.277,74.600,745.109,9270.277
15.296,76.600,809.219,9336.031
16.315,76.600,812.973,9341.262
17.331,84.600,817.215,9346.754
18.347,96.400,817.484,9347.145
19.365,76.600,919.137,9457.859
20.384,78.500,966.672,9512.270
21.403,79.500,972.613,9518.848
22.422,77.500,973.262,9520.305
23.439,92.400,973.859,9559.801
24.458,70.700,994.398,9580.301
25.476,80.500,1028.910,9617.910
26.495,97.200,1052.141,9639.227
27.514,99.100,1122.832,9804.328
28.533,78.500,1229.293,9824.074
29.552,92.200,1303.625,9891.848
30.571,100.100,1303.625,9891.848
31.590,99.100,1389.527,9978.824
32.609,99.100,1389.527,9978.824
33.628,99.100,1389.527,9978.824
34.647,100.100,1389.527,9978.824
35.666,99.100,1389.527,9978.824
36.685,99.100,1494.359,10085.129
37.704,99.100,1494.500,10085.129
38.721,97.300,1494.500,10085.129
39.740,100.100,1543.098,12483.520
40.759,100.100,1684.270,12483.520
41.778,99.100,1687.887,12580.520
42.797,101.100,1694.848,12760.520
43.816,100.100,1703.559,12977.520
44.835,99.100,1713.621,13237.520
45.853,101.100,1725.738,13549.520
46.873,99.100,1757.191,14355.520
47.892,100.100,1779.105,14911.520
48.910,101.100,1804.371,15558.520
49.929,100.100,1834.586,16334.520
50.948,99.100,1870.938,17265.520
51.967,570.300,4696.816,22946.273
52.987,1049.500,5578.961,15757.629
54.006,100.100,6489.914,16668.629
55.025,100.100,6805.473,16983.629
56.044,100.100,7719.785,17898.629
57.063,100.100,8861.832,19040.629
58.082,100.100,9196.215,19374.629
59.101,94.200,9809.164,20419.094
60.120,99.100,9963.172,20419.094
61.138,100.100,10119.172,20419.094
62.156,99.200,10325.086,20877.059
63.175,101.100,10697.172,20877.059
64.193,99.200,10705.457,20882.188
65.212,100.100,10996.398,21798.113
66.231,99.100,11322.398,21798.113
67.250,100.100,11620.891,21797.613
68.269,101.100,12993.281,23171.965
69.288,100.100,12993.797,23171.965
70.306,99.100,12994.055,23171.965
71.325,100.100,12994.570,23171.965
72.344,100.100,12995.086,23171.965
73.363,100.100,14367.980,24545.855
74.382,100.100,14368.496,24545.855
75.400,100.100,14368.754,24545.855
76.419,100.100,14369.012,24545.855
77.438,90.300,13752.422,23929.078
78.459,94.100,12381.773,22554.688
79.477,100.100,13967.719,26691.883
80.496,99.100,16518.891,26691.883
81.515,99.100,16520.227,26691.887
82.534,100.100,17181.109,30829.082
83.553,101.100,18611.109,30829.082
84.572,99.100,20033.109,30829.082
85.591,113.800,20673.344,30843.984
86.610,100.100,21567.422,31746.242
87.629,100.100,22600.062,32886.793
88.648,100.100,23337.441,33534.398
89.667,100.100,21365.820,31551.027
90.686,100.100,22281.750,32603.590
91.705,100.100,23211.570,33403.594
92.723,99.200,21406.672,31569.004
93.742,101.100,21456.461,31569.004
94.761,99.100,21463.812,31569.004
95.780,100.100,21250.141,31355.332
96.798,100.100,21250.395,31355.332
97.817,101.100,21258.172,31355.332
98.836,99.100,22267.445,33767.926
99.855,99.100,23985.617,36180.613
100.874,101.100,25875.617,36180.613
101.893,100.100,26085.566,36180.613
102.912,100.100,26879.340,38593.207
103.931,115.700,28498.156,38593.207
104.949,100.200,29221.246,39363.711
105.968,100.100,29737.688,39832.035
106.988,100.100,30612.430,40749.457
108.007,101.100,31398.988,41492.188
109.026,99.100,31546.270,41644.859
110.045,99.100,29158.984,39241.324
111.063,100.100,29159.406,39241.324
112.083,100.100,29224.637,41653.918
113.102,101.100,31100.637,41653.918
