Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,133.848,12730.039
1.030,98.100,225.871,12822.105
2.060,97.100,248.926,12845.895
3.090,99.000,357.480,12955.504
4.119,99.100,404.648,13009.508
5.149,100.100,412.375,13017.488
6.179,99.000,497.848,13104.770
7.208,98.100,518.754,13124.148
8.237,95.200,683.750,13291.039
9.266,97.200,687.941,13296.668
10.295,93.300,689.051,13297.609
11.323,98.200,711.312,13320.746
12.352,95.200,712.543,13326.953
13.380,90.500,715.430,13332.676
14.409,83.600,746.578,13365.180
15.437,76.800,746.941,13365.965
16.467,78.700,811.574,13432.926
17.496,81.600,814.691,13436.656
18.525,85.500,816.258,13440.148
19.553,98.200,818.910,13443.148
20.583,88.400,830.570,13462.934
21.612,81.600,961.516,13600.250
22.641,80.700,968.887,13608.238
23.668,84.700,974.531,13615.242
24.697,77.700,974.762,13616.699
25.726,95.200,975.789,13616.699
26.756,80.600,978.008,13655.758
27.785,76.700,987.078,13664.758
28.814,78.700,1016.980,13694.797
29.844,97.100,1055.742,13735.047
30.872,82.700,1056.586,13735.547
31.902,100.100,1056.082,13735.043
32.931,99.100,1221.188,13900.148
33.959,90.400,1308.047,13987.547
34.988,99.100,1308.086,13987.672
36.017,100.100,1308.086,13987.672
37.046,100.100,1324.004,14007.000
38.075,99.100,1393.973,14074.648
39.104,99.200,1393.973,14074.648
40.133,100.100,1393.973,14074.648
41.162,100.200,1393.973,14074.648
42.191,98.100,1393.973,14074.648
43.219,100.100,1478.809,15082.523
44.249,100.100,1481.871,15157.523
45.278,100.100,1481.871,15157.523
46.308,100.000,1488.059,15300.523
47.337,100.100,1495.535,15472.523
48.366,632.500,1926.289,15356.148
49.395,100.100,1943.043,15373.148
50.424,99.100,2186.926,15628.148
51.453,101.000,2479.285,15934.148
52.483,99.100,2526.930,15984.148
53.513,100.000,2812.254,16280.648
54.541,100.100,2831.285,16300.648
55.571,99.100,2845.520,16300.648
56.600,101.100,2865.371,16300.648
57.629,100.100,2885.324,16319.648
58.658,100.100,2907.238,16342.648
59.688,100.000,3199.340,16647.648
60.717,99.100,3306.930,16759.648
61.746,100.100,3437.996,16896.648
62.775,99.100,3728.293,17200.648
63.803,100.100,3812.340,17288.648
64.833,100.100,3963.160,17445.648
65.861,100.100,4250.363,17745.648
66.890,100.100,4419.230,17922.648
67.920,100.100,4485.230,17991.648
68.949,100.000,4774.496,18293.648
69.978,100.100,5064.789,18596.648
71.007,100.100,5147.395,18682.648
72.036,100.100,5298.105,18840.648
73.065,100.100,5588.402,19143.648
74.094,100.100,5878.699,19447.648
75.123,99.200,6021.012,19595.648
76.152,100.100,6109.441,19688.648
77.180,100.100,6399.223,19991.648
78.209,100.100,6689.004,20293.648
79.238,100.100,6978.785,20596.648
80.267,99.100,7069.500,20691.648
81.296,100.100,7205.488,20833.648
82.325,100.100,7493.980,21135.648
83.354,100.100,7781.957,21435.648
84.382,100.100,8073.027,21739.648
85.411,99.100,8327.488,22005.648
86.441,100.100,8327.488,22005.648
87.470,101.000,8589.906,22280.648
88.499,99.200,8879.152,22582.648
89.529,100.000,9395.715,23411.445
90.558,99.100,9732.496,23419.578
91.587,101.100,9732.496,23419.578
92.617,99.100,10411.078,24097.875
93.646,102.000,10960.059,24651.672
94.675,101.100,11527.156,25190.391
95.704,99.100,11950.188,25429.105
96.733,100.100,11146.277,24568.816
97.762,100.100,11173.156,24568.816
98.791,100.100,11175.605,24568.816
99.821,100.100,11175.605,24568.816
100.849,99.200,12287.930,25924.207
101.877,100.200,13208.871,26601.855
102.906,103.000,13802.957,27232.742
103.935,99.100,14079.402,27463.688
104.964,101.100,13555.793,26944.414
105.993,99.100,13561.902,26944.414
107.022,100.100,13561.902,26944.414
108.051,100.100,13561.902,26944.414
109.080,100.100,14239.551,27622.062
110.108,99.200,14767.004,28299.711
111.138,100.100,15255.004,28977.359
112.167,100.100,15945.004,29655.008
113.196,99.100,16398.902,29781.480
114.225,100.100,14918.715,28299.711
115.255,99.000,15299.059,28679.699
116.284,101.100,15335.953,28720.352
117.313,99.100,14279.641,27662.715
118.342,100.100,14280.410,27662.715
119.372,100.000,14282.246,27662.715
120.401,100.100,14426.168,27821.172
121.429,97.200,14497.660,27890.406
122.459,101.100,14502.121,27890.406
123.487,99.100,14506.414,27890.992
124.516,4484.000,14519.305,28175.297
125.545,100.100,14652.613,28306.621
126.573,100.100,14652.613,28306.621
127.602,99.200,14652.711,28306.621
128.630,2953.200,14652.711,28306.621
129.659,100.100,14550.699,28204.609
130.687,100.100,14550.699,28204.723
131.716,1638.000,14550.723,28204.723
132.745,99.200,14626.867,28280.855
133.773,100.200,14626.867,28280.855
134.802,99.100,14626.867,28280.855
135.831,2737.200,14627.219,28280.855
