Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,36.852,12704.812
1.020,97.100,111.523,12708.594
2.050,99.000,150.727,12748.039
3.080,96.100,237.781,12835.867
4.110,98.100,297.480,12896.668
5.140,99.000,388.375,12987.703
6.170,100.000,412.641,13017.488
7.200,100.000,491.016,13097.652
8.230,99.000,504.012,13108.738
9.261,96.100,645.391,13251.172
10.292,92.100,687.027,13294.668
11.322,99.000,689.113,13297.125
12.352,93.200,697.719,13306.934
13.382,96.200,712.594,13326.918
14.411,96.200,714.867,13330.430
15.440,84.500,716.559,13335.230
16.470,76.700,747.098,13366.172
17.500,82.500,809.008,13429.891
18.529,78.800,814.645,13435.379
19.558,81.600,814.969,13437.184
20.588,91.300,819.172,13443.148
21.618,96.100,819.305,13443.539
22.647,81.600,883.938,13518.754
23.677,83.500,965.391,13606.125
24.707,80.600,972.293,13613.789
25.735,81.700,973.191,13615.242
26.763,84.600,974.148,13616.699
27.793,93.200,976.461,13655.695
28.822,72.800,976.668,13656.258
29.852,76.700,1005.980,13685.258
30.881,89.400,1039.281,13720.266
31.911,82.600,1054.340,13735.047
32.941,100.000,1055.113,13735.547
33.971,99.900,1145.965,13900.648
35.001,85.500,1232.270,13919.898
36.030,100.000,1297.195,13978.008
37.060,99.100,1306.738,13987.672
38.089,100.000,1306.738,13987.672
39.118,100.100,1392.695,14074.648
40.148,99.100,1392.867,14074.648
41.179,98.900,1392.867,14074.648
42.208,99.100,1392.867,14074.648
43.238,100.000,1392.867,14074.648
44.268,99.100,1392.867,14074.648
45.297,100.000,1392.867,14074.648
46.327,99.100,1392.867,14074.648
47.357,100.000,1392.867,14074.648
48.388,99.000,1392.867,14074.648
49.417,100.100,1478.758,14161.625
50.446,99.100,1497.832,14180.953
51.476,99.100,1497.832,14180.953
52.505,99.100,1497.832,14180.953
53.534,100.100,1498.062,14180.953
54.563,99.000,1498.062,14180.953
55.593,100.100,1498.062,14180.953
56.622,99.100,1498.062,14180.953
57.652,99.100,1498.062,14180.953
58.682,99.000,1498.062,14180.953
59.711,100.100,1498.062,14180.953
60.741,99.100,1498.062,14180.953
61.770,99.100,1498.062,14180.953
62.799,99.100,1498.062,14180.953
63.829,100.000,1498.062,14180.953
64.858,99.100,1498.062,14180.953
65.888,99.000,1498.062,14180.953
66.918,100.000,1498.062,14180.953
67.948,98.100,1498.062,14180.953
68.978,100.000,1498.062,14180.953
70.008,100.000,1498.062,14180.953
71.038,99.100,1498.062,14180.953
72.068,99.000,1498.062,14180.953
73.098,100.000,1498.062,14180.953
74.127,99.100,1498.062,14180.953
75.157,99.000,1498.062,14180.953
76.186,99.100,1498.062,14180.953
77.215,100.000,1498.062,14180.953
78.246,99.000,1498.062,14180.953
79.276,100.000,1498.062,14180.953
80.305,98.100,1498.062,14180.953
81.335,100.000,1498.062,14180.953
82.364,99.100,1498.062,14180.953
83.394,100.000,1498.062,14180.953
84.425,99.000,1498.062,14180.953
85.455,99.000,1498.062,14180.953
86.485,99.000,1498.062,14180.953
87.516,98.900,1498.062,14180.953
88.545,99.200,1498.062,14180.953
89.575,100.000,1498.062,14180.953
90.604,98.100,1498.062,14180.953
91.635,99.000,1498.062,14180.953
92.665,99.000,1498.062,14180.953
93.695,99.000,1498.062,14180.953
94.725,94.100,1498.062,14180.953
95.755,99.100,1498.062,14180.953
96.784,100.000,1498.062,14180.953
97.814,99.000,1498.062,14180.953
98.844,99.000,1498.062,14180.953
99.874,97.100,1498.062,14180.953
100.904,100.000,1498.062,14180.953
101.935,99.000,1498.062,14180.953
102.964,99.100,1498.062,14180.953
103.994,100.000,1498.062,14180.953
105.024,99.100,1498.062,14180.953
106.054,96.200,1498.062,14180.953
107.083,100.100,1498.062,14180.953
108.112,99.100,1498.062,14180.953
109.142,99.000,1498.062,14180.953
110.172,99.100,1498.062,14180.953
111.202,100.000,1498.062,14180.953
112.232,100.000,1498.062,14180.953
113.262,98.000,1498.062,14180.953
114.292,100.000,1498.062,14180.953
115.321,97.100,1498.062,14180.953
116.351,99.100,1583.938,24779.137
117.380,100.100,1583.938,24779.137
118.410,100.000,1673.109,24779.137
119.440,100.000,2027.602,24779.137
120.469,100.100,2384.414,24779.137
121.499,100.000,2391.859,24779.137
122.528,100.100,2395.664,24870.137
123.557,100.000,2402.883,25037.137
124.588,100.000,2411.500,25237.137
125.617,100.000,2421.812,25477.137
126.647,99.100,2421.812,25477.137
127.677,101.000,2434.188,25766.137
128.707,100.000,2448.883,26112.137
129.737,100.000,2466.930,26527.137
130.767,99.000,2488.328,27025.137
131.797,101.000,2513.852,27623.137
132.827,100.000,2544.789,28341.137
133.856,100.000,2544.906,28341.137
134.886,100.000,2581.711,29202.137
135.916,100.000,2626.055,30235.137
136.946,100.000,2679.422,31475.137
137.976,278.600,3289.367,41633.527
139.012,1200.100,8860.645,41633.527
140.045,1200.000,14711.461,41633.527
141.075,1157.600,20093.293,41633.527
142.105,1192.300,24768.680,40951.828
143.136,260.000,8662.699,22856.453
144.166,100.000,8662.699,22856.453
145.196,99.100,8872.508,23075.453
146.226,101.000,9337.652,23561.453
147.256,100.000,10643.215,24925.453
148.286,100.000,10643.215,24925.453
149.316,100.000,11704.887,26034.453
150.346,99.000,12769.137,27146.453
151.377,100.900,12769.137,27146.453
152.408,100.000,14070.059,28506.453
153.438,100.000,15320.707,29812.453
154.468,100.000,15320.707,29812.453
155.498,100.000,15817.184,30327.711
156.527,99.200,16066.508,30585.211
157.556,100.000,16360.930,30893.211
158.586,100.000,16653.805,31199.211
159.615,100.000,16945.648,31504.211
160.645,100.000,17234.398,31805.211
161.675,100.000,17523.406,32107.211
162.704,99.100,17808.289,32405.211
163.734,101.000,18093.945,32704.211
164.764,100.000,18379.086,33002.211
165.793,99.100,18388.293,33011.211
166.823,100.000,18401.105,33011.211
167.853,101.000,18424.496,33011.211
168.882,100.000,18452.855,33011.211
169.912,100.100,18479.926,33011.211
170.941,100.000,18506.996,33011.211
171.971,99.100,18534.066,33011.211
173.001,100.000,18561.137,33011.211
174.030,100.000,18588.207,33011.211
175.059,100.100,18615.020,33011.211
176.089,100.100,18642.090,33011.211
177.118,100.100,18668.645,33011.211
178.147,100.100,18695.715,33011.211
179.176,99.100,18722.785,33011.211
180.205,100.100,18749.855,33011.211
181.234,100.100,18776.926,33011.211
182.263,96.200,18798.164,33011.211
183.292,99.100,18809.066,33010.711
184.321,100.100,18896.734,33010.711
185.351,100.000,18922.887,40114.965
186.381,100.000,20290.887,40114.965
187.411,99.000,21678.887,40114.965
188.440,101.000,23046.887,40114.965
189.470,100.000,24398.887,40114.965
190.500,99.000,25752.887,40114.965
191.528,100.200,26006.199,40114.969
192.558,100.000,26006.199,40114.969
193.588,100.000,26934.055,47219.223
194.618,100.000,27996.055,47219.223
195.648,100.000,29060.055,47219.223
196.677,100.000,30126.055,47219.223
197.707,100.000,31188.055,47219.223
198.737,100.000,32254.055,47219.223
199.766,100.000,33110.562,47219.223
200.796,183.600,33314.809,49732.488
201.826,101.000,33959.238,50365.879
202.856,99.000,34509.469,50919.367
203.886,100.000,35202.535,51610.203
204.915,101.000,35961.863,52384.695
205.945,99.100,36590.281,53136.117
206.975,100.000,37280.684,53727.227
208.005,100.000,37989.500,54442.551
209.035,101.000,34321.270,50775.500
210.064,99.100,34992.039,51590.367
211.094,100.000,35951.387,52429.984
212.124,100.000,36557.047,53026.559
213.154,100.000,37188.898,53853.934
214.184,100.000,37982.922,54417.922
215.213,100.000,38694.051,55099.035
216.243,100.000,39340.168,55744.555
217.272,100.000,34166.891,50564.551
218.302,100.000,34477.086,50885.445
219.332,100.000,34683.805,51052.527
220.361,100.100,34801.109,51052.527
221.390,100.000,34801.109,51052.527
222.420,100.100,34831.062,51052.527
223.449,100.100,35030.996,51223.422
224.478,100.100,35038.930,51223.422
