Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,70.781,12661.305
1.024,91.800,127.773,12721.910
2.059,97.600,214.250,12809.039
3.089,83.500,250.141,12844.867
4.119,96.100,303.734,12899.668
5.148,99.100,390.887,12987.703
6.178,96.100,413.621,13017.488
7.208,100.000,488.582,13093.668
8.238,99.100,505.152,13108.738
9.268,88.300,587.844,13193.883
10.298,80.600,686.605,13293.109
11.329,87.300,690.039,13296.668
12.358,84.500,690.461,13297.605
13.388,93.200,712.672,13320.742
14.418,80.600,713.941,13326.949
15.448,77.700,716.129,13330.504
16.476,61.300,717.121,13333.000
17.505,74.800,747.992,13365.180
18.534,66.100,748.246,13365.672
19.564,63.100,774.043,13393.793
20.594,69.000,813.234,13433.426
21.623,66.000,815.918,13435.922
22.653,79.600,816.262,13436.684
23.683,85.400,820.156,13443.148
24.713,95.200,820.348,13443.223
25.743,72.800,850.586,13483.254
26.774,84.300,961.301,13600.957
27.804,71.900,968.234,13608.164
28.834,72.800,973.492,13615.105
29.862,76.900,974.176,13615.242
30.890,86.600,975.289,13616.699
31.919,86.400,975.637,13656.195
32.949,75.800,976.078,13656.258
33.978,75.800,1004.082,13684.758
35.007,88.400,1037.480,13720.266
36.037,67.000,1053.500,13735.047
37.066,64.100,1054.344,13735.547
38.096,100.000,1054.344,13735.547
39.125,81.600,1138.602,13900.648
40.155,60.200,1219.535,13900.652
41.184,65.100,1296.609,13977.883
42.213,99.100,1306.203,13987.672
43.243,100.000,1306.203,13987.672
44.272,100.000,1392.000,14074.648
45.302,99.100,1392.227,14074.648
46.331,99.000,1392.227,14074.648
47.361,100.000,1392.227,14074.648
48.390,99.100,1392.227,14074.648
49.420,99.100,1392.227,14074.648
50.449,100.000,1392.227,14074.648
51.479,100.100,1497.270,14180.953
52.508,98.100,1497.270,14180.953
53.538,100.000,1497.320,14180.953
54.569,100.000,1497.320,14180.953
55.598,99.100,1497.320,14180.953
56.629,98.900,1497.320,14180.953
57.658,99.100,1497.320,14180.953
58.688,99.100,1497.320,14180.953
59.717,100.100,1497.320,14180.953
60.746,99.100,1497.320,14180.953
61.773,99.400,1497.320,14180.953
62.800,98.300,1497.320,14180.953
63.828,99.200,1497.320,14180.953
64.858,99.100,1497.320,14180.953
65.889,99.000,1497.320,14180.953
66.918,101.000,1497.320,14180.953
67.949,98.000,1497.320,14180.953
68.979,100.000,1515.309,19466.492
70.009,99.000,1534.418,19466.492
71.038,101.000,1783.348,19466.492
72.068,99.100,1908.590,19466.492
73.097,101.000,1911.992,19564.492
74.128,100.000,1918.180,19739.492
75.157,100.000,1918.180,19739.492
76.188,100.000,1925.398,19950.492
77.218,99.000,1934.422,20202.492
78.247,100.000,1944.992,20505.492
79.278,100.900,1957.883,20869.492
80.308,100.000,1973.094,21305.492
81.338,99.000,1991.656,21829.492
82.367,100.000,1991.914,21837.492
83.397,101.000,2013.570,22457.492
84.427,100.000,2040.125,23211.492
85.457,100.000,2071.836,24116.492
86.488,99.000,2109.992,25201.492
87.518,100.900,2155.883,26504.492
88.548,100.100,2159.492,26608.492
89.578,100.000,2210.797,28067.492
90.608,100.000,2276.797,29943.492
91.636,687.300,5266.668,41666.016
92.666,1299.600,13036.410,41666.016
93.696,1227.400,18602.375,41666.016
94.726,970.700,12319.797,31121.492
95.756,75.800,9408.125,25837.453
96.783,100.200,10344.320,26769.453
97.813,100.000,11143.719,27568.453
98.843,100.000,11262.570,27688.453
99.873,100.900,12556.789,28982.453
100.903,99.000,13694.773,30120.453
101.933,100.000,13694.773,30120.453
102.963,100.000,14854.672,31280.453
103.993,100.000,16211.023,32636.453
105.023,100.000,16757.328,33182.453
106.053,101.000,17186.070,33611.453
107.083,70.900,17281.570,33699.211
108.112,99.100,17371.074,33782.371
109.141,101.000,17527.309,33784.371
110.171,99.100,17853.469,41598.312
111.200,100.100,19243.469,41598.312
112.230,100.000,20647.469,41598.312
113.260,100.000,22051.469,41598.312
114.290,100.000,23453.469,41598.312
115.319,100.000,24847.469,41598.312
116.350,99.900,25370.734,49412.258
117.380,99.000,26432.793,49412.258
118.409,101.000,27494.793,49412.258
119.439,99.100,28558.793,49412.258
120.468,101.000,29620.793,49412.258
121.497,99.100,30682.793,49412.258
122.528,100.000,31744.793,49412.258
123.557,101.000,32804.793,49412.258
