Elapsed_time,CPU,Real_MB,Virtual_MB
0.000,0.000,34.418,12702.301
1.021,97.900,109.484,12703.594
2.050,99.100,143.613,12738.039
3.080,96.100,240.531,12835.867
4.110,98.100,277.285,12873.668
5.140,99.000,391.133,12987.703
6.170,100.000,414.133,13017.488
7.200,99.000,472.688,13076.176
8.231,99.000,505.539,13108.738
9.262,97.000,617.820,13222.590
10.292,94.200,688.414,13294.668
11.322,99.000,690.633,13297.125
12.352,93.200,696.465,13303.938
13.383,97.100,714.305,13322.203
14.412,96.200,715.363,13328.164
15.442,84.500,718.656,13334.449
16.470,78.800,748.621,13366.277
17.500,78.700,790.062,13409.398
18.529,79.700,816.102,13436.285
19.559,82.500,816.449,13436.762
20.588,88.400,820.598,13442.754
21.618,98.100,820.734,13442.828
22.647,83.500,866.051,13498.859
23.677,83.500,962.391,13601.562
24.706,81.600,973.914,13613.781
25.735,82.600,974.352,13614.848
26.764,80.600,974.953,13616.305
27.794,100.100,975.281,13616.305
28.824,72.800,975.836,13655.363
29.851,76.900,998.961,13679.863
30.881,81.600,1024.875,13705.047
31.910,94.200,1053.504,13735.023
32.940,85.500,1054.227,13735.023
33.970,100.000,1075.109,13900.125
34.999,91.300,1219.285,13900.129
36.029,73.800,1296.180,13977.480
37.059,101.000,1305.723,13987.145
38.088,99.100,1305.723,13987.145
39.117,99.100,1391.609,14074.121
40.147,99.100,1391.609,14074.121
41.176,99.100,1391.609,14074.121
42.206,100.000,1391.609,14074.121
43.237,99.000,1391.609,14074.121
44.267,99.000,1391.609,14074.121
45.296,100.000,1401.035,14083.785
46.326,100.100,1496.582,14180.426
47.355,99.100,1496.582,14180.426
48.385,98.100,1496.582,14180.426
49.415,99.100,1496.582,14180.426
50.444,100.100,1496.582,14180.426
51.474,99.100,1496.582,14180.426
52.504,100.000,1496.582,14180.426
53.533,99.100,1496.582,14180.426
54.563,99.100,1496.582,14180.426
55.593,99.000,1496.582,14180.426
56.623,98.100,1496.582,14180.426
57.654,99.900,1496.582,14180.426
58.685,98.900,1496.582,14180.426
59.715,99.900,1496.582,14180.426
60.745,99.000,1496.582,14180.426
61.775,99.100,1496.582,14180.426
