,Tool,Dataset,Number_of_case,Number_of_control,Number of Samples,Peak_CPU,Peak_RAM_MB,Peak_VRAM_MB,Elapsed_time(min),Elapsed_hour
0,MultiNicheNet,Lasry,7,6,13,1437.1,48058.77,59323.184,30.31225,0.5052041666666667
1,MultiNicheNet,Lasry,3,3,6,1193.6,25764.461,35547.582,22.98166666666667,0.3830277777777778
2,MultiNicheNet,VanGalen,3,3,6,4484.0,20837.359,34896.07,33.36985,0.5561641666666667
3,MultiNicheNet,VanGalen,24,9,33,5428.0,79721.477,95767.41,51.26078333333333,0.8543463888888888
4,MultiNicheNet,VanGalen,9,10,19,2985.3,46711.766,61585.547,44.74955,0.7458258333333333
5,MultiNicheNet,VanGalen,7,6,13,4053.1,39846.891,54683.965,40.71953333333333,0.6786588888888888
6,MultiNicheNet,Simillie,17,11,28,1400.7,91652.98,105517.043,42.968650000000004,0.7161441666666667
7,MultiNicheNet,Simillie,7,6,13,1049.5,38809.688,48891.699,25.113983333333334,0.4185663888888889
8,MultiNicheNet,Simillie,10,12,22,1203.1,66476.293,79861.078,28.148233333333334,0.4691372222222222
9,MultiNicheNet,Simillie,3,3,6,624.4,22544.352,32373.145,22.5117,0.375195
10,CellPhoneDB,Lasry,7,6,13,101.3,18625.184,66596.246,14.061783333333333,0.23436305555555553
11,CellPhoneDB,Lasry,3,3,6,101.3,10468.488,33047.785,7.164366666666667,0.11940611111111112
12,CellPhoneDB,VanGalen,7,6,13,101.3,20486.008,64388.883,10.341833333333334,0.1723638888888889
13,CellPhoneDB,VanGalen,9,10,19,101.3,25811.285,42747.09,13.589416666666667,0.22649027777777778
14,CellPhoneDB,VanGalen,3,3,6,101.3,6228.691,27902.543,3.1586833333333333,0.052644722222222225
15,CellPhoneDB,VanGalen,24,9,33,101.3,63923.457,99220.48,28.502266666666667,0.4750377777777778
16,CellPhoneDB,Simillie,7,6,13,101.3,13838.332,60877.031,8.63885,0.14398083333333334
17,CellPhoneDB,Simillie,3,3,6,101.3,8874.746,29611.797,5.583699999999999,0.09306166666666665
18,CellPhoneDB,Simillie,10,12,22,101.3,25437.84,71081.996,16.793983333333333,0.2798997222222222
19,CellPhoneDB,Simillie,17,11,28,101.3,32149.758,50342.027,18.972133333333332,0.3162022222222222
20,community,Lasry,7,6,13,101.3,14752.027,29720.023,4.5727166666666665,0.07621194444444444
21,community,Lasry,3,3,6,101.3,8967.684,19330.848,1.9862499999999998,0.033104166666666664
22,community,VanGalen,7,6,13,101.3,9915.242,20837.344,1.9391166666666666,0.03231861111111111
23,community,VanGalen,9,10,19,101.3,11321.551,23897.121,2.4142,0.04023666666666667
24,community,VanGalen,3,3,6,101.3,2589.152,13423.621,1.0014833333333333,0.016691388888888888
25,community,VanGalen,24,9,33,101.3,21335.098,39500.527,4.5411166666666665,0.07568527777777777
26,community,Simillie,7,6,13,101.3,13615.219,24691.723,4.221316666666667,0.07035527777777778
27,community,Simillie,3,3,6,101.3,9450.691,20368.508,3.1601166666666667,0.05266861111111111
28,community,Simillie,10,12,22,101.3,26227.363,38083.84,6.676699999999999,0.11127833333333333
29,community,Simillie,17,11,28,101.3,41145.68,52118.637,15.091383333333333,0.25152305555555554
30,CellChat,Lasry,7,6,13,1409.5,20687.238,31701.086,18.125083333333336,0.30208472222222227
31,CellChat,Lasry,3,3,6,1262.9,10362.742,19998.285,9.093183333333334,0.15155305555555557
32,CellChat,VanGalen,3,3,6,338.1,5852.484,14967.184,11.217649999999999,0.18696083333333333
33,CellChat,VanGalen,24,9,33,1201.5,70393.238,81141.016,61.48833333333334,1.0248055555555555
34,CellChat,VanGalen,9,10,19,1152.6,28546.383,37885.66,33.63966666666667,0.5606611111111112
35,CellChat,VanGalen,7,6,13,1173.2,18624.027,27980.387,24.38426666666667,0.40640444444444446
36,CellChat,Simillie,17,11,28,1400.0,35890.41,47970.219,57.016949999999994,0.9502824999999999
37,CellChat,Simillie,7,6,13,1016.7,14329.867,28730.707,21.948500000000003,0.3658083333333334
38,CellChat,Simillie,10,12,22,1301.1,27486.504,40114.824,38.908966666666664,0.6484827777777777
39,CellChat,Simillie,3,3,6,818.3,9737.402,25176.746,12.433516666666666,0.20722527777777777
