Elapsed_time,CPU,Real_MB,Virtual_MB
1.011,89.1,72.422,9453.039
2.03,96.2,143.965,9524.305
3.05,100.0,134.434,9514.766
4.071,98.9,172.559,9552.914
5.091,100.0,124.594,9505.23
6.111,100.0,124.688,9505.23
7.131,100.0,143.965,9524.305
8.151,99.0,162.582,11172.465
9.171,101.0,274.832,11660.047
10.191,101.3,3561.973,18670.715
11.211,101.3,3482.191,14219.359
12.231,100.0,5347.723,16084.957
13.251,99.0,5987.113,16725.207
14.271,100.0,5995.559,16732.449
15.29,100.1,5995.559,16732.449
16.31,100.0,5995.559,16732.449
17.33,101.0,5995.562,16732.449
18.35,100.0,6053.039,16732.449
19.37,100.0,6079.988,16732.449
20.39,100.0,6080.879,16732.449
21.41,101.0,6129.844,16732.449
22.43,99.0,6212.238,16732.449
23.45,101.0,6216.105,16732.449
24.47,98.0,6223.613,16733.012
25.49,101.0,6255.539,16733.012
26.507,99.2,6255.539,16733.012
27.52,99.7,6749.043,17388.855
28.54,100.0,8042.547,18412.859
29.56,100.0,8042.547,18412.859
30.58,100.0,8042.547,18412.859
31.599,101.1,7018.543,17388.855
32.619,100.0,7025.469,17388.855
33.639,100.0,7025.594,17388.855
34.659,100.0,6369.75,16733.012
35.679,100.0,6714.23,17388.855
36.699,100.0,6369.77,16733.012
37.719,100.0,6924.961,17330.734
38.74,100.0,6590.898,16972.727
39.76,101.0,6904.043,17345.582
40.78,99.0,7778.062,18141.508
41.8,100.0,7055.613,17419.07
42.82,100.0,7197.723,17561.414
43.84,101.0,7198.207,17561.414
44.86,99.0,7277.316,17643.953
45.88,101.0,7198.25,17561.414
46.9,100.0,7198.25,17561.414
47.919,100.1,7961.359,18324.684
48.937,100.2,7198.25,17561.414
49.956,100.1,7451.734,17815.043
50.973,100.2,7198.25,17561.414
51.991,100.2,8443.527,18971.582
53.009,100.2,8967.684,19330.848
54.027,99.2,7549.77,17920.68
55.045,100.2,7737.152,18100.312
56.063,100.2,8274.742,18651.094
57.081,100.2,7539.094,17903.387
58.098,100.2,7539.094,17903.387
59.116,99.2,7539.094,17903.387
60.134,100.2,7539.094,17903.387
61.152,100.2,7539.094,17903.387
62.17,100.2,7539.094,17903.387
63.188,100.2,7539.094,17903.387
64.205,100.2,7539.094,17903.387
65.223,100.2,7539.094,17903.387
66.241,100.2,7539.094,17903.387
67.259,100.2,7033.996,17397.152
68.277,99.2,7033.996,17397.152
69.294,100.2,7033.996,17397.152
70.312,100.2,7033.996,17397.152
71.33,100.2,7033.996,17397.152
72.348,100.2,7033.996,17397.152
73.366,99.2,7033.996,17397.152
74.384,100.2,7033.996,17397.152
75.401,100.2,7033.996,17397.152
76.419,101.2,7033.996,17397.152
77.437,100.2,7033.996,17397.152
78.456,99.1,7033.996,17397.152
79.474,100.2,7033.996,17397.152
80.491,100.2,7033.996,17397.152
81.509,100.2,7033.996,17397.152
82.527,100.2,7033.996,17397.152
83.545,99.2,7033.996,17397.152
84.563,101.2,7033.996,17397.152
85.581,100.2,7033.996,17397.152
86.598,99.2,7033.996,17397.152
87.616,99.2,7034.582,17398.504
88.634,99.3,7034.641,17398.504
89.652,101.2,7034.641,17398.504
90.669,99.2,7034.641,17398.504
91.687,100.2,7034.758,17398.5
92.705,100.2,7034.758,17398.5
93.723,100.2,7034.758,17398.5
94.741,101.3,7039.828,18094.781
95.759,101.3,7040.008,18094.781
96.776,100.2,7040.008,18094.781
97.794,100.2,7040.008,18094.781
98.812,99.2,7040.008,18094.781
99.83,100.2,7040.008,18094.781
100.848,101.2,7040.008,18094.781
101.865,100.3,7040.008,18094.781
102.882,99.3,7040.008,18094.781
103.9,100.2,7040.008,18094.781
104.92,100.0,7040.008,18094.781
105.939,100.1,7040.008,18094.781
106.957,100.2,7040.008,18094.781
107.976,100.1,7040.008,18094.781
108.994,100.2,7040.008,18094.781
110.013,99.1,7040.113,18094.781
111.031,100.2,7040.113,18094.781
112.049,100.2,7040.113,18094.781
113.067,100.2,7040.113,18094.781
114.086,100.2,7040.113,18094.781
115.103,100.3,7040.113,18094.781
116.121,100.2,7040.113,18094.781
117.139,99.2,7040.113,18094.781
118.157,100.1,7040.113,18094.781
119.175,100.2,7040.113,18094.781
