Elapsed_time,CPU,Real_MB,Virtual_MB
1.014,89.8,68.926,9451.73
2.034,96.0,132.133,9514.77
3.054,100.0,170.246,9552.918
4.075,99.0,114.035,9505.234
5.095,100.0,132.133,9514.77
6.116,99.0,141.68,9524.309
7.136,100.0,141.68,9524.309
8.156,100.0,151.102,9533.844
9.177,100.0,160.738,9543.383
10.197,99.0,118.293,9505.234
11.217,100.0,141.68,9524.309
12.238,100.0,141.68,9524.309
13.258,99.0,151.195,9533.844
14.278,100.0,120.293,9505.234
15.299,99.9,137.68,9524.309
16.312,99.6,151.195,9533.844
17.333,99.0,122.293,9505.234
18.353,100.0,184.664,13404.496
19.386,99.7,414.711,13405.812
20.407,100.0,475.172,15928.973
21.427,101.3,4247.242,29720.023
22.447,101.3,13490.371,29720.023
23.468,101.3,6118.27,18361.562
24.488,100.0,7736.559,19979.906
25.509,100.9,9617.816,21861.152
26.533,99.5,11519.184,23762.621
27.554,100.0,11665.133,23908.5
28.574,95.1,11821.453,24066.531
29.594,101.0,11822.895,24066.027
30.615,100.0,11822.895,24066.027
31.635,100.0,11822.895,24066.027
32.654,100.1,11822.895,24066.027
33.676,99.8,11930.289,24066.027
34.696,100.0,12118.633,24066.027
35.716,101.0,12126.613,24066.027
36.736,99.0,12127.547,24066.027
37.758,100.8,12135.176,24066.027
38.778,100.0,12146.258,24066.027
39.798,100.0,12524.461,24066.027
40.818,100.0,12862.434,24066.027
41.838,101.0,13021.246,24066.027
42.859,99.0,13121.766,24066.027
43.879,101.0,13209.051,24066.027
44.899,100.0,13407.332,24066.027
45.919,100.0,13576.973,24066.027
46.939,100.1,13645.641,24066.027
47.96,99.9,13645.664,24066.027
48.98,100.0,13646.266,24066.027
50.0,99.0,13689.785,24066.59
51.02,100.0,13689.785,24066.59
52.041,100.0,13700.957,24066.59
53.061,100.0,13701.121,24066.59
54.081,100.0,13701.121,24066.59
55.101,100.0,13701.125,24066.59
56.122,100.0,13701.125,24066.59
57.142,100.0,13701.125,24066.59
58.162,100.0,13701.125,24066.59
59.182,100.0,13701.125,24066.59
60.202,100.0,13701.125,24066.59
61.223,101.0,13701.125,24066.59
62.243,100.0,13701.125,24066.59
63.262,100.1,13701.125,24066.59
64.282,100.0,13701.125,24066.59
65.302,100.0,13701.125,24066.59
66.322,101.0,13701.125,24066.59
67.343,99.9,13701.125,24066.59
68.363,100.0,13701.125,24066.59
69.381,100.2,13701.125,24066.59
70.401,99.0,13701.125,24066.59
71.419,100.2,13701.125,24066.59
72.439,100.0,13701.125,24066.59
73.46,100.0,13701.125,24066.59
74.48,100.0,13701.125,24066.59
75.5,101.0,13701.125,24066.59
76.521,99.9,13701.125,24066.59
77.541,101.0,13701.125,24066.59
78.561,99.9,13701.125,24066.59
79.582,100.0,13701.125,24066.59
80.602,100.0,13701.125,24066.59
81.623,99.8,13701.125,24066.59
82.644,100.0,13701.125,24066.59
83.664,100.0,13701.125,24066.59
84.684,100.0,13701.125,24066.59
85.704,99.9,13701.125,24066.59
86.724,101.0,13701.125,24066.59
87.745,100.0,13701.125,24066.59
88.765,100.0,13701.125,24066.59
89.784,99.1,13701.125,24066.59
90.804,101.0,13701.125,24066.59
91.825,100.0,13701.125,24066.59
92.845,100.0,13701.125,24066.59
93.863,100.1,13701.125,24066.59
94.886,99.8,13701.125,24066.59
95.907,100.9,13701.125,24066.59
96.928,100.0,13701.125,24066.59
97.949,99.8,13701.125,24066.59
98.97,99.9,13701.125,24066.59
99.989,100.1,14269.648,24758.227
101.01,99.9,14752.027,25117.492
102.031,99.9,13701.125,24066.59
103.053,99.8,13701.125,24066.59
104.074,99.9,14060.391,24425.855
105.094,101.0,13701.125,24066.59
106.114,100.0,13745.375,24168.078
107.134,100.0,13701.125,24066.59
108.154,100.0,13701.125,24066.59
109.173,100.1,13701.125,24066.59
110.193,100.0,13701.125,24066.59
111.212,101.1,13701.125,24066.59
112.231,99.2,13701.125,24066.59
113.252,99.8,13701.125,24066.59
114.272,100.0,13701.125,24066.59
115.293,99.9,13701.125,24066.59
116.313,100.0,13701.125,24066.59
117.333,100.0,13701.125,24066.59
118.354,101.0,13701.125,24066.59
119.373,100.0,13701.125,24066.59
120.394,100.0,13701.125,24066.59
121.414,100.0,13701.125,24066.59
122.434,100.0,13701.125,24066.59
123.454,100.0,13701.125,24066.59
124.474,100.0,13701.125,24066.59
125.494,101.0,13701.125,24066.59
126.516,99.9,13701.125,24066.59
127.536,100.0,13701.125,24066.59
128.566,100.0,13701.125,24066.59
129.587,99.9,13701.125,24066.59
130.607,100.0,13701.125,24066.59
131.628,100.0,13701.125,24066.59
132.648,101.0,13701.125,24066.59
133.668,100.0,13701.125,24066.59
134.686,100.1,13701.125,24066.59
135.714,99.2,13701.125,24066.59
136.734,101.0,13701.125,24066.59
137.755,100.0,13701.125,24066.59
138.774,99.1,13701.125,24066.59
