Elapsed_time,CPU,Real_MB,Virtual_MB
1.019,101.3,125.625,9450.41
2.036,98.3,205.688,9531.406
3.055,93.2,225.59,9551.75
4.075,92.2,319.391,9647.215
5.095,83.3,340.285,9675.93
6.115,82.4,358.586,9759.121
7.134,98.1,402.492,9802.785
8.154,100.0,402.492,9802.785
9.174,100.0,402.492,9802.785
10.194,99.0,421.84,9822.113
11.214,100.0,421.84,9822.113
12.233,99.0,421.84,9822.113
13.253,100.0,421.84,9822.113
14.273,100.1,421.836,9822.109
15.292,100.0,548.637,12220.5
16.312,100.0,614.293,12292.5
17.332,100.0,625.637,12586.5
18.352,100.0,649.613,13196.5
19.372,100.0,698.855,14460.5
20.392,100.0,801.465,17081.5
21.412,101.3,7237.617,23731.301
22.432,101.3,5221.961,17010.656
23.452,100.0,6499.938,18288.656
24.472,100.0,7838.094,19626.656
25.493,100.0,8996.77,20786.785
26.513,100.0,9932.773,24968.133
27.533,100.0,12094.773,24968.133
28.553,101.0,13233.715,24968.133
29.573,100.0,13574.797,25564.348
30.593,99.0,13838.332,25564.348
31.613,101.0,9859.289,21583.234
32.633,100.0,10347.559,22323.91
33.653,99.9,10998.887,22721.43
34.673,99.0,11524.91,23242.027
35.693,101.0,11550.086,23242.027
36.713,100.0,10253.691,21941.316
37.733,100.0,10414.555,22079.512
38.753,100.0,10572.344,22223.547
39.773,101.0,9969.801,21620.828
40.793,99.0,10120.535,21776.531
41.813,100.0,10638.668,22290.156
42.833,100.0,11084.121,22735.727
43.853,100.0,10571.574,22205.531
44.873,100.0,10571.668,22205.531
45.891,100.2,10571.668,22205.531
46.909,100.2,10571.668,22205.531
47.926,100.2,10571.668,22205.531
48.944,100.2,10571.668,22205.531
49.962,99.2,10571.668,22205.531
50.98,100.2,10571.668,22205.531
51.998,100.2,10571.668,22205.531
53.016,99.2,10571.668,22205.531
54.034,101.2,10571.668,22205.531
55.052,100.2,10571.668,22205.531
56.07,99.2,10571.668,22205.531
57.087,100.2,10571.668,22205.531
58.105,100.2,10571.668,22205.531
59.123,99.2,10571.668,22205.531
60.141,101.2,10571.668,22205.531
61.159,100.2,10571.668,22205.531
62.177,99.2,10571.668,22205.531
63.195,100.2,10571.668,22205.531
64.213,100.2,10571.668,22205.531
65.231,99.2,10571.668,22205.531
66.249,100.2,10571.668,22205.531
67.265,99.3,10571.668,22205.531
68.283,100.2,10571.668,22205.531
69.301,101.2,10571.668,22205.531
70.319,99.2,10571.668,22205.531
71.337,100.2,10571.668,22205.531
72.355,100.2,10571.668,22205.531
73.373,100.2,10571.668,22205.531
74.391,100.2,10571.668,22205.531
75.409,99.2,10571.668,22205.531
76.427,100.2,10571.668,22205.531
77.445,100.2,10571.668,22205.531
78.463,99.2,10571.668,22205.531
79.481,101.2,10571.668,22205.531
80.499,99.2,10571.668,22205.531
81.517,100.2,10571.668,22205.531
