Elapsed_time,CPU,Real_MB,Virtual_MB
1.011,101.3,127.914,9450.41
2.031,96.1,208.082,9531.789
3.041,95.0,227.887,9551.746
4.061,92.2,314.738,9639.145
5.081,88.2,336.727,9668.5
6.095,88.7,361.105,9804.949
7.109,83.8,366.156,9763.621
8.123,85.8,395.512,9793.117
9.144,98.0,404.984,9802.781
10.165,99.0,405.055,9802.781
11.185,98.0,405.055,9802.781
12.205,98.0,405.055,9802.781
13.226,100.0,424.078,9822.109
14.246,98.0,424.141,9822.109
15.266,99.0,424.141,9822.109
16.286,96.1,424.141,9822.109
17.307,99.0,424.141,9822.109
18.327,99.0,424.141,9822.109
19.347,98.0,424.141,9822.109
20.367,98.0,424.141,9822.109
21.388,99.0,424.141,9822.109
22.408,97.0,424.141,9822.109
23.428,99.0,424.141,9822.109
24.449,98.0,424.141,9822.109
25.469,98.0,424.141,9822.109
26.489,99.0,424.141,9822.109
27.508,98.1,424.141,9822.109
28.528,98.0,424.141,9822.109
29.549,98.0,424.141,9822.109
30.569,98.0,424.141,9822.109
31.589,100.0,424.141,9822.109
32.609,96.1,424.141,9822.109
33.63,99.0,424.141,9822.109
34.65,98.0,424.141,9822.109
35.67,98.0,424.141,9822.109
36.69,100.0,462.859,14637.852
37.711,98.9,654.066,14637.852
38.731,100.9,833.453,14708.852
39.752,100.0,844.906,14998.852
40.772,100.0,868.367,15600.852
41.793,100.9,917.094,16847.852
42.813,101.3,1255.332,24155.988
43.837,101.3,7565.582,24155.988
44.855,101.3,3791.031,15413.648
45.875,96.0,4358.348,16006.648
46.896,100.9,5709.254,17418.648
47.917,99.9,7045.418,18814.148
48.938,98.9,7226.336,22111.734
49.958,100.9,9250.336,22111.734
50.979,99.9,10373.926,22111.734
51.999,100.0,12594.875,25349.195
53.02,100.0,13900.492,30205.387
54.04,100.9,16638.492,30205.387
55.061,99.9,18473.008,30205.387
56.081,99.0,18528.012,30205.387
57.102,100.9,18760.906,31824.117
58.122,100.0,19444.906,31824.117
59.143,100.0,20134.906,31824.117
60.163,100.0,15313.723,28586.656
61.183,100.0,16029.832,28586.656
62.204,100.0,16747.832,28586.656
63.224,100.9,19361.402,31824.117
64.245,98.9,20145.402,31824.117
65.265,100.9,20145.566,31824.117
66.286,100.0,20145.566,31824.117
67.306,99.9,20145.824,31824.117
68.327,100.0,20145.824,31824.117
69.347,100.0,20146.082,31824.117
70.368,100.0,20146.082,31824.117
71.388,100.0,20146.34,31824.117
72.409,100.0,20146.34,31824.117
73.429,100.9,20146.598,31824.117
74.449,100.0,20146.598,31824.117
75.47,100.0,20146.598,31824.117
76.49,101.0,23242.859,35061.578
77.509,99.1,23382.98,35061.578
78.529,100.9,23382.98,35061.578
79.55,100.0,23383.238,35061.578
80.57,100.0,23383.238,35061.578
81.591,100.0,23383.496,35061.578
82.611,100.0,23383.496,35061.578
83.631,100.0,23383.754,35061.578
84.652,100.0,23383.754,35061.578
85.672,100.0,23384.012,35061.578
86.692,100.0,23384.012,35061.578
87.713,100.9,23384.27,35061.578
88.733,99.9,20146.844,31824.117
89.754,100.0,20150.883,31824.117
90.774,99.9,21754.566,33570.109
91.795,99.9,22056.035,33861.109
92.816,99.9,20704.305,32533.379
93.837,99.9,21732.918,33406.379
94.857,100.0,21733.691,33406.379
95.878,100.0,21734.207,33406.379
96.897,101.0,15837.973,27513.457
97.918,99.9,15839.777,27513.457
98.939,100.0,15841.324,27513.457
99.96,99.9,16579.648,28452.27
100.98,100.9,17078.305,28959.207
102.002,98.9,17286.793,28959.207
103.022,100.0,17287.051,28959.207
104.042,100.9,17793.609,29466.145
105.063,99.9,17793.867,29466.145
106.084,99.9,17639.812,29334.52
107.104,99.9,18348.16,30019.863
108.125,99.9,18461.23,30132.457
109.146,100.9,20232.379,32058.48
110.166,99.0,20160.762,32058.48
111.187,100.9,20571.988,32379.484
112.208,99.9,21991.68,33663.5
113.228,100.0,21992.328,33663.5
114.249,100.0,21993.102,33663.5
115.269,100.0,19432.625,31104.508
116.289,100.0,19433.398,31104.508
117.31,100.9,19434.172,31104.508
118.33,99.0,19686.023,31520.391
119.351,100.9,20200.215,31873.027
120.372,99.9,20202.793,31873.027
121.392,100.0,20553.723,32225.66
122.412,100.0,20605.516,32307.098
123.433,100.9,21358.105,33030.555
124.453,100.0,21574.566,33319.938
125.474,98.9,21649.477,33319.938
126.494,100.0,17849.703,29820.496
127.515,100.9,18150.438,29820.496
128.535,99.9,18935.801,30669.645
129.556,99.9,19484.012,31154.883
130.576,100.0,19727.086,31397.5
131.597,100.9,19881.898,31651.828
132.617,99.9,20147.25,31817.477
133.638,98.9,20455.191,32125.348
134.659,100.9,20819.262,32489.27
135.679,99.9,21261.363,33083.941
136.7,100.9,19534.164,31204.508
137.721,99.0,19732.359,31402.734
138.741,100.9,20144.145,31846.543
139.761,99.0,20525.254,32196.512
140.782,100.9,20660.262,32330.734
141.803,98.9,22088.238,34387.633
142.823,100.9,21791.227,33694.906
143.844,99.9,20759.66,33694.906
144.864,99.9,22710.184,34380.539
145.885,100.9,16897.535,28567.891
146.905,100.0,17512.676,29253.523
147.926,99.9,18709.457,30624.789
148.946,99.0,20322.789,31996.055
149.966,100.9,20323.484,31996.055
150.987,100.0,20324.0,31996.055
152.007,100.9,20324.516,31996.055
153.028,100.0,20325.289,31996.055
154.048,100.0,20325.805,31996.055
155.069,99.9,21694.227,33367.32
156.089,100.0,21694.742,33367.32
157.11,100.0,21695.258,33367.32
158.13,100.0,21696.031,33367.32
159.15,100.0,21696.547,33367.32
160.171,100.0,21697.062,33367.32
161.191,100.0,20461.16,32132.02
162.211,100.9,21710.883,34166.598
163.232,99.0,24197.145,36155.77
164.252,100.9,23127.406,34829.656
165.273,100.0,24307.742,36155.773
166.293,100.0,25809.48,37481.891
167.313,100.9,25809.738,37481.891
168.334,100.0,25810.254,37481.891
169.354,100.0,25810.512,37481.891
170.374,100.0,25811.027,37481.891
171.395,100.0,25811.285,37481.891
172.415,100.0,23662.258,35334.691
173.436,100.0,23662.773,35334.691
174.456,100.0,23663.031,35334.691
175.476,100.0,23663.547,35334.691
176.496,100.1,23664.062,35334.691
177.516,100.0,22362.676,34053.727
178.537,99.9,23908.746,36042.898
179.557,100.0,24372.336,36042.898
180.578,100.9,24674.387,36344.949
181.598,99.9,17902.016,29610.262
182.619,99.9,18341.195,30012.996
183.639,100.9,18180.695,29851.258
184.66,100.0,18827.551,30498.227
185.68,100.0,19241.34,31023.082
186.7,99.0,19114.281,30780.969
187.72,100.0,19114.285,30780.969
188.739,99.2,19114.285,30780.969
189.757,100.2,19114.285,30780.969
190.775,100.2,19114.285,30780.969
191.793,99.2,19114.285,30780.969
192.811,100.2,19114.285,30780.969
193.829,100.2,19114.285,30780.969
194.847,99.2,19114.285,30780.969
195.864,99.2,19114.285,30780.969
196.882,100.2,19114.285,30780.969
197.9,100.2,19114.285,30780.969
198.918,99.2,19117.281,30780.969
199.937,100.1,19117.281,30780.969
200.955,99.2,19117.281,30780.969
201.973,100.2,19117.281,30780.969
202.991,100.2,19117.281,30780.969
204.009,99.2,19117.281,30780.969
205.027,99.2,19117.281,30780.969
206.045,100.2,19117.281,30780.969
207.063,100.2,19125.805,30780.969
208.082,99.1,19125.805,30780.969
209.099,100.2,19125.805,30780.969
210.117,99.2,19125.805,30780.969
211.135,100.2,19125.805,30780.969
212.153,99.2,19125.805,30780.969
213.171,100.2,19125.805,30780.969
214.189,99.2,19125.805,30780.969
215.207,100.2,19125.805,30780.969
216.225,100.2,19125.805,30780.969
217.243,99.2,19125.805,30780.969
218.261,99.2,19125.805,30780.969
219.278,100.2,19127.906,30780.969
220.298,99.1,19127.906,30780.969
221.316,100.2,19127.906,30780.969
222.333,99.2,19127.906,30780.969
223.351,100.2,19127.906,30780.969
