Elapsed_time,CPU,Real_MB,Virtual_MB
1.01,95.0,169.992,9493.41
2.02,92.1,210.438,9534.352
3.03,100.0,227.188,9551.75
4.049,91.3,321.289,9647.355
5.063,86.8,336.996,9669.496
6.084,86.2,359.684,9694.5
7.104,90.2,394.688,9792.996
8.124,99.0,404.066,9802.785
9.143,100.1,404.066,9802.785
10.163,98.1,404.234,9802.785
11.182,100.1,404.234,9802.785
12.201,99.1,423.188,9822.113
13.221,100.0,423.188,9822.113
14.24,98.1,423.188,9822.113
15.26,100.1,423.32,9822.113
16.279,99.1,423.32,9822.113
17.298,99.2,423.32,9822.113
18.317,99.1,423.32,9822.113
19.337,99.1,423.32,9822.113
20.356,100.1,423.32,9822.113
21.376,100.0,423.32,9822.113
22.395,98.1,423.32,9822.113
23.415,100.1,423.32,9822.113
24.434,99.1,423.32,9822.113
25.453,99.1,423.32,9822.113
26.473,99.1,423.32,9822.113
27.492,100.0,423.32,9822.113
28.512,98.1,423.32,9822.113
29.531,100.0,423.32,9822.113
30.551,99.1,423.32,9822.113
31.57,100.1,423.32,9822.113
32.59,99.1,423.32,9822.113
33.609,99.1,423.32,9822.113
34.629,99.1,423.32,9822.113
35.648,99.0,423.32,9822.113
36.668,100.0,423.32,9822.113
37.687,99.1,423.32,9822.113
38.707,99.1,423.32,9822.113
39.726,100.1,423.32,9822.113
40.745,99.1,423.32,9822.113
41.764,99.2,423.32,9822.113
42.783,99.1,423.32,9822.113
43.803,99.1,423.32,9822.113
44.822,100.1,423.32,9822.113
45.842,98.1,423.32,9822.113
46.861,100.0,423.32,9822.113
47.881,100.0,423.32,9822.113
48.9,99.1,423.32,9822.113
49.92,99.1,423.32,9822.113
50.939,99.1,423.32,9822.113
51.959,100.1,423.32,9822.113
52.978,98.1,423.32,9822.113
53.997,100.0,423.32,9822.113
55.017,99.1,423.32,9822.113
56.036,99.1,423.32,9822.113
57.056,100.1,423.32,9822.113
58.075,99.1,423.32,9822.113
59.095,99.1,423.32,9822.113
60.114,100.1,423.32,9822.113
61.134,99.1,423.32,9822.113
62.153,100.0,423.32,9822.113
63.173,99.1,423.32,9822.113
64.192,99.1,423.32,9822.113
65.212,100.1,423.32,9822.113
66.231,99.1,423.32,9822.113
67.251,99.1,423.32,9822.113
68.27,100.0,423.32,9822.113
69.29,99.1,509.125,20420.293
70.31,99.9,509.125,20420.293
71.33,100.0,724.832,20420.293
72.353,100.7,1196.629,20420.293
73.373,100.0,1319.668,20490.293
74.393,100.0,1330.754,20778.293
75.413,100.0,1354.215,21377.293
76.433,100.0,1402.684,22617.293
77.453,100.0,1503.23,25190.293
78.473,100.0,1644.512,28807.293
79.493,101.3,7216.559,39758.398
80.51,101.3,14336.414,39758.398
81.527,101.3,19209.105,39759.527
82.552,101.3,7855.098,20489.781
83.571,100.0,7858.41,20493.91
84.591,100.0,8901.207,21582.406
85.611,100.0,10568.48,23324.406
86.631,100.0,12510.84,25354.406
87.651,100.0,13955.105,26863.406
88.671,86.3,15012.551,27967.035
89.69,99.1,15182.383,28102.059
