Elapsed_time,CPU,Real_MB,Virtual_MB
1.027,94.7,153.926,9478.414
2.047,93.1,208.562,9533.957
3.066,97.1,225.793,9551.75
4.086,93.2,319.57,9646.715
5.105,85.4,335.516,9669.234
6.126,87.2,358.316,9694.5
7.147,87.2,369.758,9768.859
8.167,68.6,370.566,9771.676
9.186,76.5,374.738,9780.535
10.206,81.4,382.801,9789.168
11.226,71.6,457.109,9863.168
12.245,71.6,471.211,9876.957
13.265,82.4,532.207,9938.02
14.285,99.0,560.965,9967.012
15.305,98.1,560.965,9967.012
16.324,99.0,560.965,9967.012
17.344,97.1,579.867,9986.34
18.364,96.1,579.867,9986.34
19.384,96.1,580.07,9986.34
20.404,99.1,580.07,9986.34
21.423,99.0,580.07,9986.34
22.443,99.0,580.07,9986.34
23.463,97.1,580.07,9986.34
24.483,99.1,580.07,9986.34
25.503,99.0,580.07,9986.34
26.522,98.1,580.07,9986.34
27.541,100.1,580.07,9986.34
28.561,98.1,603.934,13847.453
29.581,100.0,808.789,13847.453
30.601,101.0,836.32,13924.453
31.62,99.0,840.41,14054.453
32.64,100.0,849.992,14363.453
33.66,101.0,866.75,14897.453
34.68,100.0,884.023,15456.453
35.7,100.0,925.789,16786.453
36.719,100.0,969.102,18175.453
37.739,100.0,1072.484,21485.453
38.759,101.3,7577.551,31038.25
39.779,101.3,10614.723,24377.273
40.793,101.3,7204.238,20333.891
41.813,101.0,8363.113,21530.891
42.833,100.0,9748.34,22960.891
43.853,99.0,11635.27,24908.891
44.872,89.2,12054.016,25333.52
45.892,99.0,12147.531,25418.648
46.912,99.1,12378.082,25671.902
47.932,100.0,12930.035,31296.879
48.952,100.0,15074.035,31296.879
49.972,100.0,17216.035,31296.879
50.991,100.0,18016.629,31296.879
52.011,101.0,18382.27,32142.621
53.031,100.0,18884.809,32142.621
54.051,99.0,13349.773,26523.641
55.07,100.0,13631.699,26805.555
56.09,100.0,14308.367,27558.641
57.111,100.0,14780.395,28029.812
58.131,100.0,14621.715,27819.379
59.15,100.0,15053.824,28204.27
60.17,100.0,15084.344,28204.27
