Elapsed_time,CPU,Real_MB,Virtual_MB
1.011,101.3,128.004,9450.418
2.028,97.4,207.941,9531.41
3.048,94.1,227.855,9551.754
4.067,93.2,312.145,9637.152
5.087,88.2,337.121,9668.508
6.106,86.3,360.328,9694.508
7.126,84.3,364.328,9763.125
8.147,75.5,370.887,9771.18
9.167,70.6,375.055,9780.539
10.187,84.3,375.055,9780.539
11.206,74.5,428.594,9833.672
12.226,72.6,471.391,9876.707
13.245,90.3,532.547,9938.023
14.264,100.1,561.09,9967.016
15.284,99.0,561.09,9967.016
16.304,100.0,580.262,9986.344
17.324,99.0,580.262,9986.344
18.343,100.0,580.262,9986.344
19.363,100.0,580.262,9986.344
20.383,100.0,580.262,9986.344
21.403,99.0,597.918,12384.73
22.423,100.0,769.91,12384.73
23.443,100.0,772.891,12466.73
24.463,100.0,782.172,12699.73
25.483,101.0,791.453,12941.73
26.503,100.0,814.141,13519.73
27.523,99.0,853.07,14517.73
28.543,101.0,893.805,15560.73
29.563,101.3,1482.703,23882.531
30.586,101.3,8714.996,23882.531
31.606,101.3,5349.43,17140.887
32.626,100.0,6430.438,18221.887
33.646,100.0,7728.781,19519.887
34.666,100.0,9116.488,20908.516
35.686,99.0,9299.105,21097.77
36.706,100.0,9619.75,25276.617
37.726,101.0,11777.75,25276.617
38.746,99.0,13499.984,25276.617
39.766,101.0,13695.773,25872.832
40.786,99.0,14101.961,25872.832
41.806,100.0,9938.691,21891.719
42.826,100.0,10515.023,22361.426
43.846,100.9,11046.379,22813.043
44.866,99.0,11770.871,23535.629
45.886,100.0,11825.125,23580.527
46.906,101.0,11845.488,23580.527
47.926,100.0,11866.359,23580.527
48.946,100.0,10582.414,22279.816
49.966,100.0,10582.414,22279.816
50.986,100.0,10601.473,22279.816
52.006,100.0,10622.871,22279.816
53.026,100.0,10644.012,22279.816
54.045,101.0,10909.816,22530.809
55.065,99.0,10941.988,22541.332
56.085,100.0,10934.613,22531.328
57.105,100.0,10934.719,22531.328
58.125,101.0,11152.098,22776.539
59.145,100.0,11497.75,23094.625
60.165,99.0,11863.191,23477.152
61.185,101.0,11841.074,23435.547
62.205,100.0,11855.508,23435.547
