Elapsed_time,CPU,Real_MB,Virtual_MB
1.021,90.1,127.234,9450.414
2.031,94.1,207.328,9531.824
3.041,94.1,227.086,9551.75
4.061,92.2,308.02,9633.148
5.075,86.7,335.867,9668.398
6.094,78.5,359.461,9694.199
7.115,80.3,360.047,9758.621
8.136,81.3,369.75,9769.879
9.155,68.7,374.391,9781.035
10.172,83.6,374.289,9780.535
11.192,75.5,406.723,9812.668
12.212,72.6,467.676,9874.168
13.231,74.5,506.621,9913.184
14.25,86.4,531.777,9938.02
15.269,97.1,560.156,9967.012
16.289,98.1,560.156,9967.012
17.308,99.1,560.156,9967.012
18.328,76.5,560.406,9967.012
19.347,99.1,579.254,9986.34
20.367,99.1,579.254,9986.34
21.386,97.1,579.254,9986.34
22.406,99.1,579.492,9986.34
23.425,88.3,579.492,9986.34
24.445,99.1,579.492,9986.34
25.464,97.1,579.492,9986.34
26.484,98.1,579.492,9986.34
27.503,99.1,579.492,9986.34
28.523,98.1,579.492,9986.34
29.542,98.1,579.492,9986.34
30.562,98.1,579.492,9986.34
31.581,97.1,579.492,9986.34
32.601,97.1,579.492,9986.34
33.619,99.2,579.492,9986.34
34.638,95.2,579.492,9986.34
35.658,97.1,579.492,9986.34
36.677,97.1,608.918,13670.152
37.697,100.0,845.547,13670.152
38.717,100.0,893.043,13751.152
39.737,100.0,901.809,13980.152
40.756,99.0,911.09,14218.152
41.776,101.0,933.457,14786.152
42.796,100.0,971.613,15767.152
43.816,100.0,1011.832,16792.152
44.835,101.3,6334.984,21247.445
45.855,101.3,3303.863,14751.879
46.875,100.0,4454.738,15954.879
47.894,100.0,5356.566,16896.879
48.914,87.3,5645.582,17337.762
49.934,99.0,5799.758,17350.262
50.953,100.0,6865.664,19817.957
51.973,100.0,8420.289,22286.156
52.992,100.1,10736.086,22286.156
54.012,101.0,11047.691,25988.457
55.032,99.0,13767.691,25988.457
56.052,101.0,14463.043,25988.457
57.072,99.1,14674.934,27222.559
58.091,101.0,15390.934,27222.559
59.111,99.1,10761.59,22286.16
60.131,100.0,12467.59,24754.363
61.15,100.0,13185.59,24754.363
62.17,101.0,15693.93,27222.566
63.189,100.0,15694.402,27222.566
64.209,100.0,15694.918,27222.566
65.228,100.1,15695.434,27222.566
66.248,100.1,15695.949,27222.566
67.267,100.0,15696.465,27222.566
68.287,100.0,15696.723,27222.566
69.306,100.0,15697.238,27222.566
70.326,100.0,15697.754,27222.566
71.345,101.0,15697.754,27222.566
72.365,100.0,18164.102,29690.77
73.385,100.0,18164.352,29690.77
74.404,100.0,18164.609,29690.77
75.424,100.1,18164.867,29690.77
76.443,100.0,18165.125,29690.77
77.463,100.0,18165.383,29690.77
78.482,100.0,18165.641,29690.77
79.502,100.1,18165.898,29690.77
80.521,100.1,18166.156,29690.77
81.541,99.1,15698.008,27222.566
82.56,100.0,16442.934,28264.738
83.58,101.0,15851.965,27551.723
84.599,100.0,16376.305,27899.113
85.618,100.1,16377.078,27899.113
86.638,100.0,16723.949,28246.504
87.657,100.1,16379.902,27899.113
88.677,99.0,16594.988,28271.98
89.697,101.0,16752.879,28271.98
90.716,99.1,12124.973,23645.91
91.736,101.0,12126.777,23645.91
92.755,99.1,12467.832,23987.227
93.775,101.0,12860.668,24738.113
94.795,99.0,13358.637,25451.945
95.814,101.0,14114.895,25689.891
96.834,100.0,15132.457,26641.672
97.854,100.0,15133.488,26641.672
98.873,100.0,15608.109,27117.562
99.893,100.0,15609.141,27117.562
100.913,100.0,15258.238,27039.027
101.933,100.0,16196.402,27701.293
102.952,101.0,16459.953,27966.199
103.972,99.0,16197.715,27701.293
104.992,101.0,14233.305,25737.77
106.012,100.0,14444.699,25948.762
107.032,99.1,14631.699,26135.125
108.051,100.0,15142.746,26714.227
109.071,100.0,15430.953,26933.074
110.091,101.0,15695.371,27198.027
111.11,99.1,16014.961,27516.289
112.13,101.0,16487.98,27989.133
113.15,100.0,15162.918,26663.422
114.17,100.0,15401.992,26902.035
115.19,100.0,16760.18,28824.34
116.21,100.0,13084.625,25666.551
117.23,100.0,12497.973,25666.551
118.249,100.0,14839.516,27588.855
119.269,100.0,14199.496,26307.32
120.289,100.0,14988.059,26948.09
121.308,100.0,16071.16,27588.859
122.328,101.0,17368.961,28870.398
123.347,100.0,17369.219,28870.398
124.367,99.0,17369.477,28870.398
125.387,100.0,17369.992,28870.398
126.406,100.0,17370.25,28870.398
127.426,100.0,17370.359,29511.168
128.446,100.0,18650.633,30151.938
129.465,100.0,18650.891,30151.938
130.485,100.0,18651.148,30151.938
131.504,101.0,18651.406,30151.938
132.524,100.0,18651.664,30151.938
133.544,100.0,17370.355,28870.398
134.563,100.0,18113.418,30774.414
135.583,100.0,20534.676,32641.852
136.602,100.1,19818.512,31396.895
137.621,100.1,17077.75,29046.797
138.641,100.0,18641.078,30291.758
139.661,101.0,18788.082,30291.758
140.68,100.0,18789.113,30291.758
141.7,99.1,18790.145,30291.758
142.719,101.0,18791.176,30291.758
143.739,99.1,18791.691,30291.758
144.758,100.0,20035.898,31536.719
145.778,100.1,20036.098,31536.719
146.797,100.1,20036.355,31536.719
147.817,100.0,20036.355,31536.719
148.837,100.0,20036.613,31536.719
149.856,101.0,18828.422,30328.336
150.876,99.0,20830.973,32818.254
151.896,100.0,20695.859,32195.773
152.916,101.0,21341.273,32905.18
153.935,100.0,21562.723,33062.832
154.955,100.0,21800.125,33351.074
155.974,100.0,22242.531,33742.855
156.994,100.0,22375.855,33862.512
158.014,100.0,22511.148,33997.684
159.034,100.0,22871.602,34358.141
160.053,100.0,19143.309,30553.758
161.073,100.0,19143.309,30553.758
162.093,100.0,19517.48,30928.27
163.113,100.0,19517.664,30928.27
164.132,100.0,19795.336,31231.32
165.152,100.0,19486.582,30897.102
166.172,100.0,19489.758,30897.102
167.191,100.0,19564.102,30971.023
168.211,100.0,19564.285,30971.023
169.231,100.0,20048.902,31595.703
170.251,101.0,20709.379,32116.27
171.27,100.0,20917.105,32324.496
172.29,99.1,21368.297,32767.707
173.31,101.0,20277.789,31595.703
174.33,99.0,20478.906,31796.738
175.349,100.0,21014.816,32332.832
176.369,100.0,21458.074,32775.91
177.389,101.0,19897.074,31176.008
178.408,99.0,20151.516,31465.398
179.428,101.0,20601.016,31880.148
180.448,99.1,20154.801,31424.055
181.468,101.0,20258.824,31528.078
182.487,99.0,19608.707,30877.961
183.507,101.0,20057.637,31326.891
184.527,100.0,20812.719,32224.754
185.547,100.0,21254.758,32524.043
186.566,99.1,21552.5,32823.332
187.586,101.0,21753.395,33022.695
188.605,100.0,22056.035,33222.156
189.624,99.1,20762.629,31907.844
190.644,100.0,21116.828,32262.043
191.664,101.0,21789.602,32970.441
192.684,100.0,22061.105,33206.574
193.704,100.0,22061.359,33206.574
194.724,100.0,20860.094,31975.754
195.744,99.1,20978.918,32070.879
196.763,101.0,21933.984,33231.641
197.783,100.0,22616.438,33812.02
198.803,100.0,23006.34,34102.211
199.823,101.0,24174.113,35262.977
200.842,100.0,24174.27,35262.977
201.862,99.0,24174.445,35262.977
202.882,101.0,15766.457,26856.59
203.901,99.1,15767.488,26856.59
204.921,100.0,15741.934,27059.051
205.941,100.0,15970.52,27059.051
206.961,100.0,15970.539,27059.051
207.981,100.0,15970.578,27059.051
209.0,101.0,15974.051,27059.051
210.02,100.0,15986.168,27059.051
211.04,100.0,15998.285,27059.051
212.06,100.0,16010.699,27059.051
213.08,100.0,16023.117,27059.051
214.099,100.0,16035.254,27059.051
215.119,100.0,16047.531,27059.051
216.139,100.0,16059.773,27059.051
217.159,100.0,16080.258,27067.668
218.179,100.0,16165.621,27141.172
219.198,100.0,16253.18,27216.895
220.218,101.0,16340.539,27292.617
221.238,99.1,16427.973,27368.34
222.257,101.0,16515.703,27444.062
223.277,100.0,16603.145,27519.785
224.297,100.0,16673.129,27580.363
225.317,99.0,16760.566,27656.086
226.337,101.0,16848.066,27731.809
227.357,100.0,16935.508,27807.531
228.377,100.0,17023.02,27883.254
229.397,100.0,17108.488,27958.977
230.416,100.0,17180.434,28019.555
231.436,100.0,17379.336,28186.523
232.456,100.0,16701.297,27498.684
233.476,101.0,17194.094,27991.48
234.496,100.0,17798.523,28648.543
235.515,100.0,18507.445,29305.605
236.535,99.1,18834.871,29634.137
237.555,100.0,18508.219,29305.605
