# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      117.293     8424.418
       1.014      100.600      201.223     8508.691
       2.034       97.000      207.086     8578.070
       3.046       94.900      332.559     8710.723
       4.066       98.100      339.508     8715.715
       5.086       95.100      358.574     8735.480
       6.106       92.100      434.910     8812.844
       7.127       89.200      567.344     8949.191
       8.147       75.500      569.574     8950.945
       9.167       81.300      570.859     8953.656
      10.187       90.200      586.492     8970.285
      11.207       99.000      647.852     9034.285
      12.227      100.000      694.516     9083.285
      13.247       99.000      780.926     9173.285
      14.267       98.000      869.098     9265.285
      15.287       99.000      957.270     9357.285
      16.305       98.200     1045.184     9449.285
      17.325       98.100     1132.926     9541.285
      18.344       99.000     1233.988     9646.285
      19.364       99.000     1363.668     9782.285
      20.384       98.000     1451.152     9873.285
      21.404       98.000     1591.660    10020.285
      22.424       98.000     1682.668    10115.285
      23.444       98.000     1825.875    10265.285
      24.464       98.000     1913.496    10356.285
      25.483       97.200     2056.324    10506.285
      26.503      100.000     2143.293    10597.285
      27.522       97.100     2287.152    10747.285
      28.542       98.100     2430.754    10897.285
      29.562       98.000     2517.207    10987.285
      30.582       98.100     2660.809    11137.285
      31.602       97.100     2804.410    11287.285
      32.622       99.000     2890.863    11378.285
      33.642       98.100     3034.465    11528.285
      34.662       97.100     3178.066    11678.285
      35.681       98.000     3321.410    11828.285
      36.701       98.000     3407.348    11917.285
      37.721       98.100     3551.207    12068.285
      38.741       98.000     3694.551    12217.285
      39.761       97.100     3838.152    12368.285
      40.781      100.000     3923.832    12457.285
      41.801       97.100     4067.434    12607.285
      42.821       98.000     4211.293    12757.285
      43.840       97.100     4355.152    12908.285
      44.860       98.100     4498.754    13058.285
      45.880       98.100     4615.719    13180.285
      46.900       98.000     4727.090    13296.285
      47.920       98.100     4870.691    13446.285
      48.940       98.100     5014.293    13596.285
      49.960       98.100     5157.895    13746.285
      50.979       97.100     5301.496    13897.285
      51.999       98.100     5444.840    14046.285
      53.019       98.000     5528.543    14134.285
      54.039       98.100     5672.660    14284.285
      55.059       98.100     5815.746    14434.285
      56.079       97.100     5959.348    14584.285
      57.099       98.100     6102.691    14734.285
      58.118       98.100     6245.520    14883.285
      59.138       97.100     6388.863    15033.285
      60.158       99.000     6471.020    15119.285
      61.178       98.000     6614.363    15268.285
      62.198       97.100     6758.223    15419.285
      63.218       97.100     6901.824    15569.285
      64.238       98.100     7045.168    15718.285
      65.258       98.100     7188.770    15869.285
      66.277       98.100     7332.887    16019.285
      67.297       97.100     7476.746    16169.285
      68.317       98.100     7620.605    16320.285
      69.335       98.200     7702.074    16405.285
      70.355       99.000     7781.707    16490.426
      71.375      101.000     7869.812    16565.441
      72.395       99.000     9094.168    23669.191
      73.415      100.000    10478.168    23669.191
      74.435      101.000    11858.168    23669.191
      75.455       99.000    13269.941    23669.191
      76.475      101.000    14669.996    23669.191
      77.495      100.000    14973.840    23669.191
      78.515      100.000    15482.551    30773.445
      79.534      100.000    16909.410    30773.445
      80.554      101.000    18371.465    30773.445
      81.574       99.000    19836.820    30773.445
      82.594      100.000    21289.305    30773.445
      83.614      100.000    22077.973    30773.445
      84.635      100.000    22455.410    41289.684
      85.655      101.000    24047.410    41289.684
      86.675       99.000    25519.953    41289.684
      87.695      101.000    27136.992    41289.684
      88.715       99.000    28782.520    41289.684
      89.735      101.000    30411.410    41289.684
      90.756      100.000    31969.410    41289.684
      91.776      101.000    32668.102    41355.617
      92.795       99.000    32682.000    41355.617
      93.815      100.000    32682.207    41355.617
      94.835      100.000    32682.207    41355.617
      95.855      100.000    32700.336    44861.031
      96.875      101.000    33258.594    44861.031
      97.895      100.000    33820.535    44861.031
      98.916       99.900    34388.164    44861.031
      99.936      100.000    34954.523    44861.031
