Elapsed_time,CPU,Real_MB,Virtual_MB
1.012,98.8,72.496,9459.227
2.03,96.3,173.504,9560.246
3.047,99.3,173.543,9560.246
4.064,100.3,173.543,9560.246
5.081,99.3,173.543,9560.246
6.098,100.3,173.543,9560.246
7.115,99.3,173.543,9560.246
8.133,99.3,173.949,9560.246
9.15,99.3,182.824,11958.633
10.167,100.2,322.477,11958.633
11.184,100.3,423.262,13479.633
12.202,101.3,3701.371,23472.434
13.222,101.3,4508.496,16282.789
14.241,101.3,5633.852,17397.789
15.258,100.3,7566.414,19329.789
16.276,99.3,8747.855,20510.418
17.293,99.3,8889.258,20639.785
18.31,100.3,8894.953,20639.785
19.327,99.3,8897.27,20639.785
20.344,100.3,8898.891,20639.785
21.361,101.3,8900.113,20639.785
22.378,99.3,8900.152,20639.785
23.395,100.3,8900.234,20639.785
24.412,99.3,9210.328,20930.766
25.43,101.3,9828.258,21485.949
26.447,100.3,9908.98,21543.695
27.465,99.2,9895.141,21522.086
28.482,100.3,9936.055,21565.234
29.499,99.3,10011.656,21630.332
30.517,101.3,10107.301,21722.59
31.534,100.3,10374.59,21950.602
32.551,99.3,10440.059,21972.273
33.568,100.3,10898.281,22443.559
34.585,100.3,11856.84,23299.426
35.603,100.3,11066.574,22443.559
36.62,98.3,11389.68,22683.898
37.637,100.3,11634.715,22926.031
38.654,100.3,10877.691,22200.973
39.671,99.3,11415.375,22705.758
40.688,101.3,11190.406,22480.566
41.705,99.3,11827.789,23072.254
42.723,100.3,11322.594,22555.484
43.74,100.3,10993.414,22214.516
44.757,100.3,12192.441,23499.488
45.774,100.3,11002.332,22170.664
46.791,99.3,11131.273,22299.492
47.809,100.3,11486.285,22557.145
48.826,100.3,11570.383,22619.133
49.843,100.3,11604.207,22629.531
50.86,100.3,11756.582,22760.02
51.877,99.3,11787.531,22779.555
52.894,100.3,11759.375,22725.586
53.911,100.3,12627.648,23627.07
54.929,99.3,12010.559,22962.938
55.946,101.3,11883.895,22804.703
56.964,99.2,12155.633,23076.184
57.981,100.3,12357.559,23278.078
58.998,99.3,12611.387,23531.406
60.016,100.3,13615.219,24535.41
61.033,100.3,12829.457,23749.406
62.05,100.3,12702.445,23621.523
63.067,100.3,12147.742,23109.539
64.084,100.3,13041.871,23960.133
65.101,100.3,12531.102,23449.301
66.119,100.3,13050.617,24035.316
67.136,99.3,12425.324,23343.426
68.153,100.3,12421.16,23339.184
69.17,100.3,12724.137,23642.234
70.187,100.3,12573.059,23491.121
71.204,99.3,12485.23,23401.035
72.222,101.3,12732.684,23740.398
73.239,99.3,12577.688,23492.992
74.256,100.3,12669.906,23584.949
75.273,100.3,12950.602,23864.867
76.29,100.3,13408.418,24416.172
77.308,99.3,12217.676,23131.281
78.325,100.3,12604.977,23558.016
79.342,99.3,12379.91,23293.426
80.359,101.2,12955.879,23880.359
81.376,100.3,12544.379,23456.117
82.394,99.3,12682.445,23594.109
83.411,100.3,12309.891,23221.523
84.428,100.3,12309.891,23221.523
85.445,100.3,12144.641,23056.273
86.462,100.3,12144.641,23056.273
87.48,100.2,12144.641,23056.273
88.498,99.3,12144.641,23056.273
89.515,100.3,12144.641,23056.273
90.532,99.3,12068.805,22980.438
91.549,100.3,12068.805,22980.438
92.566,100.3,12068.805,22980.438
93.584,100.3,12068.805,22980.438
94.601,100.3,12068.805,22980.438
95.618,99.3,12068.805,22980.438
96.635,100.3,12068.805,22980.438
97.652,101.3,12068.805,22980.438
98.67,100.3,12068.805,22980.438
99.687,99.3,12068.805,22980.438
100.704,100.3,12068.805,22980.438
101.721,100.3,12068.805,22980.438
102.738,100.3,12068.805,22980.438
103.756,99.3,12068.805,22980.438
104.773,100.3,12068.805,22980.438
105.79,100.3,12068.805,22980.438
106.807,100.3,12068.805,22980.438
107.824,100.3,12068.805,22980.438
108.842,99.3,12068.805,22980.438
109.859,100.3,12068.805,22980.438
110.876,100.3,12068.805,22980.438
111.893,100.3,12068.805,22980.438
112.91,99.3,12068.805,22980.438
113.929,100.1,12068.805,22980.438
114.947,100.2,12068.805,22980.438
115.965,100.2,12068.805,22980.438
116.983,100.2,12068.805,22980.438
118.0,100.2,12068.805,22980.438
119.018,99.3,12068.805,22980.438
120.035,100.3,12068.805,22980.438
121.052,100.3,12068.805,22980.438
122.07,100.3,12068.805,22980.438
123.087,100.2,12068.805,22980.438
124.104,100.3,12068.805,22980.438
125.121,99.3,12068.805,22980.438
126.138,100.3,12068.805,22980.438
127.156,101.3,12068.805,22980.438
128.173,99.3,12068.805,22980.438
129.19,100.3,12068.805,22980.438
130.207,100.3,12068.816,22980.438
131.225,100.3,12068.816,22980.438
132.242,99.3,12068.816,22980.438
133.259,100.3,12068.816,22980.438
134.276,100.3,12068.816,22980.438
135.293,100.3,12068.816,22980.438
136.31,99.3,12068.816,22980.438
137.328,100.2,12068.816,22980.438
138.344,100.4,12068.816,22980.438
139.361,100.3,12069.367,22980.438
140.378,99.3,12069.367,22980.438
141.396,100.3,12069.367,22980.438
142.413,100.3,12069.367,22980.438
143.43,100.3,12069.367,22980.438
144.447,100.3,12069.367,22980.438
145.464,99.3,12069.367,22980.438
146.481,100.3,12069.367,22980.438
147.5,100.2,12070.656,22980.438
148.517,100.3,12070.656,22980.438
149.534,99.3,12070.656,22980.438
150.551,100.3,12070.656,22980.438
151.569,100.2,12070.656,22980.438
152.586,101.3,12070.801,22980.438
153.603,100.3,12070.801,22980.438
154.62,99.3,12070.801,22980.438
155.637,100.3,12070.801,22980.438
156.654,100.3,12070.801,22980.438
157.672,100.3,12070.801,22980.438
158.689,100.3,12070.801,22980.438
159.706,99.3,12070.801,22980.438
160.723,99.3,12070.805,22980.438
161.74,101.3,12070.805,22980.438
162.757,99.3,12070.805,22980.438
163.774,100.3,12070.867,22980.438
164.792,100.3,12209.973,23128.199
165.809,100.3,13033.715,23981.945
166.826,100.3,13336.27,24286.73
167.843,99.3,13337.086,24288.082
168.86,99.3,13337.09,24288.082
169.877,100.3,13337.09,24288.082
170.895,100.3,13337.09,24288.082
171.912,100.3,13381.695,24373.684
172.929,99.3,13383.695,24373.684
173.946,100.3,13387.695,24373.684
174.964,100.2,13389.695,24373.684
175.981,100.3,13391.695,24373.684
176.999,101.3,13341.297,24522.289
178.016,101.3,13341.539,24522.289
179.033,99.3,13341.781,24522.289
180.05,100.3,13341.781,24522.289
181.067,100.3,13341.781,24522.289
182.084,100.3,13341.785,24522.289
183.101,100.3,13341.785,24522.289
184.118,100.3,13341.785,24522.289
185.135,99.3,13341.992,24522.289
186.152,100.3,13341.992,24522.289
187.169,100.3,13341.992,24522.289
188.186,100.3,13342.004,24522.289
189.204,99.3,13342.004,24522.289
190.221,100.3,13342.004,24522.289
191.238,100.3,13342.004,24522.289
192.255,100.3,13342.004,24522.289
193.272,100.4,13342.004,24522.289
194.288,99.4,13342.004,24522.289
195.305,100.3,13342.004,24522.289
196.322,100.3,13342.004,24522.289
197.338,99.4,13342.004,24522.289
198.355,100.3,13342.004,24522.289
199.372,100.3,13342.004,24522.289
200.39,100.3,13342.004,24522.289
201.407,100.3,13342.004,24522.289
202.424,100.3,13342.004,24522.289
203.441,100.3,13342.004,24522.289
204.458,100.3,13342.004,24522.289
205.475,100.3,13342.004,24522.289
206.491,99.4,13342.004,24522.289
207.509,100.2,13342.004,24522.289
208.526,100.3,13342.004,24522.289
209.543,100.3,13342.004,24522.289
210.56,99.3,13342.004,24522.289
211.577,100.3,13342.004,24522.289
212.594,100.3,13342.004,24522.289
213.611,100.3,13342.004,24522.289
214.629,100.3,13342.004,24522.289
215.646,99.3,13342.004,24522.289
216.663,100.3,13342.004,24522.289
217.68,100.3,13342.004,24522.289
218.698,100.3,13342.004,24522.289
219.715,100.3,13342.004,24522.289
220.732,99.3,13350.066,24522.289
221.749,100.3,13350.066,24522.289
222.766,100.3,13350.066,24522.289
223.783,100.3,13350.066,24522.289
224.801,100.3,13350.066,24522.289
225.818,100.3,13350.066,24522.289
226.835,99.3,13350.066,24522.289
227.852,100.3,13350.066,24522.289
228.87,100.3,13350.078,24522.289
229.887,100.3,13350.078,24522.289
230.904,99.3,13350.078,24522.289
231.921,100.3,13350.078,24522.289
232.938,100.3,13350.078,24522.289
233.955,100.3,13350.078,24522.289
234.973,99.3,13350.078,24522.289
235.99,100.3,13350.078,24522.289
237.008,100.2,13350.078,24522.289
238.024,100.3,13350.078,24522.289
239.041,99.4,13350.078,24522.289
240.058,101.3,13350.078,24522.289
241.075,99.3,13350.309,24522.289
242.092,100.3,13350.562,24522.289
243.109,99.3,13350.562,24522.289
244.126,100.3,13350.562,24522.289
245.143,100.3,13350.562,24522.289
246.16,100.3,13409.125,24691.723
247.177,100.2,13439.121,24691.719
248.195,100.3,13441.121,24691.719
249.21,100.5,13445.121,24691.719
250.227,99.3,13447.121,24691.719
251.244,100.3,13451.121,24691.719
252.261,99.3,13350.359,24521.785
253.279,85.5,0.0,0.0
