Elapsed_time,CPU,Real_MB,Virtual_MB
1.042,93.0,161.191,8526.449
2.043,99.9,170.91,8536.238
3.044,98.9,170.91,8536.238
4.044,98.9,170.91,8536.238
5.045,99.9,170.91,8536.238
6.045,99.9,170.91,8536.238
7.046,99.9,170.91,8536.238
8.046,98.9,170.91,8536.238
9.047,101.0,170.91,8536.238
10.047,99.0,170.91,8536.238
11.048,99.0,170.91,8536.238
12.048,100.0,170.91,8536.238
13.049,99.9,170.91,8536.238
14.049,100.0,170.91,8536.238
15.05,99.0,170.91,8536.238
16.05,100.0,170.91,8536.238
17.051,98.9,170.91,8536.238
18.051,99.9,170.91,8536.238
19.052,99.0,170.91,8536.238
20.052,100.9,170.91,8536.238
21.053,99.0,170.91,8536.238
22.053,99.0,170.91,8536.238
23.054,100.9,170.91,8536.238
24.054,99.0,170.91,8536.238
25.055,100.0,170.91,8536.238
26.055,98.9,170.91,8536.238
27.056,98.0,176.699,15192.586
28.056,100.9,215.113,15192.586
29.057,99.9,439.98,15192.586
30.057,98.9,660.566,15339.082
31.058,100.9,762.66,18243.082
32.058,101.3,1613.371,43468.086
33.059,101.3,10228.152,43468.086
34.059,101.3,17539.965,43468.086
35.06,101.3,24590.117,40618.953
36.06,101.3,10508.207,23534.41
37.061,99.9,10882.238,23924.41
38.061,99.9,12916.895,26050.41
39.062,100.9,14678.785,27891.41
40.062,98.9,16730.457,30035.41
41.063,100.9,18457.543,31840.41
42.064,99.9,20455.816,33928.41
43.064,90.0,20514.098,33986.91
44.065,88.0,20832.898,34300.723
45.065,100.9,20950.613,34406.793
46.066,99.9,21037.754,34406.793
47.066,99.9,21044.715,34406.793
48.067,99.9,21076.426,34406.793
49.067,99.9,21102.207,34406.793
50.068,99.9,21130.422,34406.793
51.068,99.9,21137.535,34406.793
52.069,100.9,21144.457,34406.793
53.069,99.9,21151.418,34406.793
54.07,99.9,21155.543,34406.793
55.07,100.0,21204.23,34406.793
56.071,100.9,21230.527,34406.793
57.071,99.9,21251.668,34406.793
58.072,99.9,21261.465,34406.793
59.072,99.9,21261.98,34406.793
60.073,99.9,21265.074,34406.793
61.073,100.0,21267.91,34406.793
62.074,99.9,21270.488,34406.793
63.074,99.9,21774.543,35016.074
64.075,100.9,22744.824,36229.973
65.075,99.0,23709.68,37435.855
66.076,101.0,24677.594,38645.875
67.076,99.0,25643.844,39851.758
68.077,101.0,26610.918,41059.773
69.077,100.0,27164.273,41625.156
70.078,99.9,28067.844,42730.129
71.078,99.9,29044.91,43956.051
72.079,99.9,29811.57,44883.121
73.079,100.9,29946.547,44883.121
74.08,99.9,30088.086,44883.121
75.08,99.9,30276.359,44927.637
76.081,99.9,30386.488,44943.398
77.081,99.9,30447.824,44951.527
78.082,99.9,30525.672,44967.289
79.082,99.9,30596.09,44975.418
80.083,99.9,30633.668,44975.418
81.083,99.9,30678.598,44975.418
82.084,100.9,30736.59,44995.246
83.084,99.9,30791.422,45016.824
84.085,99.9,30837.551,44995.246
85.085,99.9,30915.152,44995.246
86.086,99.9,31199.848,45310.539
87.086,100.9,31185.172,45205.441
88.087,98.9,31395.422,45415.637
89.087,100.9,31395.727,45415.637
90.088,99.9,31815.398,45835.133
91.088,99.9,31262.043,45183.379
92.089,99.9,31914.254,45724.977
93.089,99.9,32497.637,46195.863
94.09,99.9,33052.215,46634.711
95.091,99.9,32706.879,46279.672
96.091,99.9,32898.785,46460.195
97.092,68.0,33188.82,46668.262
98.092,67.0,33405.453,46909.812
99.093,99.9,32126.867,45564.379
100.093,99.9,32754.457,46209.324
101.094,99.9,33119.512,46492.012
102.094,100.0,33622.723,46889.359
103.095,99.9,33253.555,46515.883
104.095,99.9,33785.637,47043.531
105.096,100.9,34185.039,47342.816
106.096,99.0,33193.539,46317.988
107.097,99.9,33672.133,46764.855
108.097,100.9,34245.793,47305.309
109.098,99.9,34548.293,47494.465
110.098,99.9,33743.922,46690.043
111.099,100.9,33926.898,46872.641
112.099,100.0,34197.445,47043.844
113.1,99.9,34224.816,47032.184
114.1,99.9,34492.113,47295.09
115.101,99.9,35086.953,47877.73
116.101,99.9,35668.461,48354.309
117.102,99.9,34114.953,46799.281
118.102,99.9,34558.508,47271.984
119.103,100.9,34976.723,47524.523
120.103,99.9,34368.906,46898.965
121.104,99.9,34464.594,46993.977
122.104,99.9,35160.496,47674.852
123.105,99.9,34670.453,47106.402
124.105,99.9,35164.723,47599.797
125.106,100.9,36041.684,48474.562
126.107,99.9,36463.332,48747.406
127.107,98.9,34740.941,47011.398
128.108,100.9,34918.91,47204.637
129.108,99.9,35519.059,47718.652
130.109,99.9,35128.5,47260.07
131.109,99.9,35317.824,47447.637
132.11,99.9,35818.023,47911.484
133.11,99.9,36631.879,48725.852
134.111,100.9,35812.848,47797.844
135.111,98.9,35987.406,47964.402
136.112,100.9,36621.664,48554.047
137.112,99.9,35845.531,47727.727
138.113,99.9,36079.922,47960.746
139.113,99.9,36249.023,48122.152
140.114,99.9,36255.078,48091.523
141.114,99.9,36939.852,48775.621
142.115,99.9,37159.238,48989.668
143.115,100.9,37425.473,49235.715
144.116,99.9,35966.406,47770.453
145.116,99.9,36496.75,48297.594
146.117,99.9,36892.949,48689.566
147.118,100.9,36048.5,47866.461
148.118,99.9,36584.422,48375.727
149.119,99.9,37070.652,48860.336
150.119,98.9,36090.824,47877.652
151.12,100.9,36123.602,47909.656
152.12,99.9,36723.805,48565.918
153.121,99.9,37027.414,48806.004
154.121,99.9,36498.926,48277.504
155.122,99.9,36720.117,48496.977
156.122,99.9,37097.852,48874.73
157.123,99.9,36567.691,48349.883
158.123,100.9,37566.211,49341.707
159.124,99.9,37777.48,49551.941
160.124,99.9,36816.082,48650.188
161.125,100.9,37565.203,49333.004
162.125,98.9,37779.176,49546.41
163.126,100.9,38032.047,49791.82
164.126,98.9,35668.895,47424.582
165.127,100.9,35807.77,47561.73
166.127,99.9,35887.66,47625.738
167.128,98.9,35700.941,47440.059
168.128,100.9,35974.117,47694.906
169.129,99.9,36013.07,47726.91
170.13,99.9,35810.445,47502.188
171.13,99.9,35986.109,47677.363
172.131,100.9,36134.078,47825.297
173.131,98.9,35796.336,47465.703
174.132,100.9,36728.656,48398.113
175.132,99.9,36898.664,48567.215
176.133,99.9,37740.133,49484.082
177.133,99.9,36214.301,47880.688
178.134,100.9,36711.199,48393.742
179.134,98.9,37017.094,48678.879
180.135,100.9,36087.723,47748.914
181.135,99.9,36250.379,47911.402
182.136,99.9,36857.598,48517.0
183.136,99.9,37320.438,49020.969
184.137,99.9,36219.938,47875.871
185.137,99.9,36358.043,48013.945
186.138,99.9,36541.102,48195.148
187.138,100.9,36271.066,47923.383
188.139,99.9,36423.91,48075.863
189.139,100.0,37036.609,48688.648
190.14,99.9,36633.039,48407.223
191.14,99.9,37393.875,49045.68
192.141,99.9,37649.195,49300.648
193.142,99.9,36631.227,48279.738
194.142,100.9,36754.668,48401.484
195.143,99.9,36818.676,48465.492
196.143,99.9,37416.367,49064.121
197.144,99.9,36623.637,48338.066
198.144,99.9,36861.586,48505.203
199.145,99.9,36446.926,48087.43
200.145,99.9,36599.34,48240.016
201.146,100.9,37528.121,49168.613
202.146,99.9,36615.855,48255.578
203.147,99.9,36849.777,48487.73
204.147,99.9,37334.66,48972.648
205.148,99.9,38063.969,49760.969
206.148,99.9,36832.863,48470.043
207.149,99.9,37009.422,48645.023
208.149,100.9,37165.574,48798.773
209.15,98.9,36786.445,48431.68
210.15,100.9,37260.168,48891.754
211.151,99.9,37805.859,49439.414
212.151,99.9,36731.273,48359.07
213.152,99.9,37353.047,48980.941
214.152,99.9,37515.938,49143.723
215.153,100.9,38436.836,50151.105
216.153,99.0,37024.797,48649.086
217.154,100.9,37241.215,48863.762
218.155,99.9,36816.609,48434.406
219.155,99.9,36994.391,48612.117
220.156,99.9,37107.336,48724.238
221.156,99.9,36854.102,48470.68
222.157,99.9,37448.961,49065.621
223.157,100.9,37028.5,48644.602
224.158,98.9,35953.102,47568.613
225.158,100.9,36163.297,47778.809
226.159,100.0,36163.297,47778.809
227.159,100.0,36163.297,47778.809
228.16,100.0,36163.297,47778.809
229.16,100.0,35953.102,47568.613
230.16,99.9,35953.102,47568.613
231.161,100.9,35953.102,47568.613
232.162,99.9,35953.102,47568.613
233.162,99.9,35953.102,47568.613
234.163,99.9,35953.102,47568.613
235.163,99.9,35953.102,47568.613
236.164,99.9,35953.102,47568.613
237.164,99.9,35953.102,47568.613
238.165,100.9,35953.102,47568.613
239.165,99.9,35742.906,47358.418
240.166,99.9,35742.906,47358.418
241.166,99.9,35742.906,47358.418
242.167,99.9,35742.906,47358.418
243.167,99.9,35742.906,47358.418
244.168,100.9,35742.906,47358.418
245.168,99.9,35742.906,47358.418
246.169,99.9,35742.906,47358.418
247.169,99.9,35742.906,47358.418
248.17,99.9,35742.906,47358.418
249.17,99.9,35742.906,47358.418
250.171,99.9,35742.906,47358.418
251.172,100.9,35742.906,47358.418
252.172,99.9,35742.906,47358.418
253.173,99.9,35742.906,47358.418
254.173,99.9,35742.906,47358.418
255.174,99.9,35742.906,47358.418
256.174,99.9,35742.906,47358.418
257.175,99.9,35742.906,47358.418
258.175,99.9,35742.906,47358.418
259.176,99.9,35742.906,47358.418
260.176,100.9,35742.906,47358.418
261.177,99.9,35742.906,47358.418
262.177,99.9,35742.906,47358.418
263.178,99.9,35742.906,47358.418
264.178,99.9,35742.906,47358.418
265.179,99.9,35742.906,47358.418
266.179,99.9,35742.906,47358.418
267.18,99.9,35742.906,47358.418
268.18,100.9,35742.906,47358.418
269.181,99.9,35742.906,47358.418
270.181,99.9,35742.906,47358.418
271.182,99.9,35742.906,47358.418
272.183,99.9,35742.906,47358.418
273.183,99.9,35742.906,47358.418
274.184,99.9,35742.906,47358.418
275.184,99.9,35742.906,47358.418
276.185,99.9,35742.906,47358.418
277.185,100.9,35742.906,47358.418
278.186,99.9,35742.906,47358.418
279.186,100.9,35742.906,47358.418
280.187,99.9,35742.906,47358.418
281.187,99.9,35742.906,47358.418
282.188,99.9,35742.906,47358.418
283.188,99.9,35742.906,47358.418
284.189,99.9,35742.906,47358.418
285.189,99.9,35742.906,47358.418
286.19,100.9,35742.906,47358.418
287.19,99.9,35742.906,47358.418
288.191,99.9,35742.906,47358.418
289.191,99.9,35742.906,47358.418
290.192,99.9,35742.906,47358.418
291.193,99.9,35742.906,47358.418
292.193,99.9,35742.906,47358.418
293.194,99.9,35742.906,47358.418
294.194,100.9,35742.906,47358.418
295.195,99.9,35742.906,47358.418
296.195,99.9,35742.906,47358.418
297.196,99.9,35742.906,47358.418
298.196,99.9,35742.906,47358.418
299.197,99.9,35742.906,47358.418
300.197,99.9,35742.906,47358.418
301.198,99.9,35742.906,47358.418
302.198,99.9,35742.906,47358.418
303.199,100.9,35742.906,47358.418
304.199,99.9,35742.906,47358.418
305.2,99.9,35742.906,47358.418
306.2,99.9,35742.906,47358.418
307.201,99.9,35742.906,47358.418
308.201,99.9,35742.906,47358.418
309.202,99.9,35742.906,47358.418
310.202,100.9,35742.906,47358.418
311.203,99.9,35742.906,47358.418
312.204,99.9,35742.906,47358.418
313.204,99.9,35742.906,47358.418
314.205,99.9,35742.906,47358.418
315.205,99.9,35742.906,47358.418
316.206,99.9,35742.906,47358.418
317.206,99.9,35742.906,47358.418
318.207,100.9,35742.906,47358.418
319.207,99.9,35742.906,47358.418
320.208,99.9,35742.906,47358.418
321.208,100.0,35742.906,47358.418
322.209,100.0,35742.906,47358.418
323.209,100.0,35742.906,47358.418
324.21,100.0,35742.906,47358.418
325.21,100.0,35742.906,47358.418
