Elapsed_time,CPU,Real_MB,Virtual_MB
1.01,90.1,71.832,9459.121
2.026,96.5,163.188,9550.574
3.046,99.0,172.73,9560.238
4.067,100.0,172.73,9560.238
5.087,99.0,172.73,9560.238
6.108,100.0,172.73,9560.238
7.128,99.0,172.73,9560.238
8.149,100.0,172.73,9560.238
9.17,99.0,172.73,9560.238
10.19,100.0,172.73,9560.238
11.211,99.0,172.73,9560.238
12.231,99.9,172.73,9560.238
13.252,99.0,172.73,9560.238
14.272,99.9,172.73,9560.238
15.293,99.0,172.73,9560.238
16.313,100.0,172.73,9560.238
17.334,99.9,172.73,9560.238
18.354,99.9,172.73,9560.238
19.375,98.0,172.73,9560.238
20.395,100.0,172.73,9560.238
21.416,99.0,172.73,9560.238
22.436,100.0,172.73,9560.238
23.457,99.9,202.242,13244.051
24.478,99.9,491.867,13467.051
25.499,101.3,1838.766,20837.344
26.521,101.3,7799.355,20837.344
27.542,101.3,3214.816,14660.777
28.563,99.9,5010.48,16536.777
29.585,97.9,5282.055,16787.219
30.605,100.9,5298.09,16786.715
31.626,98.9,5395.016,16786.715
32.647,99.9,5450.055,16786.715
33.668,100.9,5735.152,17021.004
34.689,97.9,6389.105,17715.102
35.71,100.9,6016.312,17272.973
36.731,99.9,6230.754,17366.035
37.752,100.9,6263.105,17388.621
38.773,99.9,6495.656,17615.238
39.794,99.9,6637.824,17754.156
40.814,98.9,6559.453,17611.656
41.835,100.9,6771.809,17801.547
42.856,99.9,6783.133,17738.25
43.877,99.9,7558.73,18508.637
44.898,100.9,7118.562,17995.441
45.919,98.9,7267.434,18126.367
46.94,100.9,7445.387,18325.828
47.961,99.9,7482.59,18325.828
48.982,99.9,7019.918,17854.406
50.003,99.9,6949.285,17798.684
51.024,100.9,7261.133,18139.121
52.045,99.9,7137.957,17966.141
53.066,99.9,7073.566,17895.652
54.087,99.9,7877.309,18756.039
55.108,99.9,7482.938,18298.574
56.129,99.9,7598.199,18399.305
57.15,100.9,7506.262,18307.305
58.171,99.9,7704.648,18568.254
59.192,99.9,8832.43,19931.938
60.212,100.9,9789.379,20714.785
61.233,99.9,9915.242,20714.785
62.254,98.9,7325.629,18125.086
63.275,99.9,7858.773,18646.984
64.295,100.9,7861.918,18646.984
65.316,99.9,8007.617,19168.879
66.337,99.9,7369.172,18153.598
67.358,99.9,6915.461,17699.855
68.379,99.9,6915.461,17699.855
69.4,100.9,6915.461,17699.855
70.421,99.9,6915.461,17699.855
71.441,99.9,6915.461,17699.855
72.461,100.0,6915.461,17699.855
73.482,100.0,6915.461,17699.855
74.503,99.9,6915.461,17699.855
75.523,99.9,6915.461,17699.855
76.544,99.9,6915.461,17699.855
77.565,100.9,6915.461,17699.855
78.586,99.9,6915.461,17699.855
79.607,99.9,6915.461,17699.855
80.628,99.9,6915.461,17699.855
81.648,99.9,6915.461,17699.855
82.669,99.9,6915.461,17699.855
83.69,100.9,6915.461,17699.855
84.711,99.9,6915.461,17699.855
85.731,99.9,6915.461,17699.855
86.752,99.9,6915.461,17699.855
87.773,99.9,6915.684,17699.855
88.794,99.9,6916.336,17701.207
89.815,99.9,6916.465,17701.203
90.835,99.9,6916.465,17701.203
91.854,101.3,6920.426,17935.414
92.868,100.6,6920.426,17935.414
93.889,99.9,6920.547,17935.414
94.91,99.9,6920.547,17935.414
95.931,100.8,6920.656,17935.414
96.952,99.9,6920.656,17935.414
97.973,100.0,6920.656,17935.414
98.994,99.9,6920.656,17935.414
100.015,99.9,6920.656,17935.414
101.036,100.9,6920.656,17935.414
102.056,99.9,6920.656,17935.414
103.077,99.9,6920.656,17935.414
104.099,99.9,6920.656,17935.414
105.12,99.9,6920.656,17935.414
106.14,99.9,6920.656,17935.414
107.161,99.9,6920.656,17935.414
108.181,101.0,6920.656,17935.414
109.202,99.9,6920.656,17935.414
110.223,99.9,6920.656,17935.414
111.244,99.9,6920.656,17935.414
112.264,99.9,6920.656,17935.414
113.285,99.9,6920.656,17935.414
114.306,99.9,6920.656,17935.414
115.326,100.9,6920.793,17935.41
116.347,91.1,0.0,0.0
