Elapsed_time,CPU,Real_MB,Virtual_MB
1.013,97.7,125.625,9450.41
2.033,95.1,205.828,9532.293
3.053,97.1,225.594,9551.75
4.072,93.2,315.805,9642.148
5.092,88.2,334.918,9669.004
6.112,83.3,358.094,9694.5
7.134,90.1,370.949,9773.664
8.154,99.0,404.289,9802.785
9.174,100.0,404.289,9802.785
10.194,101.0,404.418,9802.785
11.213,99.1,423.324,9822.113
12.233,99.0,423.504,9822.113
13.253,100.0,423.504,9822.113
14.272,99.1,423.504,9822.113
15.292,100.0,423.504,9822.113
16.312,100.0,423.504,9822.113
17.331,100.0,423.504,9822.113
18.351,99.0,423.504,9822.113
19.371,100.0,423.504,9822.113
20.391,99.0,423.504,9822.113
21.411,100.0,423.504,9822.113
22.43,99.0,423.504,9822.113
23.45,100.0,423.504,9822.113
24.47,99.0,423.504,9822.113
25.49,100.0,423.504,9822.113
26.509,99.1,423.504,9822.113
27.529,100.0,460.57,15107.648
28.548,100.1,594.855,15107.648
29.566,100.2,835.348,15133.648
30.585,100.0,843.855,15371.648
31.605,100.0,861.129,15864.648
32.625,100.0,897.223,16887.648
33.645,100.0,971.73,19008.648
34.665,100.0,1126.418,23407.648
35.684,101.3,4122.863,38343.219
36.704,101.3,12860.363,38343.219
37.724,101.3,12675.648,27798.695
38.743,101.3,8938.809,22903.785
39.763,100.0,10448.656,24414.281
40.783,101.0,11935.977,25901.281
41.803,99.0,14064.219,28029.281
42.823,101.0,15515.703,29481.281
43.843,99.0,16440.629,30407.516
44.863,100.0,16553.516,30466.586
45.883,101.0,18591.629,38280.527
46.903,99.0,20751.629,38280.527
47.923,101.0,22915.629,38280.527
48.943,99.0,24367.895,38280.527
49.963,100.0,24367.895,38280.527
50.982,101.0,24835.695,39389.684
52.002,100.0,25367.695,39389.684
53.022,100.0,17689.668,31575.742
54.041,100.1,17689.668,31575.742
55.061,100.0,18059.441,31945.461
56.08,100.0,18484.984,32781.184
57.1,100.0,19692.289,33713.191
58.12,100.0,18928.527,32941.922
59.14,100.0,19626.523,33501.512
60.16,100.0,19899.527,33767.387
61.179,100.0,19944.059,33767.387
62.199,100.0,19991.477,33767.387
63.219,101.0,20336.82,34085.996
64.239,99.0,19243.676,32968.973
65.258,100.0,19422.043,33147.465
66.278,101.0,19625.594,33394.582
67.298,99.1,20081.977,33807.473
68.317,101.0,20468.105,34262.34
69.337,99.1,21220.203,34964.34
70.357,100.0,21380.637,35106.059
71.376,101.0,21496.812,35221.926
72.396,89.2,21496.824,35221.926
73.414,100.2,21496.824,35221.926
74.432,100.2,21496.824,35221.926
75.449,99.2,21496.824,35221.926
76.467,100.2,21496.824,35221.926
77.485,100.2,21496.824,35221.926
78.503,99.2,21496.824,35221.926
79.521,100.2,21496.824,35221.926
80.539,100.2,21496.824,35221.926
81.556,99.3,21496.824,35221.926
82.574,100.2,21496.824,35221.926
83.592,101.2,21496.824,35221.926
84.61,99.2,21496.824,35221.926
85.629,100.1,21496.824,35221.926
86.647,100.2,21496.824,35221.926
87.665,99.2,21496.824,35221.926
88.683,100.2,21496.824,35221.926
89.701,100.2,21496.824,35221.926
90.719,100.2,21496.824,35221.926
91.737,100.2,21496.824,35221.926
92.755,100.2,21496.824,35221.926
93.773,99.2,21496.824,35221.926
94.791,100.2,21496.824,35221.926
95.809,100.2,21496.824,35221.926
96.827,99.2,21496.824,35221.926
97.844,100.2,21496.824,35221.926
98.862,101.2,21496.824,35221.926
99.88,99.2,21496.824,35221.926
100.898,100.2,21496.824,35221.926
101.917,99.2,21496.824,35221.926
102.935,100.2,21496.824,35221.926
103.953,100.2,21496.824,35221.926
104.971,100.2,21496.824,35221.926
105.989,99.2,21496.824,35221.926
107.007,101.2,21496.824,35221.926
108.025,100.2,21496.824,35221.926
109.043,99.2,21496.824,35221.926
110.061,100.2,21496.824,35221.926
111.079,100.2,21496.824,35221.926
112.097,99.2,21496.824,35221.926
113.115,100.2,21496.824,35221.926
114.133,100.2,21496.824,35221.926
115.151,99.2,21496.824,35221.926
116.169,101.1,21496.824,35221.926
117.187,99.2,21496.824,35221.926
118.205,100.2,21496.824,35221.926
119.223,100.2,21496.824,35221.926
120.241,100.2,21496.824,35221.926
