Elapsed_time,CPU,Real_MB,Virtual_MB
1.013,95.8,127.895,9450.414
2.031,98.3,208.031,9532.141
3.051,94.1,227.867,9551.75
4.07,93.2,307.285,9632.09
5.091,87.2,336.66,9668.398
6.111,87.2,360.246,9694.199
7.132,84.2,364.484,9762.625
8.153,100.0,395.375,9793.121
9.172,99.0,404.848,9802.785
10.192,98.1,404.918,9802.785
11.212,100.0,404.918,9802.785
12.232,100.0,404.918,9802.785
13.251,100.0,423.922,9822.113
14.271,98.1,431.652,10829.984
15.291,101.0,511.336,10901.984
16.311,100.0,522.938,11193.984
17.331,100.0,538.828,11602.984
18.351,101.3,1302.094,12274.652
19.371,100.0,1774.195,12764.652
20.391,101.0,3131.023,14121.246
21.41,100.0,4151.035,15138.691
22.43,99.0,3133.773,14121.246
23.45,101.0,4488.398,15477.84
24.47,100.0,4489.43,15477.84
25.49,100.0,4490.152,15477.84
26.51,100.0,5167.023,16156.137
27.529,100.0,5167.797,16156.137
28.549,100.0,4490.383,15477.84
29.569,100.0,4500.633,15488.898
30.588,100.0,4838.969,15836.828
31.609,100.9,5114.445,16101.879
32.63,99.0,3885.02,14872.453
33.649,101.0,4182.996,15239.191
34.669,100.0,4366.203,15353.137
35.689,100.0,4873.359,15848.457
36.709,100.0,4633.18,15617.801
37.729,100.0,4811.77,15853.359
38.749,100.0,5322.449,16281.055
39.769,100.0,4641.516,15598.746
40.789,100.0,4642.695,15598.746
41.809,100.0,5234.508,16194.848
42.828,101.0,5277.926,16233.801
43.848,99.0,5233.602,16189.504
44.868,100.0,5478.93,16435.738
45.888,100.0,5613.875,16637.391
46.907,100.1,6129.035,17085.281
47.925,100.1,6228.691,17186.109
48.945,99.1,4953.973,15910.332
49.965,101.0,4954.48,15910.332
50.982,99.3,4954.48,15910.332
52.0,100.3,4954.48,15910.332
53.017,99.3,4954.48,15910.332
54.034,99.3,4954.48,15910.332
55.052,100.3,4954.48,15910.332
56.069,99.3,4954.48,15910.332
57.087,99.2,4954.496,15910.332
58.105,100.2,4954.496,15910.332
59.123,99.3,4954.496,15910.332
60.14,100.3,4954.496,15910.332
61.157,100.3,4954.496,15910.332
62.175,98.3,4954.496,15910.332
63.194,100.1,4954.496,15910.332
64.211,99.3,4954.496,15910.332
65.229,100.3,4954.496,15910.332
66.246,100.3,4954.496,15910.332
67.264,99.2,4954.496,15910.332
68.281,99.3,4954.496,15910.332
69.298,100.3,4954.496,15910.332
70.316,99.3,4954.496,15910.332
71.333,99.3,4954.496,15910.332
72.351,100.2,4954.496,15910.332
73.368,100.3,4954.496,15910.332
74.386,99.3,4954.496,15910.332
75.403,99.3,4954.496,15910.332
76.42,99.3,4954.496,15910.332
77.438,101.2,4954.496,15910.332
78.455,99.3,4954.496,15910.332
79.473,100.3,4954.496,15910.332
80.49,99.3,4954.496,15910.332
81.508,99.2,4954.496,15910.332
82.525,99.3,4954.496,15910.332
83.543,100.3,4954.496,15910.332
84.56,100.3,4954.496,15910.332
85.577,99.3,4954.496,15910.332
86.595,99.3,4954.496,15910.332
87.612,99.3,4956.906,15910.332
88.632,99.1,4956.906,15910.332
89.649,100.3,4956.906,15910.332
90.667,99.3,4956.906,15910.332
91.684,100.3,4956.906,15910.332
92.701,99.3,4956.906,15910.332
93.719,100.3,4956.906,15910.332
94.736,99.3,4956.906,15910.332
95.753,100.3,4956.906,15910.332
96.771,99.3,4956.906,15910.332
97.788,100.3,4956.906,15910.332
98.805,99.3,4956.906,15910.332
99.823,99.3,4956.906,15910.332
100.84,100.3,4956.906,15910.332
101.857,99.3,4956.906,15910.332
102.875,100.3,4956.906,15910.332
103.892,99.3,4956.906,15910.332
104.909,100.3,4956.906,15910.332
105.925,100.4,4956.906,15910.332
106.942,99.2,4956.906,15910.332
107.96,99.3,4956.906,15910.332
108.978,100.2,4956.906,15910.332
109.995,100.3,4956.906,15910.332
111.012,99.3,4956.906,15910.332
112.03,98.3,4970.246,15910.332
113.05,100.0,4970.246,15910.332
114.067,99.3,4970.246,15910.332
115.085,100.3,4970.246,15910.332
116.102,97.3,4970.246,15910.332
117.12,100.2,4970.246,15910.332
118.137,100.2,4970.246,15910.332
119.155,99.3,4970.246,15910.332
120.172,100.3,4970.246,15910.332
121.189,99.3,4970.246,15910.332
122.207,100.3,4970.246,15910.332
123.224,99.3,4970.246,15910.332
124.241,99.3,4970.246,15910.332
125.259,100.3,4970.246,15910.332
126.276,100.3,4970.246,15910.332
127.293,99.3,4970.246,15910.332
128.311,99.2,4970.246,15910.332
129.329,101.2,4970.246,15910.332
130.346,99.3,4970.246,15910.332
