Elapsed_time,CPU,Real_MB,Virtual_MB
1.068,94.2,125.707,9450.414
2.087,97.1,205.648,9531.41
3.107,91.2,225.5,9551.754
4.126,93.2,264.742,9591.566
5.147,86.2,328.676,9661.816
6.161,84.8,353.699,9690.469
7.181,83.3,358.523,9758.625
8.202,26.5,361.219,9761.625
9.223,23.5,367.941,9769.363
10.244,5.9,368.0,9769.418
11.262,2.0,368.035,9769.484
12.28,7.9,368.527,9769.516
13.298,29.5,368.211,9769.859
14.319,20.6,368.453,9770.805
15.339,18.6,368.602,9771.18
16.359,52.9,368.602,9771.68
17.38,52.9,374.672,9780.539
18.401,85.2,374.672,9780.539
19.421,48.1,378.957,9784.672
20.441,74.5,451.559,9857.172
21.46,43.2,468.336,9874.207
22.481,39.2,470.996,9877.207
23.502,0.0,470.996,9877.207
24.52,2.0,471.074,9877.344
25.537,6.9,471.152,9877.461
26.554,18.7,471.18,9876.996
27.574,32.3,506.363,9912.688
28.595,95.9,560.734,9967.016
29.615,101.0,560.734,9967.016
30.635,99.0,560.734,9967.016
31.655,100.0,579.863,9986.344
32.675,99.0,579.863,9986.344
33.694,100.0,579.863,9986.344
34.714,99.1,579.875,9986.344
35.734,100.0,579.875,9986.344
36.753,100.0,579.875,9986.344
37.773,99.0,579.875,9986.344
38.793,100.0,579.875,9986.344
39.813,98.0,579.875,9986.344
40.833,100.0,579.875,9986.344
41.853,100.0,579.875,9986.344
42.872,99.1,579.875,9986.344
43.892,100.0,579.875,9986.344
44.912,100.1,579.875,9986.344
45.931,99.1,579.875,9986.344
46.95,99.1,579.875,9986.344
47.97,100.0,579.875,9986.344
48.99,100.0,579.875,9986.344
50.01,99.0,579.875,9986.344
51.03,99.0,579.875,9986.344
52.049,100.0,579.875,9986.344
53.069,99.0,624.09,16642.691
54.089,100.0,624.262,16642.691
55.109,100.0,973.0,16642.691
56.128,101.0,1065.887,16669.188
57.148,100.0,1072.332,16847.188
58.168,100.0,1078.777,17032.188
59.189,99.0,1094.246,17473.188
60.209,100.0,1121.059,18235.188
61.229,100.0,1149.16,19031.188
62.249,101.0,1215.676,20928.188
63.269,100.0,1285.285,22908.188
64.289,100.0,1451.316,27627.188
65.309,101.3,1912.879,44904.191
66.332,101.3,10894.57,44904.191
67.35,101.3,19644.641,44904.191
68.372,101.3,10888.738,24952.387
69.392,100.0,11327.797,25410.516
70.412,100.0,13427.164,27603.516
71.432,100.0,14464.859,28688.516
