Elapsed_time,CPU,Real_MB,Virtual_MB
1.062,23.6,56.723,9382.359
2.083,82.2,125.789,9450.414
3.103,54.9,207.602,9531.91
4.113,46.5,207.793,9532.297
5.125,24.7,210.703,9534.355
6.145,76.5,227.551,9551.754
7.165,42.2,227.613,9552.359
8.183,26.5,253.043,9579.066
9.193,39.6,320.086,9645.652
10.211,20.6,323.754,9653.906
11.232,20.6,326.012,9657.57
12.253,22.5,334.277,9666.336
13.272,19.6,337.16,9669.141
14.292,15.7,339.266,9671.82
15.311,34.3,356.754,9691.969
16.332,33.3,360.059,9694.508
17.352,47.1,360.547,9759.125
18.372,21.6,370.043,9769.516
19.391,33.3,370.219,9769.883
20.413,21.5,370.586,9771.68
21.432,53.9,374.613,9780.539
22.452,85.3,374.762,9780.539
23.472,62.8,407.18,9812.672
24.492,71.6,468.398,9874.172
25.511,35.3,471.09,9876.707
26.531,14.7,471.273,9877.496
27.551,54.9,522.695,9928.359
28.57,99.1,560.875,9967.016
29.59,98.1,560.875,9967.016
30.61,99.0,560.875,9967.016
31.629,98.1,560.883,9967.016
32.649,99.1,579.746,9986.344
33.668,98.1,579.746,9986.344
34.687,98.2,579.746,9986.344
35.707,99.0,579.746,9986.344
36.726,97.1,579.746,9986.344
37.746,98.1,579.746,9986.344
38.766,99.1,579.746,9986.344
39.785,98.1,579.746,9986.344
40.805,98.1,579.746,9986.344
41.825,98.1,579.969,9986.344
42.845,98.1,579.969,9986.344
43.864,98.1,579.969,9986.344
44.884,99.1,579.969,9986.344
45.904,98.1,579.969,9986.344
46.923,97.1,579.969,9986.344
47.943,99.1,579.969,9986.344
48.963,98.1,579.969,9986.344
49.982,98.1,579.969,9986.344
51.002,99.1,579.969,9986.344
52.022,97.1,579.969,9986.344
53.041,98.1,579.969,9986.344
54.061,99.0,579.969,9986.344
55.081,98.1,579.969,9986.344
56.1,98.1,579.969,9986.344
57.12,98.1,579.969,9986.344
58.139,98.1,579.969,9986.344
59.159,98.1,579.969,9986.344
60.179,98.1,579.969,9986.344
61.198,98.1,579.969,9986.344
62.218,98.1,579.969,9986.344
63.238,98.1,579.969,9986.344
64.257,98.1,579.969,9986.344
65.277,98.1,579.969,9986.344
66.297,99.0,579.969,9986.344
67.316,98.1,579.969,9986.344
68.336,98.1,579.969,9986.344
69.356,98.1,579.969,9986.344
70.375,99.1,579.969,9986.344
71.395,97.1,579.969,9986.344
72.415,99.0,579.969,9986.344
73.434,98.1,579.969,9986.344
74.454,99.0,579.969,9986.344
75.473,98.1,579.969,9986.344
76.493,98.1,579.969,9986.344
77.513,98.1,579.969,9986.344
78.533,98.1,579.969,9986.344
79.552,98.1,579.969,9986.344
80.572,98.1,579.969,9986.344
81.592,98.1,579.969,9986.344
82.611,99.1,579.969,9986.344
83.631,98.1,579.969,9986.344
84.651,98.1,579.969,9986.344
85.67,98.1,579.969,9986.344
86.688,98.2,579.969,9986.344
87.708,99.0,579.969,9986.344
88.728,98.1,579.969,9986.344
89.747,99.1,579.969,9986.344
90.767,99.1,665.672,20584.523
91.787,100.9,665.672,20584.523
92.807,99.0,970.508,20584.523
93.827,100.0,1443.773,20584.523
94.847,100.0,1476.195,20664.02
95.867,100.0,1484.961,20892.02
96.887,101.0,1494.242,21129.02
97.907,99.0,1516.414,21694.02
98.927,99.9,1539.359,22284.02
99.948,101.0,1594.273,23691.02
100.968,99.9,1689.406,26122.02
101.988,100.0,1788.406,28660.02
103.008,101.3,6036.113,39912.125
104.025,101.3,12995.941,39912.125
105.041,101.3,19253.23,39912.125
106.064,101.3,8002.402,20641.379
107.084,99.9,8005.742,20646.508
108.104,100.0,8836.379,21513.508
109.124,101.0,10321.039,23064.508
110.144,99.0,12221.027,25050.508
111.164,100.0,13427.59,26310.508
112.185,88.2,15145.117,28106.137
113.205,88.2,15240.711,28212.273
114.225,94.1,15338.387,28372.527
115.245,96.1,15794.324,35476.281
116.265,100.0,17876.324,35476.281
117.285,100.0,19986.324,35476.281
118.305,100.0,22134.324,35476.281
119.325,101.0,22538.57,35476.281
120.344,99.1,24317.258,42580.535
121.364,100.9,27013.258,42580.535
122.384,100.0,29642.883,42580.535
123.405,100.0,29666.418,53236.918
124.425,100.0,32328.5,53236.918
125.445,100.0,35026.5,53236.918
126.465,100.0,37736.5,53236.918
127.485,100.0,40302.777,53236.918
128.505,100.0,40329.723,53236.918
129.525,98.0,26121.449,39028.41
130.545,100.0,26121.449,39028.41
131.565,101.0,26121.449,39028.41
132.585,100.0,26393.516,42580.539
133.605,99.0,27111.516,42580.539
134.626,99.9,27829.516,42580.539
135.646,101.0,28547.516,42580.539
136.666,100.0,29265.516,42580.539
137.685,100.1,29673.625,42580.539
138.705,100.0,33185.527,46132.668
139.725,100.0,33933.602,49684.797
140.745,100.0,34651.602,49684.797
141.765,100.0,35369.602,49684.797
142.784,100.0,36087.602,49684.797
143.804,100.0,36779.965,56789.055
144.824,100.0,39068.016,56789.055
145.845,100.0,43728.016,56789.055
146.865,100.0,43880.016,56789.055
147.885,100.0,43880.016,56789.055
148.905,100.0,43880.266,56789.055
149.925,100.0,43880.266,56789.055
150.944,100.0,43880.266,56789.055
151.964,101.0,43880.523,56789.055
152.984,100.0,43880.523,56789.055
154.004,100.0,43880.523,56789.055
155.024,100.0,43880.781,56789.055
156.045,99.9,43880.781,56789.055
157.065,100.0,43880.781,56789.055
158.085,100.0,43881.039,56789.055
159.104,100.0,43881.039,56789.055
160.124,100.0,43881.297,56789.055
161.144,100.0,43881.297,56789.055
162.164,100.0,43881.297,56789.055
163.184,101.0,43881.555,56789.055
164.204,100.0,43881.555,56789.055
165.224,100.0,43881.555,56789.055
166.244,100.0,43881.812,56789.055
167.264,100.0,43881.812,56789.055
168.284,100.0,43881.812,56789.055
169.304,100.0,43882.07,56789.055
170.324,100.0,43882.07,56789.055
171.344,100.0,43882.07,56789.055
172.364,100.0,43882.07,56789.055
173.384,100.0,44918.328,63893.312
174.404,100.9,49542.328,63893.312
175.424,100.0,50984.379,63893.312
176.444,100.0,50984.379,63893.312
177.464,100.0,50984.637,63893.312
178.484,100.0,50984.637,63893.312
179.504,100.0,50984.637,63893.312
180.524,101.0,50984.895,63893.312
181.544,100.0,50984.895,63893.312
182.564,100.0,50984.895,63893.312
183.584,100.0,50985.152,63893.312
184.604,100.0,50985.152,63893.312
185.624,100.0,50985.152,63893.312
186.644,100.0,50985.41,63893.312
187.663,100.0,50985.41,63893.312
188.682,100.1,50985.41,63893.312
189.703,100.0,50985.668,63893.312
190.723,100.0,50985.668,63893.312
191.743,100.0,50985.926,63893.312
192.762,100.0,50985.926,63893.312
193.782,100.0,50985.926,63893.312
194.802,100.0,50986.184,63893.312
195.822,101.0,50986.184,63893.312
196.842,100.0,50986.184,63893.312
197.862,100.0,50986.441,63893.312
198.882,100.0,50986.441,63893.312
199.902,100.0,50986.441,63893.312
200.922,99.0,43882.258,56789.055
201.942,100.0,43882.258,56789.055
202.962,94.1,43887.176,56789.055
203.982,100.0,43887.176,56789.055
205.002,97.0,43887.402,56789.055
206.022,100.0,43888.32,56789.055
207.042,100.0,44023.789,56924.227
208.062,100.0,44174.629,57104.457
209.082,100.0,37477.699,53888.93
210.103,99.0,26950.23,39596.477
211.123,100.9,26950.23,39596.477
212.143,100.0,26950.699,39596.477
213.163,100.0,27065.715,39711.613
214.183,100.0,27267.137,39913.293
215.203,100.0,27309.473,39942.125
216.223,100.0,27309.473,39942.125
217.243,100.0,27309.473,39942.125
218.263,100.0,27439.352,40072.004
219.283,100.0,27785.488,40418.348
220.303,101.0,27569.348,40201.883
221.323,100.0,27569.348,40201.883
222.343,100.0,27569.348,40201.883
223.363,100.0,27724.559,40357.051
224.384,99.0,28138.262,40770.832
225.403,101.0,28372.547,41018.602
226.424,100.0,27885.512,40512.219
227.444,100.0,27885.512,40512.219
228.464,101.0,27922.473,40549.18
229.484,100.0,27959.434,40586.141
230.504,99.0,27982.234,40609.062
231.524,100.0,27982.234,40609.062
232.544,100.0,27982.234,40609.062
233.564,100.0,28294.574,40921.402
234.584,101.0,28868.699,41546.082
