,Tool,Dataset,Number_of_case,Number_of_control,Number of Samples,Peak_CPU,Peak_RAM_MB,Elapsed_time(min)
0,NicheNet,Lasry,3,3,6,101.3,23080.527,27.409483333333334
1,NicheNet,Lasry,7,6,13,101.3,32142.621,56.84628333333333
2,NicheNet,VanGalen,7,6,13,101.3,35262.977,161.6275
3,NicheNet,VanGalen,24,9,33,102.0,63893.312,621.6940666666667
4,NicheNet,VanGalen,9,10,19,101.9,35383.059,343.5647
5,NicheNet,VanGalen,3,3,6,101.5,17520.691,113.07836666666667
6,NicheNet,Simillie,7,6,13,101.3,25872.832,45.1807
7,NicheNet,Simillie,3,3,6,101.3,20650.57,23.2956
8,NicheNet,Simillie,12,10,22,101.3,39708.168,81.61738333333332
9,CellPhoneDB,Lasry,3,3,6,101.3,33047.785,7.164366666666667
10,CellPhoneDB,Lasry,7,6,13,101.3,66596.246,14.061783333333333
11,CellPhoneDB,VanGalen,7,6,13,101.3,64388.883,10.341833333333334
12,CellPhoneDB,VanGalen,24,9,33,101.3,99220.48,28.502266666666667
13,CellPhoneDB,VanGalen,9,10,19,101.3,42747.09,13.589416666666667
14,CellPhoneDB,VanGalen,3,3,6,101.3,27902.543,3.1586833333333333
15,CellPhoneDB,Simillie,7,6,13,101.3,60877.031,8.63885
16,CellPhoneDB,Simillie,3,3,6,101.3,29611.797,5.583699999999999
17,CellPhoneDB,Simillie,12,10,22,101.3,54670.23,15.798633333333333
18,community,Lasry,3,3,6,101.3,19330.848,1.9862499999999998
19,community,Lasry,7,6,13,101.3,29720.023,4.5727166666666665
20,community,VanGalen,7,6,13,101.3,20837.344,1.9391166666666666
21,community,VanGalen,24,9,33,101.3,39500.527,4.5411166666666665
22,community,VanGalen,9,10,19,101.3,23897.121,2.4142
23,community,VanGalen,3,3,6,101.3,13423.621,1.0014833333333333
24,community,Simillie,7,6,13,101.3,24691.723,4.221316666666667
25,community,Simillie,3,3,6,101.3,20368.508,3.1601166666666667
26,community,Simillie,12,10,22,101.3,38083.84,6.676699999999999
