,Tool,Dataset,Number_of_samples,Number_of_celltypes,Number_of_cells,Number_of_genes,Peak_CPU,Peak_RAM_MB,Elapsed_time(min)
0,nn,lasry,13,8,46702,15770,1485.0,18763.355,25.825716666666665
1,nn,vangalen,33,6,74583,12485,1200.7,63567.391,722.99015
2,nn,similie,22,9,78518,13044,1301.8,25695.684,89.33116666666666
3,cpdb,lasry,13,8,46702,15770,1624.5,18702.066,15.077833333333333
4,cpdb,vangalen,33,6,74583,12485,1629.0,50793.5,27.226083333333335
5,cpdb,similie,22,9,78518,13044,1635.2,25508.273,22.203233333333333
6,community,lasry,13,8,46702,15770,101.3,17119.355,3.3318333333333334
7,community,vangalen,33,6,74583,12485,101.1,43011.637,5.8304
8,community,similie,22,9,78518,13044,101.1,19432.617,5.43935
9,DEGs,lasry,13,8,46702,15770,1500.9,18638.027,1.2401166666666665
10,DEGs,vangalen,33,6,74583,12485,1201.2,63576.848,7.701233333333334
11,DEGs,similie,22,9,78518,13044,1301.0,25453.277,1.5806499999999999
