gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.015	0.135	0.073	0.226	0.136	0.634	0.031	0.016
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.119	0.119	0.131	0.19	0.171	0.194	0.127	0.092
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.003	0.014	0.001	0.002	0.003	0.008	0.0	0.005
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.002	0.0	0.066	0.001	0.013	0.011	0.0	0.008
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.019	0.0	0.097	0.0	0.017	0.0	0.062	0.017
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.09	0.374	0.14	0.484	0.352	0.428	0.418	0.107
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.005	0.0	0.004	0.001	0.346	0.0	0.0	0.002
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.017	0.092	0.137	0.178	0.087	0.108	0.0	0.022
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.005	0.084	0.005	0.014	0.038	0.226	0.0	0.0
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.088	0.238	0.114	0.185	0.151	0.243	0.273	0.256
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.003	0.0	0.002	0.0	0.001	0.0	0.0	0.005
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.075	0.25	0.116	0.213	0.14	0.499	0.127	0.088
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.141	0.693	0.131	0.615	0.514	0.647	0.261	0.268
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.019	0.0	0.097	0.0	0.017	0.0	0.062	0.017
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.005	0.0	0.004	0.001	0.346	0.0	0.0	0.002
