id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Ery	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Ery|B	Ery|DC	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|DC	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.155	0.0	0.157	0.079	0.17	0.01	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.149	0.0	0.151	0.072	0.163	0.004	0.003	0.002	0.148	0.0	0.151	0.072	0.163	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.006	0.153	0.0	0.155	0.077	0.168	0.008	0.007	0.007	0.154	0.0	0.156	0.078	0.169	0.009	0.008	0.187	0.334	0.0	0.336	0.258	0.349	0.189	0.188	0.018	0.165	0.0	0.167	0.089	0.18	0.02	0.019	0.013	0.16	0.0	0.162	0.083	0.174	0.015	0.014	0.02	0.167	0.0	0.169	0.091	0.182	0.022	0.021	0.006	0.153	0.0	0.155	0.076	0.167	0.008	0.007	0.004	0.15	0.0	0.153	0.074	0.165	0.006	0.005
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.141	0.288	0.0	0.29	0.211	0.302	0.143	0.142	0.203	0.35	0.0	0.352	0.274	0.365	0.205	0.204	0.145	0.292	0.0	0.294	0.216	0.307	0.147	0.146	0.347	0.494	0.0	0.496	0.418	0.509	0.349	0.348	0.129	0.276	0.0	0.278	0.199	0.29	0.131	0.13	0.271	0.418	0.0	0.42	0.342	0.433	0.273	0.272	0.226	0.372	0.0	0.375	0.296	0.387	0.228	0.226	0.211	0.357	0.0	0.359	0.281	0.372	0.213	0.211
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.004	0.151	0.0	0.153	0.075	0.166	0.006	0.005	0.007	0.153	0.0	0.155	0.077	0.168	0.009	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.165	0.0	0.167	0.088	0.18	0.02	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.148	0.0	0.151	0.072	0.163	0.004	0.003	0.004	0.15	0.0	0.152	0.074	0.165	0.006	0.004	0.003	0.15	0.0	0.152	0.074	0.165	0.005	0.004
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.158	0.0	0.16	0.082	0.173	0.013	0.012	0.015	0.162	0.0	0.164	0.085	0.177	0.017	0.016	0.067	0.214	0.0	0.216	0.137	0.228	0.069	0.068	0.011	0.158	0.0	0.16	0.081	0.173	0.013	0.012	0.011	0.158	0.0	0.16	0.081	0.173	0.013	0.012	0.017	0.163	0.0	0.165	0.087	0.178	0.019	0.017
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.104	0.232	0.0	0.279	0.265	0.167	0.194	0.159	0.084	0.211	0.0	0.258	0.245	0.147	0.173	0.138	0.107	0.234	0.0	0.281	0.268	0.17	0.197	0.161	0.107	0.234	0.0	0.281	0.267	0.17	0.196	0.161	0.042	0.17	0.0	0.217	0.203	0.105	0.132	0.097	0.088	0.215	0.0	0.262	0.249	0.151	0.177	0.142	0.15	0.278	0.0	0.325	0.311	0.213	0.24	0.205	0.127	0.254	0.0	0.301	0.287	0.19	0.216	0.181
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.327	0.454	0.0	0.501	0.488	0.39	0.416	0.381	1.005	1.132	0.0	1.179	1.165	1.068	1.094	1.059	0.275	0.402	0.0	0.449	0.436	0.338	0.364	0.329	0.922	1.049	0.0	1.096	1.083	0.985	1.011	0.976	0.391	0.518	0.0	0.566	0.552	0.454	0.481	0.445	1.005	1.132	0.0	1.179	1.166	1.068	1.095	1.059	0.635	0.762	0.0	0.809	0.796	0.698	0.725	0.689	0.545	0.673	0.0	0.72	0.706	0.608	0.635	0.6
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.151	0.0	0.198	0.184	0.087	0.113	0.078	0.023	0.15	0.0	0.197	0.184	0.086	0.112	0.077
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.027	0.154	0.0	0.201	0.187	0.09	0.116	0.081	0.084	0.211	0.0	0.258	0.244	0.147	0.173	0.138	0.143	0.27	0.0	0.317	0.304	0.206	0.233	0.197	0.171	0.299	0.0	0.346	0.332	0.234	0.261	0.226	0.129	0.256	0.0	0.303	0.29	0.192	0.218	0.183	0.103	0.231	0.0	0.278	0.264	0.166	0.193	0.158	0.024	0.152	0.0	0.199	0.185	0.087	0.114	0.079	0.024	0.151	0.0	0.198	0.184	0.087	0.113	0.078
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.024	0.151	0.0	0.198	0.185	0.087	0.113	0.078	0.043	0.17	0.0	0.217	0.203	0.106	0.132	0.097	0.033	0.16	0.0	0.207	0.194	0.096	0.122	0.087	0.063	0.19	0.0	0.237	0.224	0.126	0.153	0.117	0.07	0.197	0.0	0.245	0.231	0.133	0.16	0.125	0.121	0.249	0.0	0.296	0.282	0.184	0.211	0.176	0.025	0.153	0.0	0.2	0.186	0.088	0.115	0.08	0.027	0.154	0.0	0.201	0.187	0.09	0.116	0.081
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.197	0.325	0.0	0.372	0.358	0.26	0.287	0.252	0.315	0.442	0.0	0.489	0.475	0.377	0.404	0.369	0.184	0.312	0.0	0.359	0.345	0.247	0.274	0.239	0.243	0.37	0.0	0.417	0.403	0.306	0.332	0.297	0.152	0.28	0.0	0.327	0.313	0.215	0.242	0.207	0.259	0.387	0.0	0.434	0.42	0.322	0.349	0.314	0.688	0.815	0.0	0.862	0.848	0.751	0.777	0.742	0.483	0.611	0.0	0.658	0.644	0.546	0.573	0.538
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.03	0.157	0.0	0.204	0.191	0.093	0.119	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.153	0.0	0.2	0.187	0.089	0.115	0.08	0.028	0.155	0.0	0.202	0.189	0.091	0.118	0.082
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.112	0.24	0.0	0.287	0.273	0.175	0.202	0.167	0.198	0.325	0.0	0.373	0.359	0.261	0.288	0.252	0.052	0.18	0.0	0.227	0.213	0.115	0.142	0.107	0.343	0.47	0.0	0.517	0.504	0.406	0.432	0.397	0.138	0.266	0.0	0.313	0.299	0.201	0.228	0.193	0.28	0.408	0.0	0.455	0.441	0.343	0.37	0.335	0.148	0.276	0.0	0.323	0.309	0.211	0.238	0.203	0.156	0.283	0.0	0.33	0.316	0.218	0.245	0.21
CPI-SS04D87448A	GNAI2_TSHR	simple:P04899	simple:P16473	GNAI2	TSHR	False	False	False	user_curated	False	0.515	0.514	0.0	0.0	0.527	0.516	0.514	0.515	0.878	0.877	0.0	0.0	0.89	0.878	0.877	0.878	0.119	0.118	0.0	0.0	0.132	0.12	0.118	0.119	0.74	0.739	0.0	0.0	0.752	0.74	0.739	0.739	0.459	0.458	0.0	0.0	0.471	0.459	0.458	0.459	0.962	0.961	0.0	0.0	0.974	0.962	0.961	0.962	0.676	0.675	0.0	0.0	0.689	0.677	0.675	0.676	0.575	0.574	0.0	0.0	0.588	0.576	0.574	0.575
CPI-SS012FD886E	POMC_TSHR	simple:P01189	simple:P16473	POMC	TSHR	False	False	False	user_curated	False	0.085	0.084	0.0	0.0	0.098	0.086	0.084	0.085	0.065	0.064	0.0	0.0	0.077	0.065	0.064	0.064	0.088	0.087	0.0	0.0	0.1	0.089	0.087	0.088	0.088	0.087	0.0	0.0	0.1	0.088	0.087	0.087	0.023	0.022	0.0	0.0	0.036	0.024	0.022	0.023	0.069	0.068	0.0	0.0	0.081	0.069	0.068	0.069	0.131	0.13	0.0	0.0	0.144	0.132	0.13	0.131	0.108	0.107	0.0	0.0	0.12	0.108	0.107	0.107
CPI-SS010DF4808	AVP_TSHR	simple:P01185	simple:P16473	AVP	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.004	0.0	0.0	0.017	0.005	0.004	0.004	0.004	0.003	0.0	0.0	0.016	0.004	0.003	0.004
