gene_symbol	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
AL627309.5	AL627309.5	False	False	False	0.747110310138937	0.25	True	False	0.0075298971163008585	-5.327385680132408	-1.0499665
LINC01409	LINC01409	False	False	False	6.60459447505159	0.25	True	False	0.02827546562176712	-4.818932061284762	-0.6056638
LINC01128	LINC01128	False	False	False	6.46358906907187	0.25	True	False	0.027060113433995343	-3.8373040687855986	0.25211346
LINC00115	LINC00115	False	False	False	1.12972086818535	0.25	True	False	0.007522682392205424	-5.537043913538	-1.2331724
FAM41C	FAM41C	False	False	False	2.48016120735575	0.25	True	False	0.009270359268102631	-5.59559559393596	-1.2843367
AL645608.2	AL645608.2	False	False	False	0.263804455865724	0.25	True	False	0.0014210726367973304	-3.983230107011103	0.12459873
NOC2L	NOC2L	False	False	False	17.1082685977934	0.25	True	False	0.08041778596478433	-3.9284855198323516	0.17243627
KLHL17	KLHL17	False	False	False	0.994568492983317	0.25	True	False	0.008199606041105447	-6.10715777751627	-1.7313558
PLEKHN1	PLEKHN1	False	False	False	0.57631965488482	0.25	True	False	0.007438117049696044	-5.3191768504626955	-1.0427934
HES4	HES4	False	False	False	6.1431682526141	0.25	True	True	0.026484547633662193	-1.7046488140492329	2.1156943
ISG15	ISG15	False	False	False	39.066855224283	0.25	True	True	0.7802378761713022	0.19255243367741673	1.6346647
AGRN	AGRN	False	False	False	0.953087930883557	0.25	True	False	0.00701953519744821	-5.2195421893936675	-0.9557295
C1orf159	C1orf159	False	False	False	2.30834001088152	0.25	True	False	0.017572174926022772	-5.438093822692701	-1.1467067
TNFRSF18	TNFRSF18	False	False	False	4.26064714883282	0.25	True	True	0.018318871347838373	-2.8406344673778605	1.1230346
TNFRSF4	TNFRSF4	False	False	False	2.72943904451087	0.25	True	True	0.018736355128191523	-2.3195967491595457	1.5783336
SDF4	SDF4	False	False	False	25.9863008956747	0.25	True	False	0.15889485195045272	-3.5819792718932297	-0.8692972
B3GALT6	B3GALT6	False	False	False	5.43963361582867	0.25	True	False	0.038641755485973865	-4.8108611406485355	-0.5986112
C1QTNF12	C1QTNF12	False	False	False	0.561287324260322	0.25	True	False	0.001111388430636319	-4.852033816180476	-0.63458914
AL162741.1	AL162741.1	False	False	False	0.269066002363326	0.25	True	False	0.0023382298007144317	-6.2428002412577435	-1.8498844
UBE2J2	UBE2J2	False	False	False	15.5824611638458	0.25	True	False	0.10196399167409041	-4.167048617665856	-1.5706555
SCNN1D	SCNN1D	False	False	False	0.600791764698619	0.25	True	False	0.0032162543986828628	-5.734123108898141	-1.4053863
ACAP3	ACAP3	False	False	False	7.14188325052223	0.25	True	False	0.04698264606426789	-4.4454576880341605	-0.2793102
PUSL1	PUSL1	False	False	False	3.94705190028129	0.25	True	False	0.02741186834953414	-5.211860087685468	-0.94901663
INTS11	INTS11	False	False	False	13.681630675302	0.25	True	False	0.07725983016111539	-4.515903503591397	-0.34086797
CPTP	CPTP	False	False	False	2.24689278438283	0.25	True	False	0.020322853522277216	-5.521745746824486	-1.2198044
DVL1	DVL1	False	False	False	3.01903745054454	0.25	True	False	0.021916585337315865	-5.255576850998629	-0.98721766
AURKAIP1	AURKAIP1	False	False	False	52.1832354775163	0.25	True	False	0.34343325523737045	-2.155484975150252	-0.28029406
CCNL2	CCNL2	False	False	False	22.3455220965447	0.25	True	False	0.1372166278178704	-3.5575510897512412	-0.8400136
