gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.0	0.542	0.277	0.093	0.135	0.092	0.0	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.186	0.196	0.32	0.953	0.427	0.842	0.535	0.409
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.0	0.0	0.01	0.0	0.006	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.0	0.0	0.003	0.0	0.009	0.0	0.031
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.097	0.0	0.033	0.157	0.172	0.114	0.046	0.106
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.364	0.594	0.215	1.178	0.795	1.182	0.57	0.312
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.0	0.244	0.354	0.193	0.089	0.13	0.0	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.118	0.206	0.611	0.493	0.471	1.319	0.107	0.204
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.183	0.124	0.051	0.201	0.228	0.229	0.491	0.627
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.178	0.459	0.14	0.503	0.32	0.552	0.188	0.161
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.754	1.395	0.253	1.348	1.134	1.436	1.168	0.907
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.097	0.0	0.033	0.157	0.172	0.114	0.046	0.106
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.022
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.024	0.0	0.122	0.0	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.097	0.0	0.033	0.157	0.172	0.114	0.046	0.106
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.022
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.797	1.427	0.436	1.521	1.314	1.487	2.978	2.86
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	4.021	3.788	1.938	3.538	4.154	3.32	3.749	3.837
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.097	0.0	0.033	0.157	0.172	0.114	0.046	0.106
