gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.019	0.006	0.0	0.001
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.021	0.0	0.315	0.0	0.012	0.078	0.064	0.019
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.166	0.196	0.238	0.334	0.416	0.397	0.354	0.29
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.008	0.0	0.064	0.0	0.069	0.01	0.0	0.011
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.034	0.091	0.12	0.0	0.173	0.003	0.07	0.018
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.178	0.633	0.497	0.972	0.466	0.838	0.483	0.303
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.006	0.0	0.0	0.0	0.22	0.0	0.0	0.003
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.0	0.224	0.076	0.259	0.085	0.065	0.008	0.007
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.006	0.0	0.009	0.0	0.146	0.249	0.0	0.016
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.265	0.135	0.065	0.227	0.24	0.336	0.515	0.588
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.128	0.0	0.0	0.012	0.0	0.0	0.002
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.247	0.169	0.128	0.437	0.357	0.689	0.245	0.306
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.339	0.542	0.202	1.104	0.888	1.421	0.672	0.54
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.034	0.091	0.12	0.0	0.173	0.003	0.07	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.006	0.0	0.0	0.0	0.22	0.0	0.0	0.003
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.128	0.0	0.0	0.012	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.047	0.003	0.256	0.0	0.009
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.034	0.091	0.12	0.0	0.173	0.003	0.07	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.006	0.0	0.0	0.0	0.22	0.0	0.0	0.003
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.128	0.0	0.0	0.012	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.795	1.572	0.586	1.385	0.8	1.334	2.368	2.273
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	4.125	3.86	2.362	4.019	3.988	3.407	3.815	3.705
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.034	0.091	0.12	0.0	0.173	0.003	0.07	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.006	0.0	0.0	0.0	0.22	0.0	0.0	0.003
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.128	0.0	0.0	0.012	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.031	0.0	0.1	0.026	0.017	0.185	0.027	0.027
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.0	0.0	0.0	0.002	0.005	0.0	0.003
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.339	0.542	0.202	1.104	0.888	1.421	0.672	0.54
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.034	0.091	0.12	0.0	0.173	0.003	0.07	0.018
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.084	0.0	0.005	0.0	0.049	0.034	0.055	0.063
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.0	0.0	0.253	0.0	0.002
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.096	0.0	0.004	0.002	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.0	0.027	0.008	0.0	0.0	0.004
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.055	0.024	0.004	0.01	0.0	0.002
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.008	0.0	0.129	0.0	0.029	0.011	0.0	0.003
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.667	1.418	0.305	2.051	1.775	2.418	1.581	1.4
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.339	0.542	0.202	1.104	0.888	1.421	0.672	0.54
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.096	0.0	0.004	0.002	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.024	0.208	0.091	0.032	0.073	0.03	2.526	1.106
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.339	0.542	0.202	1.104	0.888	1.421	0.672	0.54
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.084	0.0	0.005	0.0	0.049	0.034	0.055	0.063
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.003	0.002	0.022	0.009
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.321	0.237	0.166	0.446	0.345	0.59	1.059	0.702
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.05	0.0	0.017	0.1	0.021	0.217	0.078	0.033
