uniprot	protein_name	transmembrane	peripheral	secreted	secreted_desc	secreted_highlight	receptor	receptor_desc	integrin	other	other_desc	tags	tags_reason	tags_description	pfam
A4D1S0	KLRG2_HUMAN	True	False	False	nan	False	True	KLR_add	False	False	nan	To_add | To_comment	Receptor_add	Killer cell lectin-like receptor subfamily | Receptor_add (uniprot)	PF00059;
A4D1S0	KLRG2_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NDA9	LRIT2_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NDA9	LRIT2_HUMAN	True	False	False	nan	False	False	nan	False	False	nan	To_add	nan	Iglike	nan
A6NI73	LILRA5_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NI73	LIRA5_HUMAN	True	False	True	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NJW9	CD8B2_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NJW9	CD8BL_HUMAN	True	False	False	nan	False	False	nan	False	False	nan	To_remove	nan	no ensembl	nan
A6NLU5	VSTM2B_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A6NLU5	VTM2B_HUMAN	True	False	False	nan	False	False	nan	False	False	nan	To_add | To_comment	nan	Iglike | Possible_receptor	nan
A6NMZ7	COL6A6_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
A6NMZ7	CO6A6_HUMAN	False	False	True	nan	False	False	nan	False	False	nan	To_add	nan	Collagen	PF01391;PF00092;
A8K4G0	CD300LB_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A8K4G0	CLM7_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
A8TX70	COL6A5_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
A8TX70	CO6A5_HUMAN	False	False	True	nan	False	False	nan	False	False	nan	To_add	nan	Collagen	PF01391;PF00092;
B6A8C7	TARM1_HUMAN	True	False	False	nan	False	False	nan	False	False	nan	To_add	nan	Iglike	nan
B6A8C7	TARM1_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
D3W0D1	KLRF2_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
D3W0D1	KLRF2_HUMAN	True	False	False	nan	False	True	KLR_add	False	False	nan	To_comment	Extracellular_add	nan	PF00059;
F7VJQ1	APRIO_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
F7VJQ1	PRNP_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
K9M1U5	IFNL4_HUMAN	False	False	True	Cytokine	True	False	nan	False	True	nan	To_remove	nan	no ensembl	nan
K9M1U5	IFNL4_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00144	FZD9_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00144	FZD9_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_comment	Extracellular_add	nan	PF01534;PF01392;
O00155	GPR25_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00155	GPR25_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	PF00001;
O00175	CCL24_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00175	CCL24_HUMAN	False	False	True	Cytokine	True	False	nan	False	False	nan	To_add	nan	nan	PF00048;
O00182	LEG9_HUMAN	False	True	True	Immune-related	True	False	nan	False	False	nan	To_comment	secretedhigh_add | peripheral_add	Ligand for HAVCR2/TIM3 (uniprot)	PF00337;
O00182	LGALS9_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00206	TLR4_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00206	TLR4_HUMAN	True	False	False	nan	False	True	nan	False	True	microbe recognition	To_add	nan	nan	nan
O00214	LEG8_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00214	LGALS8_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00220	TR10A_HUMAN	True	False	False	nan	False	True	TNF_receptor_add	False	False	nan	To_add	nan	TNF_receptor_add (uniprot)	PF00531;PF00020;
O00220	TNFRSF10A_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00222	GRM8_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00222	GRM8_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00230	CORT_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00230	CORT_HUMAN	False	False	True	Hormone	True	False	nan	False	False	nan	To_add	nan	nan	PF03002;
O00238	BMPR1B_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00238	BMR1B_HUMAN	True	False	False	nan	False	True	TGFBeta_receptor_add	False	False	nan	To_add	nan	nan	PF01064;PF07714;PF08515;
O00241	SIRPB1_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00241	SIRB1_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add | To_comment	Receptor_add	Iglike | Receptor_add	PF07654;PF07686;
O00253	AGRP_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00253	AGRP_HUMAN	False	False	True	nan	False	False	nan	False	False	nan	To_add	nan	nan	PF05039;
O00254	F2RL2_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00254	PAR3_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00264	PGRMC1_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00264	PGRC1_HUMAN	True	False	False	nan	False	True	nan	False	False	nan	To_add	nan	progesterone receptor (uniprot)\	nan
O00292	LEFTY2_HUMAN	False	False	False	nan	False	False	nan	False	False	nan	To_add	nan	nan	nan
O00292	LFTY2_HUMAN	False	False	True	Growthfactor | Cytokine	True	False	nan	False	False	nan	To_add	nan	nan	PF00019;PF00688;
O00300	TNFRSF11B_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
O00300	TR11B_HUMAN	False	False	True	nan	False	False	nan	False	False	nan	To_add	nan	nan	PF00531;PF00020;
O00421	CCRL2_HUMAN	True	False	False	nan	False	True	Atipical_chemokine_receptor_add	False	False	nan	To_add	nan	nan	PF00001;
O00421	CCRL2_HUMAN	False	False	False	nan	False	True	nan	False	False	nan	To_add	nan	nan	nan
