id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Gran|B	Gran|DC	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.057	0.118	0.021	0.162	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.057	0.118	0.022	0.162	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.006	0.059	0.12	0.024	0.164	0.007	0.006	0.204	0.258	0.319	0.222	0.363	0.206	0.204	0.273	0.326	0.388	0.291	0.432	0.274	0.273	0.016	0.069	0.131	0.034	0.175	0.017	0.016	0.459	0.512	0.574	0.477	0.618	0.46	0.459	0.005	0.058	0.12	0.023	0.164	0.006	0.005	0.007	0.06	0.121	0.024	0.165	0.008	0.006
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.265	0.318	0.379	0.283	0.423	0.266	0.265	0.094	0.148	0.209	0.112	0.253	0.096	0.094	0.103	0.156	0.217	0.12	0.261	0.104	0.102	0.166	0.22	0.281	0.184	0.325	0.168	0.166	0.265	0.318	0.38	0.283	0.424	0.266	0.265	0.257	0.31	0.371	0.274	0.415	0.258	0.256	0.281	0.334	0.395	0.299	0.439	0.282	0.28
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.063	0.124	0.028	0.168	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.059	0.12	0.023	0.164	0.007	0.005	0.004	0.057	0.118	0.021	0.162	0.005	0.003	0.004	0.058	0.119	0.022	0.163	0.006	0.004	0.004	0.057	0.118	0.021	0.162	0.005	0.003
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.006	0.059	0.12	0.024	0.164	0.007	0.006	0.006	0.059	0.121	0.024	0.165	0.007	0.006	0.087	0.14	0.201	0.105	0.245	0.088	0.087	0.007	0.06	0.122	0.025	0.166	0.008	0.007	0.033	0.086	0.147	0.05	0.191	0.034	0.032	0.005	0.059	0.12	0.023	0.164	0.006	0.005	0.008	0.061	0.122	0.025	0.166	0.009	0.007
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.046	0.043	0.0	0.042	0.043	0.087	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.008	0.0	0.007	0.008	0.052	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.031	0.0	0.03	0.031	0.074	0.063	0.046	0.042	0.0	0.042	0.042	0.086	0.074
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.112	0.109	0.0	0.108	0.109	0.153	0.141	0.24	0.237	0.0	0.236	0.237	0.28	0.269	0.532	0.529	0.0	0.528	0.529	0.573	0.561	0.204	0.201	0.0	0.2	0.2	0.244	0.233	0.465	0.462	0.0	0.461	0.461	0.505	0.494	0.143	0.14	0.0	0.139	0.14	0.184	0.172	0.101	0.098	0.0	0.097	0.098	0.142	0.13
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.017	0.013	0.0	0.012	0.013	0.057	0.045	0.019	0.016	0.0	0.015	0.016	0.06	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.013	0.0	0.012	0.013	0.057	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.007	0.0	0.006	0.007	0.051	0.039
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.014	0.01	0.0	0.01	0.01	0.054	0.042	0.04	0.037	0.0	0.036	0.036	0.08	0.069	0.105	0.101	0.0	0.101	0.101	0.145	0.134	0.089	0.086	0.0	0.085	0.085	0.129	0.118	0.072	0.069	0.0	0.068	0.069	0.112	0.101	0.011	0.008	0.0	0.007	0.008	0.052	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.011	0.0	0.01	0.01	0.054	0.043	0.069	0.066	0.0	0.065	0.066	0.11	0.098	0.022	0.018	0.0	0.018	0.018	0.062	0.05	0.059	0.056	0.0	0.055	0.056	0.1	0.088	0.018	0.015	0.0	0.014	0.015	0.058	0.047	0.013	0.01	0.0	0.009	0.01	0.054	0.042
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.323	0.32	0.0	0.319	0.32	0.364	0.352	0.427	0.424	0.0	0.423	0.423	0.467	0.456	0.218	0.214	0.0	0.214	0.214	0.258	0.246	0.169	0.166	0.0	0.165	0.165	0.209	0.198	0.259	0.256	0.0	0.255	0.256	0.3	0.288	0.23	0.226	0.0	0.226	0.226	0.27	0.258	0.38	0.377	0.0	0.376	0.377	0.42	0.409
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.008	0.0	0.007	0.008	0.052	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.007	0.0	0.006	0.007	0.051	0.039
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.206	0.203	0.0	0.202	0.203	0.247	0.235	0.348	0.345	0.0	0.344	0.345	0.389	0.377	0.577	0.574	0.0	0.573	0.573	0.617	0.606	0.323	0.32	0.0	0.319	0.32	0.364	0.352	0.565	0.561	0.0	0.56	0.561	0.605	0.593	0.193	0.19	0.0	0.189	0.19	0.234	0.222	0.24	0.237	0.0	0.236	0.237	0.281	0.269
CPI-SS04D87448A	GNAI2_TSHR	simple:P04899	simple:P16473	GNAI2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.196	0.196	0.195	0.196	0.0	0.0	0.0	0.624	0.624	0.623	0.624	0.0	0.0	0.0	0.722	0.722	0.721	0.722	0.0	0.0	0.0	0.574	0.574	0.573	0.574	0.0	0.0	0.0	0.771	0.77	0.77	0.771	0.0	0.0	0.0	0.363	0.363	0.362	0.363	0.0	0.0	0.0	0.267	0.266	0.266	0.267
CPI-SS012FD886E	POMC_TSHR	simple:P01189	simple:P16473	POMC	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.038	0.038	0.037	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.025	0.025	0.026	0.0	0.0	0.0	0.038	0.037	0.037	0.038
CPI-SS010DF4808	AVP_TSHR	simple:P01185	simple:P16473	AVP	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.008	0.008	0.008	0.008	0.0	0.0	0.0	0.011	0.011	0.01	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.001	0.002
CPI-SS0FB2E9FF3	RLN2_TSHR	simple:P04090	simple:P16473	RLN2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.002	0.002	0.002
CPI-SS0C6FEEA14	SCT_TSHR	simple:P09683	simple:P16473	SCT	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.232	0.231	0.231	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.001	0.002
CPI-SS0E2696443	FN1_TSHR	simple:P02751	simple:P16473	FN1	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.009	0.009	0.008	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.003	0.004	0.0	0.0	0.0	0.02	0.019	0.019	0.02	0.0	0.0	0.0	0.004	0.003	0.003	0.004	0.0	0.0	0.0	0.002	0.002	0.001	0.002
CPI-SS032869B21	POMC_VIPR1	simple:P01189	simple:P32241	POMC	VIPR1	False	False	False	user_curated	False	0.0	0.042	0.0	0.0	0.046	0.039	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.012	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.034	0.027	0.028	0.0	0.041	0.0	0.0	0.046	0.039	0.039
CPI-SS00D55E7F1	AVP_VIPR1	simple:P01185	simple:P32241	AVP	VIPR1	False	False	False	user_curated	False	0.0	0.012	0.0	0.0	0.017	0.01	0.01	0.0	0.014	0.0	0.0	0.019	0.012	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.017	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.01	0.003	0.004
