index,Pair.Name,protein_name_a,Ligand.Name,protein_name_b,Receptor.Name,complex_pair,partner_a,partner_b,source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources,annotation_strategy,db,True_LR
0,A2M_LRP1,A2M,alpha-2-macroglobulin,LRP1,LDL receptor related protein 1,,P01023,Q07954,OmniPath,Q07954,A2M,LRP1,1,1,0,1,1,0,AlzPathway;Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,AlzPathway:19026743;Baccin2019:10652313;Baccin2019:12194978;Baccin2019:1702392;CellTalkDB:10652313;HPRD:10652313;HPRD:12194978;LRdb:10652313;connectomeDB2020:10652313;connectomeDB2020:12194978;connectomeDB2020:1702392,11,4,11,LR,both,True
3,ACTR2_LRP2,ACTR2,actin related protein 2,LRP2,LDL receptor related protein 2,,P61160,P98164,OmniPath,P98164,ACTR2,LRP2,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
4,ADAM11_CCR4,ADAM11,ADAM metallopeptidase domain 11,CCR4,C-C motif chemokine receptor 4,,O75078,P51679,OmniPath,P51679,ADAM11,CCR4,1,1,0,1,1,0,Kirouac2010,,0,0,1,LR,LR,True
5,ADAM11_ITGA4,ADAM11,ADAM metallopeptidase domain 11,ITGA4,integrin subunit alpha 4,,O75078,P13612,OmniPath,P13612,ADAM11,ITGA4,1,0,0,0,0,0,connectomeDB2020,connectomeDB2020:28913673,1,1,1,LR,both,True
8,ADCYAP1_DPP4,ADCYAP1,adenylate cyclase activating polypeptide 1,DPP4,dipeptidyl peptidase 4,,P18509,P27487,OmniPath,P27487,ADCYAP1,DPP4,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;Cellinker;InnateDB-All_CellPhoneDB;MINT_CellPhoneDB,Cellinker:21314817,1,1,3,LR,both,True
9,ADCYAP1_GPR20,ADCYAP1,adenylate cyclase activating polypeptide 1,GPR20,G protein-coupled receptor 20,,P18509,Q99678,OmniPath,Q99678,ADCYAP1,GPR20,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
10,ADCYAP1_GPR84,ADCYAP1,adenylate cyclase activating polypeptide 1,GPR84,G protein-coupled receptor 84,,P18509,Q9NQS5,OmniPath,Q9NQS5,ADCYAP1,GPR84,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
11,ADCYAP1_PTH1R,ADCYAP1,adenylate cyclase activating polypeptide 1,PTH1R,parathyroid hormone 1 receptor,,P18509,Q03431,OmniPath,Q03431,ADCYAP1,PTH1R,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
14,ADCYAP1_SCTR,ADCYAP1,adenylate cyclase activating polypeptide 1,SCTR,secretin receptor,,P18509,P47872,OmniPath,P47872,ADCYAP1,SCTR,1,0,0,0,0,0,Baccin2019;CellPhoneDB;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:1335692;CellTalkDB:1335692;HPRD:1335692;LRdb:1335692;connectomeDB2020:1335692,5,1,10,LR,both,True
16,ADCYAP1_VIPR1,ADCYAP1,adenylate cyclase activating polypeptide 1,VIPR1,vasoactive intestinal peptide receptor 1,,P18509,P32241,OmniPath,P32241,ADCYAP1,VIPR1,1,1,0,1,1,0,Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:11897681;Baccin2019:11931347;Baccin2019:12429744;Baccin2019:16930633;Baccin2019:8791009;Baccin2019:9928018;CellTalkDB:11897681;Cellinker:11897681;Cellinker:11931347;Cellinker:12429744;Cellinker:12488235;Cellinker:16930633;Cellinker:8791009;Cellinker:9928018;Guide2Pharma:11931347;Guide2Pharma:16930633;Guide2Pharma:8791009;Guide2Pharma:9928018;HPRD:12429744;LRdb:11897681;LRdb:11931347;LRdb:12429744;LRdb:16930633;LRdb:8791009;LRdb:9928018;SIGNOR:11897681;connectomeDB2020:11897681;connectomeDB2020:11931347;connectomeDB2020:12429744;connectomeDB2020:16930633;connectomeDB2020:8791009;connectomeDB2020:9928018;scConnect:11931347;scConnect:16930633;scConnect:8791009;scConnect:9928018,36,7,15,LR,both,True
