gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.006	0.0	0.005	0.0	0.001	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.031	0.02	0.0	0.093	0.012	0.107	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.035	0.46	0.707	0.483	0.332	0.458	0.074
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.0	0.0	0.007	0.007	0.012	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.008	0.0	0.031	0.002	0.014	0.047
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.025	0.0	0.231	0.0	0.081	0.001	0.0
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.223	0.928	0.451	1.136	0.627	0.907	0.148
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.0	0.0	0.007	0.006	0.0	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.0	0.196	0.0	0.141	0.088	0.099	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.0	0.208	0.0	0.095	0.147	0.262	0.0
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.293	0.311	0.267	0.23	0.245	0.259	0.652
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.0	0.0	0.0	0.011	0.0	0.0
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.178	0.277	0.0	0.305	0.182	0.317	0.223
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.57	1.052	0.05	1.254	0.726	1.239	0.332
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.025	0.0	0.231	0.0	0.081	0.001	0.0
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.0	0.0	0.007	0.006	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.0	0.0	0.011	0.0	0.0
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.009	0.0	0.009	0.0	0.001	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.004	0.015	0.002	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.025	0.0	0.231	0.0	0.081	0.001	0.0
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.0	0.0	0.007	0.006	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.0	0.0	0.011	0.0	0.0
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.009	0.0	0.009	0.0	0.001	0.0
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.623	1.348	0.197	1.406	0.641	1.15	2.131
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	3.724	3.392	2.555	3.569	3.815	3.446	3.606
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.025	0.0	0.231	0.0	0.081	0.001	0.0
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.0	0.0	0.007	0.006	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.0	0.0	0.0	0.011	0.0	0.0
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.009	0.0	0.009	0.0	0.001	0.0
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.182	0.008	0.111	0.132	0.016	0.166	0.0
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.011	0.0	0.004	0.006	0.004	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.57	1.052	0.05	1.254	0.726	1.239	0.332
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.025	0.0	0.231	0.0	0.081	0.001	0.0
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.002	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.046	0.389	0.114	0.605	0.374	0.423	0.03
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.008	0.0	0.002	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.0	0.005	0.002	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.033	0.0	0.045	0.014	0.029	0.0
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.0	0.0	0.002	0.0	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.544	2.159	0.571	2.698	2.034	2.733	1.49
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.57	1.052	0.05	1.254	0.726	1.239	0.332
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.002	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.044	0.012	0.0	0.025	0.008	0.028	1.766
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.57	1.052	0.05	1.254	0.726	1.239	0.332
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.046	0.389	0.114	0.605	0.374	0.423	0.03
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.002	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.372	0.448	0.148	0.42	0.376	0.536	0.901
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.0	0.068	0.0	0.123	0.006	0.276	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.0	0.0	0.0	0.002	0.001	0.0
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.0	0.024	0.283	0.053	0.047	0.052	0.0
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.0	0.0	0.0	0.0	0.0	0.001	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.0	0.0	0.0	0.0	0.001	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.025	0.086	0.099	0.062	0.092	0.068	0.048
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.57	1.052	0.05	1.254	0.726	1.239	0.332
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.044	0.012	0.0	0.025	0.008	0.028	1.766
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.122	0.069	0.0	0.088	0.057	0.087	0.049
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.127	0.224	0.0	0.591	0.146	0.936	0.22
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.0	0.01	0.0	0.025	0.005	0.044	0.726
