gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.002	0.0	0.003	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.007	0.404	0.542	0.028	0.914	0.006	0.009
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.525	0.184	0.201	0.328	0.526	0.508	0.557
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.015	0.0	0.006	0.002	0.004	0.002
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.007	0.008	0.169	0.01	0.06	0.006	0.011
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.073	0.0	0.0	0.003	0.0	0.048	0.072
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.204	0.46	1.045	0.388	0.91	0.267	0.183
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.013	0.019	0.0	0.013	0.0	0.0	0.001
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.008	0.06	0.19	0.158	0.124	0.003	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.0	0.008	0.118	0.024	0.099	0.016	0.007
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.626	0.834	0.415	0.318	0.499	0.44	0.74
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.0	0.0	0.0	0.003	0.0	0.001
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.393	0.677	1.134	0.627	1.109	0.367	0.461
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.388	1.245	1.441	1.145	1.538	0.723	0.53
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.073	0.0	0.0	0.003	0.0	0.048	0.072
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.013	0.019	0.0	0.013	0.0	0.0	0.001
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.0	0.0	0.003	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.459	0.0	0.0	0.0	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.015	0.0	0.0	0.004	0.036	0.003	0.001
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.073	0.0	0.0	0.003	0.0	0.048	0.072
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.013	0.019	0.0	0.013	0.0	0.0	0.001
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.0	0.0	0.003	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.459	0.0	0.0	0.0	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	2.215	1.609	1.589	0.663	1.543	2.928	2.876
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	4.312	3.795	3.764	3.677	3.481	4.169	3.975
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.073	0.0	0.0	0.003	0.0	0.048	0.072
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.013	0.019	0.0	0.013	0.0	0.0	0.001
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.0	0.0	0.0	0.003	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.459	0.0	0.0	0.0	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.013	0.154	0.0	0.016	0.241	0.0	0.004
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.014	0.0	0.0	0.011	0.008	0.004	0.011
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.388	1.245	1.441	1.145	1.538	0.723	0.53
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.073	0.0	0.0	0.003	0.0	0.048	0.072
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.0	0.001
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.111	1.127	0.289	0.48	0.397	0.0	0.052
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.025	0.0	0.015	0.004	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.006	0.0	0.002	0.011	0.002	0.003
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.046	0.0	0.0	0.0	0.003
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.0	0.013	0.006	0.0	0.0
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.0	0.009	0.025	0.001	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.032	1.522	3.716	1.923	3.005	0.638	0.681
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.388	1.245	1.441	1.145	1.538	0.723	0.53
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.006	0.0	0.002	0.011	0.002	0.003
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.0	0.057	0.0	0.031	0.002	2.599	1.797
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.388	1.245	1.441	1.145	1.538	0.723	0.53
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.111	1.127	0.289	0.48	0.397	0.0	0.052
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.032	0.0	0.0	0.031	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	1.099	0.697	0.42	0.37	0.785	2.229	1.996
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.059	0.129	0.257	0.04	0.317	0.024	0.016
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.02	0.0	0.001	0.0	0.001	0.018
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.111	0.089	0.111	0.028	0.071	0.103	0.092
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.014	0.0	0.025	0.014	0.0	0.002	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.029	0.0	0.0	0.003	0.0	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.0	0.018	0.116	0.042	0.098	0.001	0.001
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.388	1.245	1.441	1.145	1.538	0.723	0.53
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0	0.057	0.0	0.031	0.002	2.599	1.797
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.006	0.277	0.018	0.009	0.363	0.008	0.087
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.0	0.005	0.049	0.0	0.076	0.006	0.002
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.0	0.067	0.001	0.015	0.339	0.029
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.0	0.0	0.0	0.0	0.0	0.591	0.148
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.0	0.048	0.081	0.016	0.02	0.182	0.222
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	0.349	2.052	2.819	0.474	3.446	2.244	1.669
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	0.388	1.245	1.441	1.145	1.538	0.723	0.53
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	0.388	1.245	1.441	1.145	1.538	0.723	0.53
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.055	0.139	0.005	0.002	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.009	0.0	0.0	0.006	0.004	0.006	0.001
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0A94DAC37	0.0	0.009	0.0	0.199	0.0	0.0	0.001
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.003	0.109	0.458	0.277	0.008	0.003	0.003
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.0	0.028	0.0	0.006	0.0	1.12	0.314
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0A3CA0C16	0.388	1.245	1.441	1.145	1.538	0.723	0.53
FN1	P02751	False	FN1_HUMAN		CPI-SS027E3D40A	0.015	0.0	0.0	0.004	0.036	0.003	0.001
C5	P01031	False	C5_HUMAN		CPI-SS00581282E	0.0	0.0	0.0	0.013	0.006	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0BAC17AD7	0.388	1.245	1.441	1.145	1.538	0.723	0.53
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0023122D0	0.0	0.029	0.0	0.001	0.0	0.0	0.005
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS085021184	0.388	1.245	1.441	1.145	1.538	0.723	0.53
PPBP	P02775	False	PPBP_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.0	0.009	0.025	0.001	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0698C4DC4	0.019	0.279	0.541	0.104	1.514	0.116	0.014
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS0C62E5DD8	0.0	0.0	0.078	0.002	0.03	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS040630206	0.0	0.131	0.217	0.148	0.31	0.003	0.003
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.052	0.087	0.077	0.003	0.004
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE107E3C	0.388	1.245	1.441	1.145	1.538	0.723	0.53
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.0	0.009	0.025	0.001	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0315F51DD	0.019	0.279	0.541	0.104	1.514	0.116	0.014
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.078	0.002	0.03	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.131	0.217	0.148	0.31	0.003	0.003
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.052	0.087	0.077	0.003	0.004
MIF	P14174	False	MIF_HUMAN		CPI-SS0C2B9C062	0.907	1.362	1.868	1.68	1.719	1.47	1.315
CD74	P04233	False	CD74_HUMAN		CPI-SS001BAA737	4.09	3.687	1.234	1.205	2.142	0.818	0.811
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS08D8EC856	0.388	1.245	1.441	1.145	1.538	0.723	0.53
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.032	1.522	3.716	1.923	3.005	0.638	0.681
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS09BED5DD4	0.388	1.245	1.441	1.145	1.538	0.723	0.53
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE6FCF38	0.388	1.245	1.441	1.145	1.538	0.723	0.53
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0CA4C783F	0.388	1.245	1.441	1.145	1.538	0.723	0.53
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS091AAE861	0.388	1.245	1.441	1.145	1.538	0.723	0.53
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03BD27349	0.388	1.245	1.441	1.145	1.538	0.723	0.53
NRP1	O14786	False	NRP1_HUMAN		CPI-SS03D3108AE	0.0	0.134	0.0	0.0	0.01	0.0	0.001
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.004	0.013	0.0	0.011	0.0	0.377	0.993
S100A9	P06702	False	S100A9_HUMAN		CPI-SS0E873DD1D	0.0	0.989	3.72	0.007	4.462	0.135	0.017
S100B	P04271	False	S100B_HUMAN		CPI-SS0990BCA45	0.0	0.015	0.0	0.01	0.002	0.072	0.002
VWF	P04275	False	VWF_HUMAN		CPI-SS03B60356D	0.0	0.0	0.0	0.002	0.0	0.003	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS00BC1D7B7	0.525	0.184	0.201	0.328	0.526	0.508	0.557
APP	P05067	False	APP_HUMAN		CPI-SS01C1F9BD5	0.111	1.127	0.289	0.48	0.397	0.0	0.052
C3	P01024	False	C3_HUMAN		CPI-SS07BD289CC	0.0	0.0	0.025	0.0	0.015	0.004	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS0B6760FAD	0.0	0.006	0.0	0.002	0.011	0.002	0.003
CALR	P27797	False	CALR_HUMAN		CPI-SS0CA60658F	1.173	0.655	1.235	1.169	0.789	1.448	1.014
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.029	0.0	0.001	0.0	0.0	0.005
LDLR	P01130	False	LDLR_HUMAN		CPI-SS05D25E16C	0.024	0.105	0.183	0.032	0.081	0.056	0.026
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0B2A7EE22	0.0	0.005	0.085	0.002	0.192	0.063	0.042
MDK	P21741	False	MDK_HUMAN		CPI-SS006C6537E	0.0	0.218	0.0	0.253	0.029	0.047	0.017
HSPG2	P98160	False	HSPG2_HUMAN		CPI-SS01611BFB1	0.0	0.027	0.031	0.02	0.0	0.0	0.001
TFPI	P10646	False	TFPI_HUMAN		CPI-SS02732F2A4	0.005	0.121	0.025	0.536	0.072	0.001	0.001
F8	P00451	False	F8_HUMAN		CPI-SS0D47CF8AB	0.0	0.012	0.026	0.003	0.013	0.005	0.005
AGRN	O00468	False	AGRN_HUMAN		CPI-SS031728D8B	0.0	0.069	0.039	0.011	0.044	0.007	0.001
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0B54D7D88	0.007	0.117	0.038	0.027	0.029	0.002	0.002
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS08E77BC24	0.0	0.021	0.128	0.007	0.071	0.017	0.003
LPL	P06858	False	LPL_HUMAN		CPI-SS0F1351371	0.0	0.0	0.0	0.0	0.004	0.0	0.0
APOA1	P02647	False	APOA1_HUMAN		CPI-SS07FDE0981	0.0	0.058	0.091	0.056	0.006	0.04	0.02
APOE	P02649	False	APOE_HUMAN		CPI-SS0401F61EA	0.007	0.0	0.0	0.002	0.009	0.004	0.011
APOC2	P02655	False	APOC2_HUMAN		CPI-SS0DACCF1C5	0.0	0.0	0.0	0.0	0.005	0.0	0.0
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS0419B80C4	0.141	0.326	0.26	0.343	0.412	0.108	0.036
MMP9	P14780	False	MMP9_HUMAN		CPI-SS0B0C9B5EB	0.021	0.0	0.0	0.0	0.019	0.006	0.01
FCN1	O00602	False	FCN1_HUMAN		CPI-SS0BDEDE435	0.011	0.196	0.445	0.0	1.69	0.05	0.017
PLAT	P00750	False	PLAT_HUMAN		CPI-SS0CAD4D1F3	0.0	0.0	0.0	0.006	0.0	0.004	0.018
SERPINA1	P01009	False	SERPINA1_HUMAN		CPI-SS052F44300	0.001	0.047	0.083	0.0	0.664	0.004	0.001
A2M	P01023	False	A2M_HUMAN		CPI-SS03A1FC511	0.0	0.0	0.0	0.002	0.01	0.02	0.016
C1QB	P02746	False	C1QB_HUMAN		CPI-SS088CA72FA	0.0	0.0	0.0	0.0	0.013	0.0	0.0
LTF	P02788	False	LTF_HUMAN		CPI-SS0831A016E	0.005	0.0	0.0	0.0	0.107	0.01	0.0
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS0C4DE5745	0.0	0.0	0.0	0.187	0.004	0.0	0.0
SERPINE2	P07093	False	SERPINE2_HUMAN		CPI-SS0BE6345A1	0.007	0.013	0.0	0.021	0.0	0.034	0.013
PSAP	P07602	False	PSAP_HUMAN		CPI-SS09F7411A6	1.012	1.873	2.252	0.43	2.967	0.949	0.461
HSP90AA1	P07900	False	HSP90AA1_HUMAN		CPI-SS0B982FDFC	1.679	1.993	1.969	2.242	1.271	2.02	2.129
LIPC	P11150	False	LIPC_HUMAN		CPI-SS09E7E3A89	0.0	0.0	0.0	0.0	0.0	0.008	0.0
HSP90B1	P14625	False	HSP90B1_HUMAN		CPI-SS0D0AAD278	0.783	1.739	1.398	1.121	0.918	1.369	0.763
VWF	P04275	False	VWF_HUMAN		CPI-SS058A32703	0.0	0.0	0.0	0.002	0.0	0.003	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS02BF2E3B8	0.015	0.0	0.0	0.004	0.036	0.003	0.001
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0805DE8B6	1.099	0.697	0.42	0.37	0.785	2.229	1.996
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS019974A83	0.018	0.013	0.0	0.0	0.0	0.0	0.001
SEMA7A	O75326	False	SEMA7A_HUMAN		CPI-SS0F6313749	0.53	0.499	0.024	0.028	0.012	0.002	0.011
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS004E2CF6B	0.027	0.0	0.0	0.002	0.0	0.006	0.036
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0BEA699C6	0.0	0.0	0.0	0.0	0.0	0.0	0.011
AGRN	O00468	False	AGRN_HUMAN		CPI-SS09FE3FCD6	0.0	0.069	0.039	0.011	0.044	0.007	0.001
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0A0F54D53	0.007	0.117	0.038	0.027	0.029	0.002	0.002
F13A1	P00488	False	F13A1_HUMAN		CPI-SS09112AE47	0.006	0.035	0.166	0.076	0.158	0.005	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS052C1D0E7	0.0	0.0	0.0	0.002	0.0	0.003	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0B1190CD5	0.015	0.0	0.0	0.004	0.036	0.003	0.001
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0E4272D6E	1.099	0.697	0.42	0.37	0.785	2.229	1.996
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0BD7F0DE4	0.0	0.029	0.0	0.001	0.0	0.0	0.005
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0077CF16A	0.018	0.013	0.0	0.0	0.0	0.0	0.001
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS089D6E438	0.027	0.0	0.0	0.002	0.0	0.006	0.036
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0DCBC051A	0.007	0.117	0.038	0.027	0.029	0.002	0.002
